bootstrap_sample,selected_trace_indices,fit_start_ns,fit_stop_ns,ambient_temperature_K,S_e_mW_per_K,C_th_pJ_per_K,tau_th_ns,fit_rmse_K
85.0,"0,0,0",16.0,33.0,314.4526332471906,0.003773067689481632,0.0475610038259162,12.605393737966686,1.1185122999337076
86.0,"1,2,0",15.0,36.0,314.38546579486894,0.00353786221689755,0.03971655221917746,11.226144429673695,1.2226108925466352
87.0,"1,1,1",14.0,35.0,314.32430954101267,0.003717124779850618,0.0344741878966541,9.274423092689272,1.14564248283076
88.0,"0,1,1",16.0,37.0,314.4272257053512,0.0034574618458782648,0.02935558451386779,8.49050136268702,1.1427194668807013
89.0,"2,2,1",13.0,36.0,314.43357154316715,0.0036029531400318194,0.02148299174268133,5.9626064807747134,1.469863632461593
90.0,"1,1,2",14.0,37.0,314.45484222662066,0.003773815080879552,0.0310179750022412,8.219262029927531,1.3347178689083086
91.0,"2,2,0",17.0,33.0,314.29734585615927,0.003614685577832238,0.04614961117718732,12.76725462934004,1.1054784237880753
92.0,"0,2,1",15.0,33.0,314.2547570708028,0.0035296469685081834,0.03577496932135866,10.135565862689964,1.1910175141597334
93.0,"2,2,0",17.0,37.0,314.35473372018333,0.0038137168760241963,0.043965028469560935,11.528131190324364,1.0927993393997546
94.0,"2,0,2",13.0,33.0,314.2752591324262,0.0034885277265841196,0.05248531625337753,15.045119421988902,1.3711620158241382
95.0,"1,1,1",13.0,33.0,314.2799716348291,0.0034975300564983472,0.04482175029520365,12.815258073887213,0.9810942531838439
96.0,"2,0,2",16.0,37.0,314.30698815876895,0.0035941565343579622,0.06256313353403335,17.4069028257305,1.1276654050218144
97.0,"1,0,2",17.0,37.0,314.3678180957839,0.003607041697529854,0.03373712559479435,9.353128803001626,1.2104854139350814
98.0,"1,2,1",16.0,33.0,314.3332253723512,0.003710138740617836,0.05736458876757039,15.461575099484735,0.9055117970957016
99.0,"1,0,1",15.0,33.0,314.4191516774869,0.003532991600639466,0.03785610816729888,10.715029200875254,0.8018305407521318
100.0,"1,2,1",14.0,34.0,314.2798930834095,0.0037330863854195618,0.026493611282623546,7.096972463884177,1.2490508894929873
101.0,"0,2,2",15.0,34.0,314.3522314907038,0.0037271024130961007,0.05838655791619499,15.66540208582391,1.5636694561901732
