C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,candidate_score,generic_score,best_trace_score,best_current_uA,best_turn_count,best_vpp_mV,best_freq_MHz,n_good_currents,band_fraction,first_good_uA,last_good_uA,longest_band_uA,target_score,plateau_mean_mV_target,plateau_std_mV_target,low_current_peak_mV,low_current_peak_uA,low_current_bump_mV,rep_plateau_mV,rep_overshoot_mV,rep_turnoff_undershoot_mV
82.80373253233897,43.7560648815406,0.03421968293474861,345.2002668109669,345.2002668109669,18.34846165056642,18.197838136784316,1.5193211108933808,1.5068489217450862,0.04520546765235259,0.04520546765235259,0.030000000000000002,0.02975372837791425,0.0032905671329406068,13272.730737224765,1.0,0.20829187279739692,0.06503191901533054,0.13006383803066107,250.0,1.0,0.00014786006464451162,3.5719712409777253,0.0,0.0,,,0.0,0.3255045622554512,21.087592180207743,8.396857919668486,4.587019028633192,250.0,-16.50057315157455,0.9174223104445705,6.485290958702095e-07,0.9174223104445705
100.0,89.98762274814216,0.048155248404763276,342.7541406523872,342.7541406523872,18.877959312048,18.197838136784316,1.8877959312048,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.028919182157316717,0.0039739357542312205,10990.316459389136,1.0,0.2081437141440117,0.06718162323809174,0.13436324647618347,250.0,1.0,0.00034198997895362737,3.571995729130392,0.0,0.0,,,0.0,0.323476333976128,21.67868640376869,8.623765491934542,4.719268258586059,250.0,-16.95941814518263,0.9438961918295503,1.44652738620632e-06,0.9438961918295503
84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,13044.406583225384,1.0,0.20659111231212093,0.06338694754168901,0.12677389508337802,50.0,1.0,8.764332050992252e-06,3.5716572430941014,0.0,0.0,,,0.0,0.32375815621520154,21.677430365553725,8.592094631347367,4.733210883220518,250.0,-16.944219482333207,0.946785812970984,5.072189016019912e-06,0.946785812970984
91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.1912275274681829,0.0675,0.135,50.0,0.0,0.16320947443653688,3.572104270879586,0.0,0.0,,,0.0,0.2924591408512416,28.23506637398465,11.035103556707686,6.233980874383705,250.0,-22.001085499600947,1.247437407952516,0.0,1.247437407952453
100.0,32.4847271640352,0.03983800529864409,335.3984570845741,339.3921807805251,23.58912258316485,18.197838136784316,2.358912258316485,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.02314351210727753,0.0039739357542312205,10990.316459389136,1.0,0.18334142564274652,0.0675,0.135,50.0,0.0,0.3453440140698907,3.571995729130392,0.0,0.0,,,0.0,0.27812077389590273,33.94656000535312,12.55101687305597,7.835158277945017,250.0,-26.111401727408104,1.5703719148848019,0.0,1.5703719137292305
55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,0.15575768457121852,0.10125000000010448,0.20250000000020896,1650.0,4.0,1.3310014487996966,3.5715463245803183,0.0,0.0,,,0.0,0.20035488103849364,132.58264479286817,47.01321255449325,31.604881903467476,250.0,-100.9777628894007,6.342319441562501,0.0,6.342178853503807
50.79369852325513,100.0,0.15643266335344755,332.2675237329884,339.5150413782824,23.196932872841145,18.197838136784316,1.1782580150072797,0.9243355040948174,0.02773006512284452,0.02773006512284452,0.03,0.023534798634637928,0.0020185089465120506,21637.165197484854,1.0,0.15305479450710446,0.07227079975933677,0.14454159951867354,1850.0,0.0,46.504443107426454,3.571903921929196,0.0,0.0,,,0.0,0.21915079020982345,58.67233343757933,22.00640058360797,13.37722664030532,250.0,-45.295106797274016,2.6797398329056796,0.0,2.6797398051997274
50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,0.13256400059195902,0.03829291023077221,0.07658582046154443,1850.0,1.0,44.063217122685955,3.5712992979100506,0.0,0.0,,,0.0,0.20969489270565733,129.24873538111638,40.42046463835214,33.910855848935114,250.0,-95.33787953218126,6.835140714984973,0.0001933370390698741,6.835025016076788
100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,0.08137559582195578,0.1125,0.225,1650.0,1.0,1579.4405011308422,3.571995729130392,0.0,0.0,,,0.0,0.05591017422173776,1202.824128020504,437.08367473111815,274.9137738084263,250.0,-927.9103542120778,55.0205016251597,0.0,6.351808097510357
20.0,5.0,0.2,328.39493232792864,331.84509749589733,439.3940793197515,18.197838136784316,8.787881586395029,0.3639567627356863,0.010918702882070587,0.010918702882070587,0.029999999999999995,0.0012424726909127215,0.000794787150846244,54951.58229694569,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,
23.132495595952207,91.12525750722872,0.029020309740697015,348.5764026393092,348.5764026393092,18.21665869851527,18.197838136784316,0.42139677711636897,0.4209614105550143,0.012628842316650428,0.012628842316650428,0.03,0.02996900546575126,0.000919270513333507,47510.29310176225,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,
20.881469173178616,10.775322035069156,0.7566994716887624,347.5553769928997,349.603824998278,18.207835056024383,18.197838136784316,0.3802063464326941,0.37999759607175587,0.011399927882152676,0.011399927882152676,0.03,0.029983528652567468,0.0008298161694817154,52631.91190352518,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,
22.37583656726418,85.04182007800249,0.10020855399089504,337.3404958489029,337.3404958489029,37.14211778777905,18.197838136784316,0.8310859573814199,0.40719185202621316,0.012215755560786395,0.012215755560786395,0.03,0.014698546464767275,0.0008892013696548551,49116.896373241994,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,
