fit_mode,split,traces,classification_matches,predicted_oscillating_traces,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_relative_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior
baseline,train,20,9,0,1407.9361283130893,0.44376225788468515,0.83693592626473,0.8951284045806437,2.6752462481762436,0.7957066401290224,2.2,0.55,0.0,0.6627375442860699,0.8454700016092772,0.12500000000074712
baseline,test,2,2,0,0.136707651449068,0.5609488265799925,0.48506909408407345,0.019710850684613913,0.0,0.0,0.0,0.0,0.0,0.0,0.5572504349019998,0.12500000000074712
baseline,all,22,11,0,1279.9543627983946,0.4544155823115313,0.8049480324301249,0.8155449905900956,2.432042043796585,0.7233696728445657,2.0,0.5,0.0,0.6024886766237,0.8192682228177066,0.12500000000074712
constrained,train,20,9,0,1397.8187376777298,0.40511885898342487,1.0667218031228312,0.6606874240937604,1.6845738395356953,0.6903926597284679,2.2,0.55,0.0,0.6476400007996761,1.3316418917030812,2.181568746197293
constrained,test,2,2,0,12.087023497440747,0.5005992191179736,0.04555057597636328,11.993287578396966,0.0,0.0,0.0,0.0,0.0,0.0,0.8652626036186498,2.181568746197293
constrained,all,22,11,0,1271.8431272977036,0.41379889172292933,0.973888055200425,1.6909238017576882,1.5314307632142685,0.6276296906622435,2.0,0.5,0.0,0.5887636370906145,1.2892437746044967,2.181568746197293
relaxed,train,20,20,11,38.975691012816384,1.3110249978787059,1.0151391039783573,11.47907617038164,1.5038477004807462,0.6790259412929911,4.954301098747633,0.0,0.0,2.219947244107969,1.4534695854521773,0.0
relaxed,test,2,2,0,0.25185896740283364,0.8673267490362493,1.2774213085447794,0.018897630340351395,0.0,0.0,0.0,0.0,0.0,0.0,0.9243265652189685,0.0
relaxed,all,22,22,11,35.455342645051516,1.2706887934384825,1.038982940757123,10.437241757650613,1.3671342731643146,0.6172963102663555,4.503910089770576,0.0,0.0,2.0181338582799717,1.4053656745218857,0.0
