fit_mode,trace_index,split,source_file,nominal_drive_mV,current_step_uA,measured_oscillation,predicted_oscillation,measured_frequency_MHz,predicted_frequency_MHz,measured_target_harmonic_amplitude_mV,predicted_target_harmonic_amplitude_mV,measured_mean_mV,predicted_mean_mV,measured_vpp_mV,predicted_vpp_mV,phase_tolerant_plateau_rmse_mV,edge_rmse_mV,waveform_component,mean_voltage_component,amplitude_component,relative_amplitude_component,spectrum_component,frequency_component,classification_component,false_positive_component,sustain_component,edge_component
baseline,0,test,50mv0_converted.csv,50.0,37.99008122008859,False,False,,,,,88.34135940298506,95.6319747747702,4.506659999999982,3.291819284819141,7.350037657457789,6.01881084195156,0.14700075314915578,0.021261228999723887,0.0005903351853044392,0.0,0.0,0.0,0.0,0.0,0.0,0.0601881084195156
baseline,1,train,100mv0_converted.csv,100.0,76.17083384633712,False,False,,,,,170.70984975124378,178.3962201304378,6.653399999999976,3.1179490419330875,7.797594220008901,9.110033437186667,0.15595188440017801,0.02363211584246047,0.004999765390758432,0.0,0.0,0.0,0.0,0.0,0.0,0.09110033437186667
baseline,2,train,150mv0_converted.csv,150.0,114.17150902555795,False,False,,,,,239.83873747761194,243.1196432397265,5.800000000000011,3.4881942242347748,3.6233983453194076,9.314894837989089,0.07246796690638815,0.004305737047950639,0.002137778377944603,0.0,0.0,0.0,0.0,0.0,0.0,0.09314894837989089
baseline,3,train,200mv0_converted.csv,200.0,152.16154020295048,False,False,,,,,297.36232073134323,290.8372457618158,7.720000000000027,4.4759268409500805,6.733816717701194,13.028508835632264,0.13467633435402387,0.01703064134318147,0.004209604264507321,0.0,0.0,0.0,0.0,0.0,0.0,0.13028508835632263
baseline,4,train,250mv0_converted.csv,250.0,189.60094286792295,False,False,,,,,318.8617590398009,319.49263746899,14.14670000000001,8.006814141186794,1.883728835669233,26.915146865764324,0.03767457671338466,0.00015920303696642608,0.015079279343701799,0.0,0.0,0.0,0.0,0.0,0.0,0.2691514686576432
baseline,5,train,300mv0_converted.csv,300.0,228.15229898524512,True,False,41.666666666666664,,44.923890533411225,0.11855186616760785,235.10242222388064,315.1175909174559,100.10669999999999,4.579884013730805,32.25967911726909,85.5306376273038,0.6451935823453817,2.560970888424524,3.6501490289898135,6.8134910780467886,1.43020007024721,4.0,1.0,0.0,3.216884564922022,0.8553063762730381
baseline,6,train,350mv0_converted.csv,350.0,266.70376233691485,True,False,41.666666666666664,,50.79860282459164,0.06773785887592068,192.0122066318408,292.34789313782744,130.3466,3.211526461844528,36.883377578342106,99.17908790615411,0.7376675515668422,4.026899994651053,6.46533076942088,9.403698731903939,1.603879387630736,4.0,1.0,0.0,4.123648965402963,0.9917908790615411
baseline,7,train,400mv0_converted.csv,400.0,303.2005083702369,True,False,45.45454545454545,,40.372007281876584,0.10496817905403165,190.9832810945274,267.7548271709828,90.2534,2.749740752438413,28.611681957714882,104.85319440307599,0.5722336391542977,2.3575481147877273,3.0627561526853477,7.762719596084548,1.6722796964451554,4.0,1.0,0.0,2.59505388752546,1.0485319440307599
baseline,8,train,450mv0_converted.csv,450.0,341.5718172250129,True,False,50.0,,29.485877059598405,0.03502959143872832,186.9897857363184,245.10495542157258,68.8133,2.4147912822500643,21.13005152157848,111.72469586224405,0.4226010304315696,1.350949179018355,1.7635047839764457,6.681890817064503,1.7098056918504005,4.0,1.0,0.0,1.3881278324623283,1.1172469586224405
baseline,9,train,500mv0_converted.csv,500.0,380.88580812995247,True,False,52.63157894736842,,22.750064861626818,0.0306688378770136,187.0197034825871,225.15950729281806,58.51999999999998,2.377983772930179,16.64309039691946,109.77154025473462,0.3328618079383892,0.5818578538731636,1.2607703944162276,5.9392067788172875,1.6245015886509464,4.0,1.0,0.0,0.8260842491892437,1.0977154025473461
