fit_mode,dt_ns,objective_total,classification_matches,predicted_oscillating_traces
baseline,0.1,1280.052552070138,11,0
baseline,0.025,1279.9543627983946,11,0
baseline,0.0125,1280.0007281380558,11,0
constrained,0.1,1500.3389873363433,10,1
constrained,0.025,1271.8431272977036,11,0
constrained,0.0125,1271.5109599117184,11,0
relaxed,0.1,379.7443819191517,20,11
relaxed,0.025,35.455342645051516,22,11
relaxed,0.0125,34.83573216660836,22,11
