fit_mode,trace_index,split,source_file,nominal_drive_mV,current_step_uA,measured_oscillation,predicted_oscillation,measured_frequency_MHz,predicted_frequency_MHz,measured_mean_mV,predicted_mean_mV,measured_vpp_mV,predicted_vpp_mV,phase_tolerant_plateau_rmse_mV,edge_rmse_mV,waveform_component,mean_voltage_component,amplitude_component,spectrum_component,frequency_component,classification_component,edge_component
baseline,21,train,1200mv0_converted.csv,1200.0,906.8051472486442,False,False,,,173.40669950248756,109.08124978401955,11.120000000000005,1.221683308812274,64.3733216737633,116.96865351293384,1.287466433475266,1.6551053925932624,0.03919066932761825,0.0,0.0,0.0,1.1696865351293384
constrained,0,train,50mv0_converted.csv,50.0,37.99008122008859,False,False,,,88.34135940298506,95.56657690399251,4.506659999999982,4.05871938622515,7.309820135622992,6.16053295236287,0.14619640271245984,0.020881507174745736,8.026031738758955e-05,0.0,0.0,0.0,0.0616053295236287
constrained,1,train,100mv0_converted.csv,100.0,76.17083384633712,False,False,,,170.70984975124378,178.18618156312615,6.653399999999976,3.931120689923148,7.617427353182466,8.40560937168009,0.1523485470636493,0.02235821494454576,0.002964321856828949,0.0,0.0,0.0,0.0840560937168009
constrained,2,train,150mv0_converted.csv,150.0,114.17150902555795,False,False,,,239.83873747761194,242.6641098272479,5.800000000000011,5.850503070600297,3.4173074861884887,8.965343291281533,0.06834614972376978,0.00319309156563496,1.0202240560229722e-06,0.0,0.0,0.0,0.08965343291281533
constrained,3,test,200mv0_converted.csv,200.0,152.16154020295048,False,False,,,297.36232073134323,290.0328310402803,7.720000000000027,8.49802001759872,7.658772551488403,11.966588232787686,0.15317545102976807,0.021488567652559038,0.0002421260591137076,0.0,0.0,0.0,0.11966588232787685
constrained,4,train,250mv0_converted.csv,250.0,189.60094286792295,False,False,,,318.8617590398009,317.67771356000424,14.14670000000001,14.512512190173254,2.8887322999256937,30.577405574935362,0.057774645998513875,0.00056078547929078,5.352742339173834e-05,0.0,0.0,0.0,0.3057740557493536
constrained,5,train,300mv0_converted.csv,300.0,228.15229898524512,True,False,41.666666666666664,,235.10242222388064,311.6709501573792,100.10669999999999,10.531875243796037,32.127290418632434,94.28136034740216,0.6425458083726486,2.345095787961179,3.209459692041859,1.1702104993648297,4.0,1.0,0.9428136034740215
constrained,6,train,350mv0_converted.csv,350.0,266.70376233691485,True,False,41.666666666666664,,192.0122066318408,287.245281010785,130.3466,5.289788839919822,36.81084071156081,110.78017324188721,0.7362168142312161,3.6277353822662066,6.255682407011182,1.385413834339123,4.0,1.0,1.107801732418872
constrained,7,test,400mv0_converted.csv,400.0,303.2005083702369,True,False,45.45454545454545,,190.9832810945274,263.5449660762934,90.2534,3.4748367136928096,28.626677263904817,118.55533642861825,0.5725335452780963,2.1060792509572184,3.0122076184142488,1.722650835950773,4.0,1.0,1.1855533642861824
constrained,8,train,450mv0_converted.csv,450.0,341.5718172250129,True,False,50.0,,186.9897857363184,241.18829158330522,68.8133,3.559248354402115,21.114759755761522,128.24298996538508,0.42229519511523045,1.1749912144183459,1.7032365024665426,1.594083350721282,4.0,1.0,1.2824298996538508
constrained,9,train,500mv0_converted.csv,500.0,380.88580812995247,True,False,52.63157894736842,,187.0197034825871,221.7440664021996,58.51999999999998,2.9631546496123633,16.626224108480354,128.06482514451116,0.33252448216960706,0.48231255206918383,1.2346252261147546,1.5557791284535647,4.0,1.0,1.2806482514451116
constrained,10,train,550mv0_converted.csv,550.0,419.0559644140832,True,False,52.63157894736842,,186.41220796353232,205.15789401423706,40.08000000000001,3.419400397689799,12.84446746437277,130.62326256395767,0.2568893492874554,0.14056029820463445,0.5375998252803631,1.5951265381633637,4.0,1.0,1.3062326256395766
constrained,11,test,600mv0_converted.csv,600.0,457.8085803363978,True,False,55.55555555555556,,186.8872940631841,190.81856826953734,31.933300000000003,2.518713007982541,9.680676839165601,129.07143637848014,0.19361353678331203,0.00618196675421531,0.34608717116438514,1.5162224267236772,4.0,1.0,1.2907143637848015
constrained,12,train,650mv0_converted.csv,650.0,494.4853744265939,True,False,58.8235294117647,,184.9093897164179,178.95518307592388,27.439999999999998,2.341567300200012,7.118667355683683,131.16386046970803,0.14237334711367367,0.014181030687081242,0.25197252959455574,1.203666509025249,4.0,1.0,1.3116386046970803
constrained,13,train,700mv0_converted.csv,700.0,532.8566832813709,True,False,58.8235294117647,,182.4161180746269,168.20062242413098,22.079999999999984,2.36532147377045,5.202694173111689,135.81528787456443,0.10405388346223378,0.08083212663570725,0.15546741975703038,1.3558466777868936,4.0,1.0,1.3581528787456443
constrained,14,train,750mv0_converted.csv,750.0,570.0736739678696,True,False,62.5,,181.55648223880593,159.04669852742705,19.439999999999998,2.0619197270945335,4.3257236792394504,102.97630613582214,0.086514473584789,0.20267614509322304,0.12079906958861841,1.2665387838502489,4.0,1.0,1.0297630613582214
constrained,15,test,800mv0_converted.csv,800.0,606.2950294894458,True,False,62.5,,181.56365024875626,150.98077867966327,13.893400000000014,1.5561124892002738,2.8400519911103066,105.20525969182083,0.056801039822206134,0.37412481336465436,0.060883465249654094,0.9233729624815907,4.0,1.0,1.0520525969182082
constrained,16,train,850mv0_converted.csv,850.0,645.4819548424252,False,False,,,181.47794527363186,143.01896180119758,10.640000000000015,1.6318268461807008,38.52585296037114,108.49587608609836,0.7705170592074227,0.5916373638931893,0.0324588734276764,0.0,0.0,0.0,1.0849587608609836
constrained,17,train,900mv0_converted.csv,900.0,682.444649204679,False,False,,,178.6636184079602,136.40837195170997,9.733300000000014,1.4847659939994458,42.31370509855892,114.99280303451525,0.8462741019711784,0.7142023412313792,0.027215325299259116,0.0,0.0,0.0,1.1499280303451525
constrained,18,train,950mv0_converted.csv,950.0,721.2714260182299,False,False,,,177.73027726368161,130.07821058644657,9.706700000000012,1.6285171629366175,47.701681400304444,115.62243557478287,0.9540336280060889,0.9082877834446615,0.026102815179610234,0.0,0.0,0.0,1.1562243557478287
constrained,19,test,1000mv0_converted.csv,1000.0,756.6243660265701,False,False,,,175.6862324875622,125.38844655693708,11.573300000000017,1.7534103764683522,50.33658531184947,124.47024359885586,1.0067317062369894,1.0119469078091956,0.03857209288733795,0.0,0.0,0.0,1.2447024359885586
constrained,20,train,1100mv0_converted.csv,1100.0,834.7865599618726,False,False,,,176.02852154228853,115.33509101255451,14.346699999999998,2.0615002851308333,60.76793534325394,127.56813150754424,1.2153587068650789,1.4734770037870597,0.06037045281368856,0.0,0.0,0.0,1.2756813150754425
constrained,21,train,1200mv0_converted.csv,1200.0,906.8051472486442,False,False,,,173.40669950248756,107.27733540925485,11.120000000000005,1.335029977402499,66.17648512557577,135.1395621829205,1.3235297025115154,1.7492371181501343,0.03829825533725273,0.0,0.0,0.0,1.3513956218292051
relaxed,0,train,50mv0_converted.csv,50.0,37.99008122008859,False,False,,,88.34135940298506,86.16456765781486,4.506659999999982,1.4854304552530664,2.3312828733709483,20.990634146538948,0.046625657467418966,0.0018953689207364607,0.003651131184820663,0.0,0.0,0.0,0.20990634146538947
relaxed,1,train,100mv0_converted.csv,100.0,76.17083384633712,False,False,,,170.70984975124378,162.6242254741142,6.653399999999976,2.3158495559449364,8.238304899082243,51.841282535634846,0.16476609798164485,0.026150927980362827,0.007525737541888831,0.0,0.0,0.0,0.5184128253563485
relaxed,2,train,150mv0_converted.csv,150.0,114.17150902555795,False,False,,,239.83873747761194,222.50868013988236,5.800000000000011,11.788324225025463,17.801968001722212,68.68137620921469,0.35603936003444425,0.120132354931598,0.01434401080961067,0.0,0.0,0.0,0.686813762092147
relaxed,3,test,200mv0_converted.csv,200.0,152.16154020295048,False,False,,,297.36232073134323,261.07240426879093,7.720000000000027,33.411949964581424,37.16368770313616,85.81561816606607,0.7432737540627232,0.5267832147436097,0.26403051719302156,0.0,0.0,0.0,0.8581561816606608
relaxed,4,train,250mv0_converted.csv,250.0,189.60094286792295,False,False,,,318.8617590398009,274.9646742928065,14.14670000000001,65.08189628076542,45.55029348307135,91.0398083327938,0.911005869661427,0.7707816197139247,1.0377576880640396,0.0,0.0,0.0,0.9103980833279379
relaxed,5,train,300mv0_converted.csv,300.0,228.15229898524512,True,False,41.666666666666664,,235.10242222388064,265.2341777261651,100.10669999999999,87.53526637874506,31.736148612654354,110.31386657207443,0.634722972253087,0.3631690758597804,0.0632163773174475,0.9994910511478575,4.0,1.0,1.1031386657207443
relaxed,6,train,350mv0_converted.csv,350.0,266.70376233691485,True,False,41.666666666666664,,192.0122066318408,246.2605663637789,130.3466,81.54960802262764,36.24223983522126,132.0476807501126,0.7248447967044253,1.1771538134423059,0.9524585704158969,0.7291877417932813,4.0,1.0,1.320476807501126
relaxed,7,test,400mv0_converted.csv,400.0,303.2005083702369,True,False,45.45454545454545,,190.9832810945274,235.32694298108626,90.2534,50.792425763683354,29.78730976855445,139.97893964948327,0.595746195371089,0.7865441398037811,0.6228673950716983,1.5034415595513928,4.0,1.0,1.3997893964948327
relaxed,8,train,450mv0_converted.csv,450.0,341.5718172250129,True,False,50.0,,186.9897857363184,227.84923935420807,68.8133,79.73788615264567,24.553010366664182,149.86497006727686,0.49106020733328365,0.6677979799809909,0.04773863304263104,1.173986321777137,4.0,1.0,1.4986497006727686
relaxed,9,train,500mv0_converted.csv,500.0,380.88580812995247,True,False,52.63157894736842,,187.0197034825871,219.37218597818926,58.51999999999998,88.98945539420643,19.058325732470657,156.68538900035168,0.38116651464941315,0.4186732494512981,0.37135508480781454,0.8912829378199739,4.0,1.0,1.5668538900035167
relaxed,10,train,550mv0_converted.csv,550.0,419.0559644140832,True,False,52.63157894736842,,186.41220796353232,210.41247884899406,40.08000000000001,65.36400869282588,13.551084087799293,159.33682868563602,0.27102168175598584,0.2304052010302168,0.2557124382315576,1.0564858893185618,4.0,1.0,1.5933682868563601
relaxed,11,test,600mv0_converted.csv,600.0,457.8085803363978,True,False,55.55555555555556,,186.8872940631841,200.73953261695104,31.933300000000003,39.5217884987818,9.772975825297191,167.5124594559894,0.19545951650594381,0.07675380518018686,0.02303406307845746,1.1840845642963245,4.0,1.0,1.6751245945598938
relaxed,12,train,650mv0_converted.csv,650.0,494.4853744265939,True,False,58.8235294117647,,184.9093897164179,191.54051046027317,27.439999999999998,23.388598496080505,7.136037437726072,171.71043533729502,0.14272074875452145,0.017588704927835028,0.006565541658384452,0.7540885722327112,4.0,1.0,1.7171043533729502
relaxed,13,train,700mv0_converted.csv,700.0,532.8566832813709,True,False,58.8235294117647,,182.4161180746269,182.96822565811377,22.079999999999984,14.85385300717553,5.1987845891802245,173.53212566655964,0.1039756917836045,0.00012192911349748554,0.020886880144762355,1.2171730424589633,4.0,1.0,1.7353212566655964
relaxed,14,train,750mv0_converted.csv,750.0,570.0736739678696,True,False,62.5,,181.55648223880593,175.6573644242035,19.439999999999998,0.9768320568097977,4.419976389866757,163.79929239098033,0.08839952779733513,0.013919836396223852,0.13635542819937851,1.1588242085561544,4.0,1.0,1.6379929239098032
relaxed,15,test,800mv0_converted.csv,800.0,606.2950294894458,True,False,62.5,,181.56365024875626,168.4955310506101,13.893400000000014,0.7052853196678939,2.8936635201459016,165.56202814889198,0.05787327040291803,0.06831029575078239,0.06957054752863662,0.7792634899426039,4.0,1.0,1.6556202814889198
relaxed,16,train,850mv0_converted.csv,850.0,645.4819548424252,False,False,,,181.47794527363186,161.9313967177535,10.640000000000015,0.6468134483891674,19.660383170988585,168.91568485836092,0.3932076634197717,0.15282702417892416,0.039945510982118355,0.0,0.0,0.0,1.6891568485836093
relaxed,17,train,900mv0_converted.csv,900.0,682.444649204679,False,False,,,178.6636184079602,156.04347231692637,9.733300000000014,0.6020954552546698,22.711370821019614,172.5586166216972,0.45422741642039227,0.20466840367188527,0.03335155857519121,0.0,0.0,0.0,1.725586166216972
relaxed,18,train,950mv0_converted.csv,950.0,721.2714260182299,False,False,,,177.73027726368161,150.47056635869933,9.706700000000012,0.4363048477792404,27.33243587792084,175.1721947192968,0.5466487175584168,0.2972367354492841,0.034376090511327353,0.0,0.0,0.0,1.7517219471929681
relaxed,19,test,1000mv0_converted.csv,1000.0,756.6243660265701,False,False,,,175.6862324875622,145.6189737647801,11.573300000000017,1.3010955938392215,30.136304784250335,176.63027750087005,0.6027260956850067,0.36161601884108646,0.0422072733447797,0.0,0.0,0.0,1.7663027750087006
relaxed,20,train,1100mv0_converted.csv,1100.0,834.7865599618726,False,False,,,176.02852154228853,137.00471493525762,14.346699999999998,1.0813165757133731,39.12151836880646,182.44963951125987,0.7824303673761293,0.6091429928411797,0.07038815895733534,0.0,0.0,0.0,1.8244963951125988
relaxed,21,train,1200mv0_converted.csv,1200.0,906.8051472486442,False,False,,,173.40669950248756,129.74192786177343,11.120000000000005,1.0402363429841444,43.73636345966371,187.488473636512,0.8747272691932741,0.7626449129742849,0.04064065415251909,0.0,0.0,0.0,1.87488473636512
