evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
1,global,0.39,0.047873236,0.0036751265,314.4,333.49356636598696,6.882302959338694,0.2991563242902104,0.956269682,0.8730628482670495,0.4725760824189461,0.8256142206380326,0.8521103535743549,0.722202853335447,1.8823529411764706,0.47058823529411764,0.8323208381344805,0.1250000001315406,0.8730628482670495,192,constrained
2,global,0.3076858980076477,0.052196612544115464,0.0035422406195347155,314.29720674039237,333.2980506323308,6.7437479323920595,0.2993692977397464,0.818187488446332,0.89269728050488,0.5058897331582822,0.7786602291670636,0.8437649576356528,0.6960099306160109,1.8823529411764706,0.47058823529411764,0.8632125359064934,0.6449732660170853,0.8730628482670495,192,constrained
3,global,0.2666229775333307,0.027557508139810054,0.0039022646303297575,314.46603427811436,333.58595434396,6.882737752573675,0.2913861050629248,0.9925371274900171,0.9102954758606937,0.43520219903966106,0.9558270640903426,0.8578811570920643,0.7551252456170742,1.8823529411764706,0.47058823529411764,0.5612617159525748,0.6532762464962226,0.8730628482670495,192,constrained
4,global,0.20254957315156644,0.07685396936332672,0.003775849282374881,314.4433901612584,333.75801717970484,6.7636093022794075,0.30750992273769906,1.8554708628835697,1.5867280786462292,0.49255208308172166,0.9134821689545772,4.7513271921159586,0.6004596550762411,2.1176470588235294,0.5294117647058824,1.142994621406503,1.5003046959139343,0.8730628482670495,192,constrained
5,global,0.041859540761202296,0.08832354867398742,0.00404956228947885,314.50822789693046,333.2064995140657,7.1085652075224335,0.3125515448935083,1.0636200343977453,0.9890182449666799,0.4338290576268662,1.0345211372275542,0.6506643832597017,0.6056628868110399,1.8823529411764706,0.47058823529411764,1.2397450278644357,2.310001987721609,0.8730628482670495,192,constrained
6,global,0.0053290719330850445,0.03229832202351401,0.003710385773236457,314.4489032646034,333.6588832225642,6.670594948327889,0.3081750299253884,1.524295188929574,1.5400827994402768,0.7570896013858646,1.5432476093768985,3.923020203935986,0.602126263553458,1.8823529411764706,0.47058823529411764,0.6159352084628043,0.8206972407057009,0.8730628482670495,192,constrained
7,global,0.38831291618247143,0.09062021444069568,0.0036013625337531097,314.37135022108635,333.514986213412,6.634585815180483,0.2992349466845296,1.101191129291364,0.8977947940199252,0.49544460507046834,0.7993264676866402,0.646333419493442,0.5954591821711108,1.8823529411764706,0.47058823529411764,1.288450566226424,1.1747479240323404,0.8730628482670495,192,constrained
8,global,0.3598962913921428,0.06453081714122322,0.0036481521493430904,314.25273448243826,333.4110488216206,7.028462315123698,0.31403482953329753,1.2260310865332578,0.9116938008098332,0.47462560835719275,0.8158123594766171,0.7867818975356369,0.6505091616616382,1.8823529411764706,0.47058823529411764,1.033313082725364,1.138702590426588,0.8730628482670495,192,constrained
9,global,0.3718447658428892,0.08666146253494698,0.0036897920325958994,314.3452754686596,333.6043567382658,6.922919059170893,0.30621273666802756,0.8489200906171618,0.8937389774299748,0.4764509695803967,0.8577089083062963,0.6656000674400211,0.602121351058027,1.8823529411764706,0.47058823529411764,1.2636595613533974,0.8830809260875337,0.8730628482670495,192,constrained
10,global,0.23977524498050828,0.053183046000302915,0.003860235050918057,314.2635127072316,333.3272140103064,7.245263031437163,0.2907117138859061,0.6533043236409737,0.9500938184288931,0.4442229171284354,0.9292388636088887,0.8293067774260574,0.6813530118198398,1.8823529411764706,0.47058823529411764,0.8888123107457412,1.4990022730274841,0.8730628482670495,192,constrained
