fit_mode,split,traces,classification_matches,predicted_oscillating_traces,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_edge,objective_prior
baseline,train,17,9,0,0.8679692259802839,0.47423196167446013,0.8240745300364415,0.8469141134039752,0.698521655291401,1.8823529411764706,0.47058823529411764,0.8166159524267549,0.1250000001315406
baseline,test,5,2,0,0.9266586162346752,0.38572990107351063,0.7337996878303955,0.71149686467836,0.8527954854720784,2.4,0.6,0.8371769184950232,0.1250000001315406
baseline,all,22,11,0,0.8813077237653728,0.4541178569924261,0.8035575204441584,0.8161374659663353,0.733583889423373,2.0,0.5,0.821288899260452,0.1250000001315406
constrained,train,17,9,0,0.8601037568793718,0.4857524880821489,0.7971893968827177,0.8033169131608269,0.6545097248061502,1.8823529411764706,0.47058823529411764,0.9516916266584464,0.1569007630509452
constrained,test,5,2,0,0.9254861569810555,0.3965710558300744,0.7039643013075685,0.691598494754948,0.8324492450312082,2.4,0.6,0.9785377286611254,0.1569007630509452
constrained,all,22,11,0,0.8749633932661182,0.4654839807521319,0.776001875161093,0.7779263635231272,0.6949505248572998,2.0,0.5,0.957793013477237,0.1569007630509452
relaxed,train,17,9,0,0.6515360398045754,0.4333876800085044,0.34319471358025455,0.18448644085863083,0.46944233912380234,1.8823529411764706,0.47058823529411764,1.374369587671527,0.0
relaxed,test,5,2,0,0.7888083668462226,0.4390157664055362,0.3640014948638893,0.20434195924331874,0.6933579227580642,2.4,0.6,1.4709986458426016,0.0
relaxed,all,22,11,0,0.6827342959504044,0.43466679055328433,0.34792352750835337,0.18899905867333266,0.5203322444952255,2.0,0.5,1.3963307372558622,0.0
