fit_mode,dt_ns,objective_total,classification_matches,predicted_oscillating_traces
baseline,0.2,0.8857471187531114,11,0
baseline,0.1,0.8826154839141319,11,0
baseline,0.05,0.8813077237653728,11,0
constrained,0.2,0.875320597022071,11,0
constrained,0.1,0.8756453602819226,11,0
constrained,0.05,0.8749633932661182,11,0
relaxed,0.2,0.6867507614501313,11,0
relaxed,0.1,0.6837768181430475,11,0
relaxed,0.05,0.6827342959504044,11,0
