bootstrap_sample,effective_resistance_ohm,power_uW,inferred_temperature_K,ambient_temperature_K,delta_temperature_K,S_e_uW_per_K
0.0,1677.2756985331255,60.69616969995819,330.1097199882728,314.3780145586637,15.731705429609065,3.858206598867552
1.0,1680.4114712761734,60.59736505227861,331.5308157281945,314.4400253741296,17.090790354064893,3.5456151410731023
2.0,1680.7253524648288,60.594839781121806,330.4976483023526,314.27837102759594,16.219277274756678,3.7359765638528337
3.0,1679.5986978137355,60.70473339233153,329.62579271597707,314.4289491237631,15.196843592213952,3.994561964395908
4.0,1683.6162334353837,60.594839781121806,330.96144836633295,314.28132449728514,16.680123869047804,3.6327571819513653
5.0,1679.5986978137355,60.641336933559245,331.2221044777147,314.2641735071526,16.95793097056213,3.575986778034931
6.0,1682.0817394671826,60.65552902631116,330.7934352761631,314.51659246052253,16.276842815640578,3.7264922757641097
7.0,1678.729799279782,60.65805682667344,330.8040356944352,314.41613808145854,16.387897612976644,3.701393446505412
8.0,1678.099846251568,60.51361444483179,331.2665261518718,314.3141435112115,16.95238264066029,3.569622968495879
9.0,1684.1746526671006,60.763169041904774,330.64345902125035,314.2645399128103,16.378919108440073,3.709839986363536
10.0,1678.7301257263714,60.61488206507747,329.1462853155419,314.33663587331097,14.80964944223092,4.09293159176538
11.0,1677.2756985331255,60.55758167770207,330.4083713247754,314.4935415746438,15.91482975013156,3.805103958287802
12.0,1679.0354266421664,60.72256049645529,331.6592123637515,314.47892381377306,17.180288549978457,3.534431934586537
13.0,1683.1991680979897,60.66433842502213,330.0329806923364,314.28398707285805,15.74899361947837,3.851950155722485
14.0,1680.724998735395,60.62391826614229,329.32311482318056,314.53284673176785,14.790268091412713,4.098905975973537
15.0,1684.257670268307,60.56041198009323,330.8049305150891,314.3505256858232,16.45440482926591,3.6804984810134296
16.0,1686.0154072273003,60.7243811971968,330.96946845158305,314.4909880329723,16.47848041861073,3.685071660407165
17.0,1679.5986978137355,60.722868289198225,330.99263824351283,314.48781293727154,16.504825306241287,3.6790979100055012
18.0,1683.7630739445467,60.684014398362706,331.53751493158575,314.3296294089515,17.20788552263423,3.5265235998079234
19.0,1679.0354266421664,60.61486929937127,329.88721042735693,314.27215431894484,15.615056108412091,3.8818220618955723
20.0,1679.289059474553,60.594839781121806,330.9811060280632,314.2539934538815,16.727112574181717,3.6225522792648555
21.0,1680.6357782114778,60.641336933559245,331.85815181440586,314.5035103874779,17.35464142692797,3.4942431503924
22.0,1677.2756985331255,60.59820297679279,331.36991428720955,314.4085646329201,16.96134965428945,3.5727229384406787
23.0,1677.8382927604591,60.594839781121806,331.8976901781296,314.28976295004236,17.60792722808725,3.44133860824141
24.0,1679.8497904567153,60.62393095663266,331.17479932206436,314.5462757388158,16.62852358324858,3.6457795337707943
25.0,1680.1605950974129,60.66433842502213,331.21941527103104,314.3774615643012,16.84195370672984,3.6019775069671045
26.0,1682.3321681013333,60.580617230477465,330.3966302515183,314.28598739313543,16.110642858382846,3.7602855306891474
27.0,1677.8382927604591,60.511089173674975,331.6397332110239,314.34374877258017,17.295984438443725,3.498562882560023
28.0,1676.8784038947963,60.75607506931345,331.5235444131324,314.38068823936896,17.142856173763448,3.5441045793931663
29.0,1678.7301257263714,60.68195195100577,332.25411797370214,314.48696115764074,17.7671568160614,3.4154002567337987
30.0,1683.1991680979897,60.78001047608068,331.8454137284047,314.288846998901,17.556566729503686,3.4619530921122696
31.0,1681.9216970943453,60.78000418849405,330.9131749047858,314.508633398128,16.404541506657836,3.7050718036725554
32.0,1682.089125165839,60.65805682667344,331.3473221095832,314.3092870743451,17.038035035238124,3.5601556576929343
33.0,1682.567496758355,60.580604489609044,329.5076375850216,314.4126233855638,15.095014199457808,4.0132856908332695
34.0,1681.9220508237809,60.68195195100577,330.96098774946967,314.31729630374343,16.643691445726233,3.6459430979530496
35.0,1685.162951657265,60.621185106371605,329.2640490294223,314.48545468825006,14.778594341172266,4.1019587997949625
36.0,1676.9820556461275,60.6388052405981,330.6051851487527,314.39376820666286,16.21141694208984,3.740500010406928
37.0,1681.4618579262747,60.60075774567887,330.45057463616666,314.4287848056071,16.021789830559555,3.782396248269998
38.0,1682.3321681013333,60.68198752001895,330.8970266370887,314.3007387823453,16.596287854743366,3.656359063612861
39.0,1680.4114712761734,60.502702111514004,332.1439435467707,314.3832007809808,17.76074276578987,3.406541207727653
40.0,1678.7301257263714,60.742882648863,330.64093855535657,314.5122147245402,16.128723830816398,3.766130742024637
41.0,1679.2890594745552,60.783450524757136,331.34870528576323,314.4654968524832,16.883208433280004,3.6002310085173996
42.0,1679.5986978137355,60.69870378790712,331.8745887647124,314.43746427215063,17.437124492561793,3.4810042110899393
43.0,1679.5986978137355,60.72256049645529,330.2368212506983,314.3136004814429,15.923220769255408,3.8134596873578834
