C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,candidate_score,best_trace_score,best_current_uA,best_turn_count,best_vpp_mV,best_freq_MHz,n_good_currents,band_fraction,first_good_uA,last_good_uA,longest_band_uA
200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.10689499225124524,0.21378998450249048,250.0,0.0,284.6246642596172,3.571995729130392,0.0,0.0,,,0.0
145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.10523104334728396,0.21046208669456792,250.0,0.0,368.52712343332394,3.572125513638087,0.0,0.0,,,0.0
113.70987570088403,13.565113508360799,0.04715785165675895,319.11915521716475,2209.8747147219347,18.197838136784316,251.28457912555777,2.0692739125585518,0.06207821737675655,0.06207821737675655,0.03,0.00024704348190717396,0.0045187574065693095,4832.612994978277,1.0,0.10246902389135193,0.20493804778270386,250.0,0.0,391.51016483148146,3.571776049503855,0.0,0.0,,,0.0
75.12883754865025,3.375779220024404,0.12119546704811496,317.6361269396118,2298.722766529228,18.197838136784316,172.70036929595827,1.367182425115101,0.041015472753453026,0.041015472753453026,0.029999999999999995,0.00023749499158953402,0.0029855717370841023,7314.312864399289,1.0,0.09987681573859356,0.1997536314771871,250.0,0.0,561.0122476482204,3.5712674500261157,0.0,0.0,,,0.0
50.0,20.0,0.5,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,10990.316459389136,1.0,0.09673082022838117,0.19346164045676234,250.0,0.0,671.2984540145951,3.5712992979100506,0.0,0.0,,,0.0
44.61267690425267,7.359247137485324,0.24803736445091748,314.4294827796962,2503.1629357595007,18.197838136784316,111.67279929173918,0.8118542731522461,0.024355628194567384,0.024355628194567384,0.03,0.0002180981254973256,0.0017728791184177509,12317.481512011098,1.0,0.0941436691423745,0.188287338284749,250.0,0.0,697.9915210516086,3.5715267664143324,0.0,0.0,,,0.0
43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,0.0935891892063172,0.1871783784126344,250.0,0.0,709.6907253501274,3.571417746809289,0.0,0.0,,,0.0
24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,0.08985806250907306,0.17971612501814613,250.0,0.0,764.8163615080151,3.571531256590795,0.0,0.0,,,0.0
20.0,5.0,0.2,331.84509749589733,439.3940793197515,18.197838136784316,8.787881586395029,0.3639567627356863,0.010918702882070587,0.010918702882070587,0.029999999999999995,0.0012424726909127215,0.000794787150846244,27475.791148472847,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
6.857804627494105,5.9518367253937585,0.8009011662605415,320.12215737044596,2150.898630320898,18.197838136784316,14.750442580285387,0.12479721858482817,0.0037439165575448453,0.005,0.040064995491877566,0.00033897287981600764,0.0003639567627356863,60000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
7.075705294563986,14.698867536521284,0.18160700320195675,304.070078756209,3332.843694679581,18.197838136784316,23.58221977639851,0.1287625396540632,0.0038628761896218958,0.005,0.038831169480138636,0.00021202414562364845,0.0003639567627356863,60000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
14.265182044769684,39.63915699887919,0.4936987060942505,309.1233884624745,2891.4603587024053,18.197838136784316,41.24720839212486,0.25959547384248066,0.007787864215274419,0.007787864215274419,0.03,0.00018880948599569517,0.0005668891696832748,38521.47285922203,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
5.027559366126732,176.9907400596293,0.07903736293873667,309.93146807730477,2827.754871003845,18.197838136784316,14.21670548682587,0.09149071156784823,0.0027447213470354467,0.005,0.054650356460415876,0.0003516989224144319,0.00020563604774637758,60000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
