I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,n_cycles,V_pp_mV,V_std_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
50.0,145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.0,0.0,73.72290542834361,21.246781091247577,3.572125513638087,0.7495617471921124,inf,inf,0.7849985360079784,0.0,0.0,0.0,0.13982764713474224
250.0,145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.0,0.0,368.52712343332394,106.21426836971902,3.572125513638087,0.7495531476512373,inf,inf,0.7846235065861912,0.0,0.0,0.0,0.21046208669456792
450.0,145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.0,0.0,662.9804994660158,191.1030021220372,3.572125513638087,0.7495329708810288,inf,inf,0.7837451378433763,0.0,0.0,0.0,0.21040279680442794
650.0,145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.0,0.0,956.7974144890977,275.8491541994647,3.572125513638087,0.7495009476547181,inf,inf,0.7823554390596958,0.0,0.0,0.0,0.21030899213652945
850.0,145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.0,0.0,1249.683622039871,360.38746300483047,3.572125513638087,0.7494566479443686,inf,inf,0.7804416492048889,0.0,0.0,0.0,0.21017981132133
1050.0,145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.0,0.0,1541.3320739635813,444.6505543781094,3.572125513638087,0.7493994713929868,inf,inf,0.7779859559419275,0.0,0.0,0.0,0.2100140520260801
1250.0,145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.0,0.0,1831.4183553588528,528.5682148410148,3.572125513638087,0.7493286338527511,inf,inf,0.7749650959771011,1.0,0.0,0.0,0.0
1450.0,145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.0,0.0,2119.5955760110114,612.066599684231,3.572125513638087,0.7492431495297093,inf,inf,0.7713498202859493,1.0,0.0,0.0,0.0
1650.0,145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.0,0.0,2405.488536330812,695.0673559079786,3.572125513638087,0.7491418081158623,inf,inf,0.7671042015398792,1.0,0.0,0.0,0.0
1850.0,145.34619293,49.62776831,0.20558726,298.0,3978.853826544875,18.197838136784316,578.3112559132602,2.6449864927379654,0.07934959478213896,0.07934959478213896,0.03,0.00013720914813741833,0.005775964328259161,3780.7376436347968,1.0,0.0,0.0,2688.68694541484,777.4866367421545,3.572125513638087,0.7490231461010814,inf,inf,0.7621847533498399,1.0,0.0,0.0,0.0
50.0,50.0,20.0,0.5,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,10990.316459389136,1.0,0.0,0.0,134.65915428210957,38.63781331214817,3.5712992979100506,0.7481079849296516,inf,inf,0.5362881544409819,0.0,0.0,0.0,0.14497674596632573
250.0,50.0,20.0,0.5,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,10990.316459389136,1.0,0.0,0.0,671.2984540145951,192.68242036700025,3.5712992979100506,0.7480094945429716,inf,inf,0.5327650438038868,0.0,0.0,0.0,0.19346164045676234
450.0,50.0,20.0,0.5,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,10990.316459389136,1.0,0.0,0.0,1199.8816507187496,344.68730464074986,3.5712992979100506,0.7477727692859452,inf,inf,0.5244521561937369,0.0,0.0,0.0,0.19290052054307724
