I_uA,C_pF,C_th_pJ_per_K,tau_el_metal_ns,tau_th_ns,tau_el_over_tau_th,T_min_K,T_max_K,outside_resistance_temperature_range,max_temperature_step_K,frequency_MHz,raw_frequency_MHz,oscillatory,cycles,period_cv,persistence_ratio,V_pp_V,V_min_V,V_max_V
300.0,0.0,24.81388282775879,0.0,120.69757369794733,0.0,334.9228515625,334.9228515625,0.0,0.09381103515625,0.0,0.0,0.0,0.0,inf,0.0,0.0,6.8025336265563965,6.8025336265563965
300.0,18.16827392578125,24.81388282775879,23.37015092959897,120.69757369794733,0.19362568951124176,333.016845703125,333.016845703125,0.0,0.409820556640625,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.491208076477051,5.491208076477051
300.0,36.3365478515625,24.81388282775879,46.74030185919794,120.69757369794733,0.3872513790224835,326.1109313964844,356.6053771972656,0.0,0.53955078125,0.509483351988201,0.509483351988201,1.0,11.0,0.0001268434166659332,1.0,6.535535573959351,0.5313512682914734,7.092483043670654
300.0,72.673095703125,24.81388282775879,93.48060371839588,120.69757369794733,0.774502758044967,325.6121520996094,371.26922607421875,1.0,0.613861083984375,0.2947331274962222,0.2947331274962222,1.0,5.0,5.894662383212001e-05,0.9999989138839969,6.314465165138245,0.6683557033538818,7.034286022186279
300.0,145.34619140625,24.81388282775879,186.96120743679177,120.69757369794733,1.549005516089934,325.41351318359375,389.6319885253906,1.0,0.65185546875,0.16538037953945955,0.16538037953945955,1.0,3.0,3.8980528180074286e-05,0.9998320595994221,5.915585875511169,0.9454483985900879,6.958071231842041
300.0,290.6923828125,24.81388282775879,373.92241487358353,120.69757369794733,3.098011032179868,325.37518310546875,420.2525939941406,1.0,0.669647216796875,0.0,0.09117017169913226,0.0,1.0,0.0,0.9352236515170474,5.848245620727539,1.2957327365875244,7.272834777832031
300.0,581.384765625,24.81388282775879,747.8448297471671,120.69757369794733,6.196022064359736,325.3915710449219,443.54425048828125,1.0,0.676544189453125,0.0,0.0,0.0,0.0,inf,1.7257400370243565,5.49193549156189,1.586181640625,7.207982540130615
300.0,0.0,35.09212875366211,0.0,170.69214511813425,0.0,334.9223327636719,334.9223327636719,0.0,0.066375732421875,0.0,0.0,0.0,0.0,inf,0.0,0.0,6.80322790145874,6.80322790145874
300.0,18.16827392578125,35.09212875366211,23.37015092959897,170.69214511813425,0.13691403850730643,333.1504211425781,333.1504211425781,0.0,0.22528076171875,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.584129333496094,5.584129333496094
300.0,36.3365478515625,35.09212875366211,46.74030185919794,170.69214511813425,0.27382807701461287,326.5188293457031,350.18896484375,0.0,0.34130859375,0.4613846796984282,0.4613846796984282,1.0,9.0,9.59079636729793e-05,1.0000033788894218,6.540843963623047,0.5193697214126587,7.081585884094238
300.0,72.673095703125,35.09212875366211,93.48060371839588,170.69214511813425,0.5476561540292257,325.8153076171875,363.42822265625,0.0,0.411865234375,0.2756719581755843,0.2756719581755843,1.0,5.0,0.0,0.9999915624654898,6.451035678386688,0.5836394429206848,7.06859827041626
300.0,145.34619140625,35.09212875366211,186.96120743679177,170.69214511813425,1.0953123080584515,325.48492431640625,379.97503662109375,1.0,0.4501953125,0.156510855845461,0.156510855845461,1.0,3.0,3.6889961455892506e-05,0.9997042661398409,6.129770398139954,0.7908152937889099,6.9958815574646
300.0,290.6923828125,35.09212875366211,373.92241487358353,170.69214511813425,2.190624616116903,325.37982177734375,408.5757141113281,1.0,0.468902587890625,0.0,0.08704356776619508,0.0,1.0,0.0,0.9350027444018861,6.096221566200256,1.113782286643982,7.317708492279053
300.0,581.384765625,35.09212875366211,747.8448297471671,170.69214511813425,4.381249232233806,325.382568359375,431.9941101074219,1.0,0.476898193359375,0.0,0.0,0.0,0.0,inf,1.772103952303556,5.664894104003906,1.4575231075286865,7.236725330352783
300.0,0.0,49.62776565551758,0.0,241.39514739589467,0.0,334.9216003417969,334.9216003417969,0.0,0.046966552734375,0.0,0.0,0.0,0.0,inf,0.0,0.0,6.804211139678955,6.804211139678955
300.0,18.16827392578125,49.62776565551758,23.37015092959897,241.39514739589467,0.09681284475562088,333.1795654296875,333.1795654296875,0.0,0.1077880859375,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.600186824798584,5.600186824798584
300.0,36.3365478515625,49.62776565551758,46.74030185919794,241.39514739589467,0.19362568951124176,332.9489440917969,333.01190185546875,0.0,0.20440673828125,0.0,0.0,0.0,0.0,inf,0.0,0.0071239471435546875,5.464818954467773,5.49289608001709
300.0,72.673095703125,49.62776565551758,93.48060371839588,241.39514739589467,0.3872513790224835,326.1122131347656,356.5052795410156,0.0,0.269866943359375,0.25488097779526236,0.25488097779526236,1.0,5.0,5.09761941173472e-05,0.9999904381136354,6.526209592819214,0.5326950550079346,7.0904059410095215
300.0,145.34619140625,49.62776565551758,186.96120743679177,241.39514739589467,0.774502758044967,325.6129455566406,371.198486328125,1.0,0.307159423828125,0.14742015158947405,0.14742015158947405,1.0,3.0,3.474726197476892e-05,0.9996467318638196,6.3123138546943665,0.6693261861801147,7.034758567810059
300.0,290.6923828125,49.62776565551758,373.92241487358353,241.39514739589467,1.549005516089934,325.4092712402344,397.40380859375,1.0,0.32635498046875,0.0,0.08270614740566803,0.0,1.0,0.0,0.9330019110226386,6.354154050350189,0.9320003390312195,7.374060153961182
300.0,581.384765625,49.62776565551758,747.8448297471671,241.39514739589467,3.098011032179868,325.3758239746094,420.1944274902344,1.0,0.335205078125,0.0,0.0,0.0,0.0,inf,1.8297296813939203,5.878241300582886,1.2964000701904297,7.272562503814697
300.0,0.0,70.18425750732422,0.0,341.3842902362685,0.0,334.9205627441406,334.9205627441406,0.0,0.033203125,0.0,0.0,0.0,0.0,inf,0.0,0.0,6.805604457855225,6.805604457855225
300.0,18.16827392578125,70.18425750732422,23.37015092959897,341.3842902362685,0.06845701925365322,332.7252197265625,332.7252197265625,0.0,0.043304443359375,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.301092147827148,5.301092147827148
300.0,36.3365478515625,70.18425750732422,46.74030185919794,341.3842902362685,0.13691403850730643,333.1585998535156,333.17669677734375,0.0,0.1121826171875,0.0,0.0,0.0,0.0,inf,0.0,0.0016913414001464844,5.58356237411499,5.591554164886475
300.0,72.673095703125,70.18425750732422,93.48060371839588,341.3842902362685,0.27382807701461287,326.5201721191406,350.16851806640625,0.0,0.17059326171875,0.23080030656786849,0.23080030656786849,1.0,4.0,0.0001290212900294149,0.9998941906497182,6.538486003875732,0.5201722979545593,7.0817718505859375
300.0,145.34619140625,70.18425750732422,186.96120743679177,341.3842902362685,0.5476561540292257,325.8068542480469,363.3981628417969,0.0,0.2060546875,0.0,0.13788824547994516,0.0,2.0,3.447206039504981e-05,0.9996088896181089,6.451137363910675,0.58424973487854,7.0709404945373535
300.0,290.6923828125,70.18425750732422,373.92241487358353,341.3842902362685,1.0953123080584515,325.478759765625,387.06005859375,1.0,0.225250244140625,0.0,0.0,0.0,0.0,inf,0.929647831278957,6.603530406951904,0.7711912393569946,7.445117950439453
300.0,581.384765625,70.18425750732422,747.8448297471671,341.3842902362685,2.190624616116903,325.3805236816406,408.5249938964844,1.0,0.234619140625,0.0,0.0,0.0,0.0,inf,1.8953053296788351,6.122228980064392,1.1143138408660889,7.317385196685791
300.0,0.0,99.25553131103516,0.0,482.79029479178934,0.0,334.9190979003906,334.9190979003906,0.0,0.02349853515625,0.0,0.0,0.0,0.0,inf,0.0,0.0,6.807565212249756,6.807565212249756
300.0,18.16827392578125,99.25553131103516,23.37015092959897,482.79029479178934,0.04840642237781044,331.8006896972656,331.8006896972656,0.0,0.01666259765625,0.0,0.0,0.0,0.0,inf,0.0,0.0,4.656769275665283,4.656769275665283
300.0,36.3365478515625,99.25553131103516,46.74030185919794,482.79029479178934,0.09681284475562088,333.11212158203125,333.1787414550781,0.0,0.0535888671875,0.0,0.0,0.0,0.0,inf,0.0,0.008362770080566406,5.6020588874816895,5.611100196838379
300.0,72.673095703125,99.25553131103516,93.48060371839588,482.79029479178934,0.19362568951124176,328.8532409667969,339.31878662109375,0.0,0.102081298828125,0.0,0.0,0.0,0.0,inf,0.0,3.7792959213256836,2.826369047164917,7.00574254989624
300.0,145.34619140625,99.25553131103516,186.96120743679177,482.79029479178934,0.3872513790224835,326.1031188964844,356.49542236328125,0.0,0.134918212890625,0.0,0.1274900434463021,0.0,2.0,3.187250996015936e-05,0.9996039237830626,6.512704968452454,0.5330725908279419,7.093287944793701
300.0,290.6923828125,99.25553131103516,373.92241487358353,482.79029479178934,0.774502758044967,325.6053161621094,377.78546142578125,1.0,0.15362548828125,0.0,0.0,0.0,0.0,inf,0.9235911845942296,6.834689497947693,0.6443093419075012,7.535068035125732
300.0,581.384765625,99.25553131103516,747.8448297471671,482.79029479178934,1.549005516089934,325.4101257324219,397.3591003417969,1.0,0.163238525390625,0.0,0.0,0.0,0.0,inf,1.9626012995281286,6.378110766410828,0.932431697845459,7.373645305633545
300.0,0.0,140.36851501464844,0.0,682.768580472537,0.0,334.91705322265625,334.91705322265625,0.0,0.0166015625,0.0,0.0,0.0,0.0,inf,0.0,0.0,6.810306549072266,6.810306549072266
300.0,18.16827392578125,140.36851501464844,23.37015092959897,682.768580472537,0.03422850962682661,331.75439453125,331.75439453125,0.0,0.008026123046875,0.0,0.0,0.0,0.0,inf,0.0,0.0,4.626698970794678,4.626698970794678
300.0,36.3365478515625,140.36851501464844,46.74030185919794,682.768580472537,0.06845701925365322,332.70086669921875,332.7494812011719,0.0,0.021514892578125,0.0,0.0,0.0,0.0,inf,0.0,0.019477367401123047,5.262546062469482,5.297398090362549
300.0,72.673095703125,140.36851501464844,93.48060371839588,682.768580472537,0.13691403850730643,330.88189697265625,335.62408447265625,0.0,0.05596923828125,0.0,0.0,0.0,0.0,inf,0.0,1.425093650817871,5.347365379333496,6.809276103973389
300.0,145.34619140625,140.36851501464844,186.96120743679177,682.768580472537,0.27382807701461287,326.5083312988281,350.1557922363281,0.0,0.08526611328125,0.0,0.11546011179793698,0.0,2.0,0.00017319016279875303,0.9902332554848282,6.553644001483917,0.46044448018074036,7.085109233856201
300.0,290.6923828125,140.36851501464844,373.92241487358353,682.768580472537,0.5476561540292257,325.8075256347656,369.7155456542969,0.0,0.10302734375,0.0,0.0,0.0,0.0,inf,0.914155595818362,7.048262000083923,0.5541473627090454,7.649293422698975
300.0,581.384765625,140.36851501464844,747.8448297471671,682.768580472537,1.0953123080584515,325.4797668457031,387.02166748046875,1.0,0.112640380859375,0.0,0.0,0.0,0.0,inf,2.025675438501261,6.627104461193085,0.7715319991111755,7.444547653198242
300.0,0.0,198.5110626220703,0.0,965.5805895835787,0.0,334.91412353515625,334.91412353515625,0.0,0.011749267578125,0.0,0.0,0.0,0.0,inf,0.0,0.0,6.814233303070068,6.814233303070068
300.0,18.16827392578125,198.5110626220703,23.37015092959897,965.5805895835787,0.02420321118890522,332.296630859375,332.296630859375,0.0,0.005035400390625,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.010618686676025,5.010618686676025
300.0,36.3365478515625,198.5110626220703,46.74030185919794,965.5805895835787,0.04840642237781044,331.82073974609375,331.8536376953125,0.0,0.00830078125,0.0,0.0,0.0,0.0,inf,0.0,0.004310131072998047,4.653748512268066,4.673912525177002
300.0,72.673095703125,198.5110626220703,93.48060371839588,965.5805895835787,0.09681284475562088,328.96929931640625,334.33880615234375,0.0,0.026702880859375,0.0,0.0,0.0,0.0,inf,0.0,0.9075326919555664,5.46803092956543,6.4197773933410645
300.0,145.34619140625,198.5110626220703,186.96120743679177,965.5805895835787,0.19362568951124176,327.0282287597656,351.275390625,0.0,0.050994873046875,0.0,0.09961151790835066,0.0,1.0,0.0,0.43498488735524843,6.506091743707657,0.4420436918735504,7.0093674659729
300.0,290.6923828125,198.5110626220703,373.92241487358353,965.5805895835787,0.3872513790224835,326.1038513183594,362.883544921875,0.0,0.06744384765625,0.0,0.0,0.0,0.0,inf,0.7683404951072381,7.252703011035919,0.4956657886505127,7.794538497924805
300.0,581.384765625,198.5110626220703,747.8448297471671,965.5805895835787,0.774502758044967,325.9341735839844,377.7503356933594,1.0,0.076812744140625,0.0,0.0,0.0,0.0,inf,2.0812314108626353,6.858839690685272,0.6445753574371338,7.534266471862793
400.0,0.0,24.81388282775879,0.0,120.69757369794733,0.0,336.6407775878906,336.6407775878906,0.0,0.16680908203125,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.984813690185547,5.984813690185547
400.0,18.16827392578125,24.81388282775879,23.37015092959897,120.69757369794733,0.19362568951124176,327.9306335449219,349.8639831542969,0.0,0.705841064453125,1.195657406238859,1.195657406238859,1.0,25.0,0.0002684244143747148,1.0,6.664409697055817,0.5979682803153992,7.273327827453613
400.0,36.3365478515625,24.81388282775879,46.74030185919794,120.69757369794733,0.3872513790224835,326.62396240234375,362.7753601074219,0.0,0.731597900390625,0.7401924709710823,0.7401924709710823,1.0,15.0,0.0,0.999976159820204,6.8727458119392395,0.6200436949729919,7.508028507232666
400.0,72.673095703125,24.81388282775879,93.48060371839588,120.69757369794733,0.774502758044967,325.89202880859375,377.8402404785156,1.0,0.733917236328125,0.43658591062297847,0.43658591062297847,1.0,8.0,0.0,1.0000042457468952,6.585067510604858,0.7572212219238281,7.3694634437561035
400.0,145.34619140625,24.81388282775879,186.96120743679177,120.69757369794733,1.549005516089934,325.574462890625,396.0318298339844,1.0,0.726898193359375,0.25040691831274126,0.25040691831274126,1.0,5.0,7.91856181336767e-05,1.000016076983709,6.122294664382935,1.0263794660568237,7.19570779800415
400.0,290.6923828125,24.81388282775879,373.92241487358353,120.69757369794733,3.098011032179868,325.4757385253906,416.27227783203125,1.0,0.716461181640625,0.0,0.14064203484855417,0.0,2.0,3.5160507717731446e-05,0.999776024704783,5.636531114578247,1.3594428300857544,7.051102638244629
400.0,581.384765625,24.81388282775879,747.8448297471671,120.69757369794733,6.196022064359736,325.4532775878906,448.48388671875,1.0,0.7060546875,0.0,0.0,0.0,0.0,inf,0.9341712404264134,5.565854072570801,1.6260066032409668,7.322063446044922
400.0,0.0,35.09212875366211,0.0,170.69214511813425,0.0,336.6404113769531,336.6404113769531,0.0,0.118011474609375,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.98544454574585,5.98544454574585
400.0,18.16827392578125,35.09212875366211,23.37015092959897,170.69214511813425,0.13691403850730643,333.9876708984375,333.9876708984375,0.0,0.475921630859375,0.0,0.0,0.0,0.0,inf,0.0,0.0,4.616662502288818,4.616662502288818
400.0,36.3365478515625,35.09212875366211,46.74030185919794,170.69214511813425,0.27382807701461287,327.2030944824219,356.0934753417969,0.0,0.51092529296875,0.671088989890567,0.671088989890567,1.0,13.0,0.00014137329517723617,0.9999949671930284,6.8692551255226135,0.5934565663337708,7.474368095397949
400.0,72.673095703125,35.09212875366211,93.48060371839588,170.69214511813425,0.5476561540292257,326.1943359375,369.85162353515625,0.0,0.519378662109375,0.4040200104164162,0.4040200104164162,1.0,8.0,8.747289569056499e-05,1.0000035081395608,6.757746458053589,0.6735633611679077,7.452752113342285
400.0,145.34619140625,35.09212875366211,186.96120743679177,170.69214511813425,1.0953123080584515,325.6946716308594,386.5404357910156,1.0,0.51715087890625,0.23446659514230533,0.23446659514230533,1.0,4.0,0.0,0.9996920685713877,6.365149557590485,0.8766748309135437,7.281729698181152
400.0,290.6923828125,35.09212875366211,373.92241487358353,170.69214511813425,2.190624616116903,325.5065612792969,405.9593200683594,1.0,0.51068115234375,0.0,0.13312477495682526,0.0,2.0,3.3281192797949875e-05,0.9989524231109549,5.8629854917526245,1.1886500120162964,7.117733478546143
400.0,581.384765625,35.09212875366211,747.8448297471671,170.69214511813425,4.381249232233806,325.46185302734375,437.4758605957031,1.0,0.503173828125,0.0,0.0,0.0,0.0,inf,0.9343643902595486,5.75861930847168,1.5087581872940063,7.377269744873047
400.0,0.0,49.62776565551758,0.0,241.39514739589467,0.0,336.6399230957031,336.6399230957031,0.0,0.08349609375,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.98628044128418,5.98628044128418
400.0,18.16827392578125,49.62776565551758,23.37015092959897,241.39514739589467,0.09681284475562088,334.25457763671875,334.25457763671875,0.0,0.309600830078125,0.0,0.0,0.0,0.0,inf,0.0,0.0,4.756244659423828,4.756244659423828
400.0,36.3365478515625,49.62776565551758,46.74030185919794,241.39514739589467,0.19362568951124176,327.93499755859375,349.7471008300781,0.0,0.352081298828125,0.5986679807120749,0.5986679807120749,1.0,12.0,0.0001296154162664729,0.9999959159235398,6.658253490924835,0.6002243161201477,7.269865036010742
400.0,72.673095703125,49.62776565551758,93.48060371839588,241.39514739589467,0.3872513790224835,326.62579345703125,362.6318359375,0.0,0.3656005859375,0.37047819195922227,0.37047819195922227,1.0,7.0,9.166957620306846e-05,1.0000918208014709,6.869498074054718,0.6211141347885132,7.505237102508545
