I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,n_cycles,V_pp_mV,V_std_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
50.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,64.0000935577758,18.131380413564262,3.5712992979100506,0.7490034954193796,inf,inf,0.4633183162154896,0.0,0.0,0.0,0.11461402002534485
250.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,319.020221716061,90.42890075264653,3.5712992979100506,0.74885918002732,inf,inf,0.45953653652579524,0.0,0.0,0.0,0.18851871621549118
450.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,569.8509757708081,161.76797863988156,3.5712992979100506,0.7484891015921286,inf,inf,0.450043563526248,0.0,0.0,0.0,0.1878779405380218
650.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,811.8494062662119,231.16752159532876,3.5712992979100506,0.7477959558670961,inf,inf,0.43284554222795596,0.0,0.0,0.0,0.18671707410038704
850.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,1036.9916005961663,297.1367262057592,3.5712992979100506,0.7465639992478539,inf,inf,0.40329036823184167,0.0,0.0,0.0,0.18472209985564933
1050.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,1227.8900581210464,356.98022595182977,3.5712992979100506,0.7443191866871753,inf,inf,0.3499800718593053,0.0,0.0,0.0,0.1811236548505031
1250.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,1.0,0.0,1363.564979471553,404.98495643084016,3.5712992979100506,0.7399774953364002,inf,inf,0.2653191533017578,0.0,0.0,0.0,0.17540904284786868
1450.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,1.0,0.0,1478.4680995886183,428.6092427887384,3.5712992979100506,0.7310823543737406,inf,inf,0.2531929957090192,0.0,0.0,0.0,0.1745905272103588
1650.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,1.0,0.0,1579.4405011308422,472.0851230626123,3.5712992979100506,0.7083886990732191,inf,inf,1.0144076728433038,0.0,0.0,0.0,0.225
1850.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,2.0,1.0,1788.060457290167,623.1848071992623,3.5712992979100506,0.5928167665025664,0.0,0.9724616933333208,1.1513757570364842,1.0,0.0,0.0,0.0
50.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,1.0,0.0,0.36269398872631964,0.03896127241516424,3.5712992979100506,0.8059888658977361,inf,inf,0.00017953425024963405,0.0,0.0,0.0,0.06751211856189185
250.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,1.0,0.0,1.6748644831566608,0.16061240692722253,3.5712992979100506,0.5293564499902789,inf,inf,0.0045940736377880955,0.0,0.0,0.0,0.0678100999705507
450.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,1.0,0.0,2.5942962372444285,0.2666465337925427,3.5712992979100506,0.6390393232235251,inf,inf,0.015204315002186474,0.0,0.0,0.0,0.06852629126264759
650.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,1.0,0.0,3.0437206263221697,0.6894475589620467,3.5712992979100506,0.6933962893550051,inf,inf,0.03208754686056472,0.0,0.0,0.0,0.06966590941308812
850.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,1.0,0.0,5.468771595571894,1.5520247476109685,3.5712992979100506,0.7116067941931243,inf,inf,0.03188493403415935,0.0,0.0,0.0,0.06965223304730575
1050.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,1.0,0.0,10.138449620014299,2.813880368079587,3.5712992979100506,0.7200825185638219,inf,inf,0.023648333911537003,0.0,0.0,0.0,0.06909626253902874
1250.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,1.0,0.0,16.448775797268013,4.405894352650395,3.5712992979100506,0.7252368760026695,inf,inf,0.017249516537885454,0.0,0.0,0.0,0.06866434236630728
1450.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,1.0,0.0,24.316101043207055,6.237087975371215,3.5712992979100506,0.7291693788000712,inf,inf,0.012406329308976161,0.0,0.0,0.0,0.06989122360391042
1650.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,1.0,0.0,33.584160952466874,8.208820753335775,3.5712992979100506,0.7327459713013383,inf,inf,0.008837964724773458,0.0,0.0,0.0,0.07298686056181028
1850.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,1.0,0.0,44.063217122685955,10.227110807024934,3.5712992979100506,0.7363634349419328,inf,inf,0.006267589590777567,0.0,0.0,0.0,0.07658582046154443
50.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,0.0,0.0,0.6862864306060628,0.07645405953991309,3.5715463245820014,0.8100364902127853,inf,inf,2.1314529365260937e-09,0.0,0.0,0.0,0.06750000014387307
250.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,0.0,0.0,3.363221692391612,0.3724489435045353,3.5715463245820014,0.8113553185522933,inf,inf,1.525459838751598e-09,0.0,0.0,0.0,0.06750000010296853
450.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,0.0,0.0,5.774899382239333,0.6306520499991952,3.5715463245820014,0.8144715408481414,inf,inf,6.571915041958244e-10,0.0,0.0,0.0,0.06750000004436042
650.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,0.0,0.0,7.738154870704008,0.8264772115144801,3.5715463245820014,0.8194758816722463,inf,inf,1.4805768782196557e-10,0.0,0.0,0.0,0.0675000000099939
850.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,0.0,0.0,9.114805250217529,0.9438226939226552,3.5715463245820014,0.8264945772101309,inf,inf,1.0135681889886189e-11,0.0,0.0,0.0,0.06750000000068415
1050.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,1.0,0.0,9.822319576865596,0.9765802515749143,3.5715463245820014,0.8356114118124653,inf,inf,4.296972642140239e-13,0.0,0.0,0.0,0.067500000000029
1250.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,2.0,1.0,9.840306931331384,0.928513769359423,3.5715463245820014,0.8464360755708591,inf,0.0,1.732977007449416e-14,0.0,0.0,0.0,0.09000000000000116
1450.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,3.0,1.0,9.226643784856378,0.8119425887009805,3.5715463245820014,0.8552177919705551,0.0,0.9988998616877441,2.0638647987716913e-13,0.0,0.0,0.0,0.18000000000001395
1650.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,4.0,1.0,8.111023787730517,0.6461028086382212,3.5715463245820014,0.8305517167617654,0.0,0.9959238087115893,6.797923139911238e-13,0.0,0.0,0.0,0.18000000000004587
1850.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,4.0,2.0,6.660031758913391,0.45716018794932756,3.5715463245820014,0.6737002659313763,0.0,1.403801148444719,0.0,0.0,0.0,0.0,0.20249999999999999
50.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0,0.0,0.12658482275160776,0.0365506222029039,3.5714696813829385,0.7494983217427496,inf,inf,1.2150858311494555,0.0,0.0,0.0,0.135
250.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0,0.0,0.6286674663408416,0.18152827075089661,3.5714696813829385,0.7494987329321255,inf,inf,1.2130104129205592,0.0,0.0,0.0,0.135
450.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0,0.0,1.1138337570309655,0.32163752396677164,3.5714696813829385,0.7494997378900834,inf,inf,1.2081901308789742,0.0,0.0,0.0,0.135
650.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0,0.0,1.56898671931385,0.45310625457058207,3.5714696813829385,0.7495014438661338,inf,inf,1.200677989475017,0.0,0.0,0.0,0.135
850.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0,0.0,1.9817579741066815,0.5723674767182804,3.5714696813829385,0.7495040138146583,inf,inf,1.1905554267000147,0.0,0.0,0.0,0.135
1050.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0,0.0,2.340790650243129,0.6761397139433387,3.5714696813829385,0.74950765927603,inf,inf,1.177929939919902,0.0,0.0,0.0,0.135
1250.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0,0.0,2.635980954858425,0.7614963857558487,3.5714696813829385,0.7495126312392748,inf,inf,1.1629320166001569,0.0,0.0,0.0,0.135
1450.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0,0.0,2.858670365779826,0.825921990123093,3.5714696813829385,0.7495192094455522,inf,inf,1.1457114995575028,0.0,0.0,0.0,0.135
1650.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0,0.0,3.001783517376552,0.8673536367873526,3.5714696813829385,0.7495276906820747,inf,inf,1.1264335159766046,0.0,0.0,0.0,0.135
1850.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0,0.0,3.0599100473066585,0.8842072974905357,3.5714696813829385,0.7495383766532131,inf,inf,1.1052740677306119,0.0,0.0,0.0,0.135
50.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,1.0,0.0,8.765553618061972e-06,2.587721121556061e-06,3.5710705714050257,0.7494956587933376,inf,inf,0.8777981715457599,0.0,0.0,0.0,0.1267513765793388
250.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,1.0,0.0,0.0011162663288590835,0.0003252785681080932,3.5710705714050257,0.7497359045196139,inf,inf,0.8398198987423058,0.0,0.0,0.0,0.12418784316510564
450.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,0.0,0.0,0.006503133089680091,0.0018818648291203327,3.5710705714050257,0.7497515212893803,inf,inf,0.8230116790467054,0.0,0.0,0.0,0.1230532883356526
650.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,0.0,0.0,0.019388994533859005,0.0055982761896655525,3.5710705714050257,0.7497669070158459,inf,inf,0.8107874161305186,0.0,0.0,0.0,0.12222815058881001
850.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,0.0,0.0,0.042647169912232386,0.012299518839824044,3.5710705714050257,0.7497861436647779,inf,inf,0.7973017053735529,0.0,0.0,0.0,0.12131786511271482
1050.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,0.0,0.0,0.07868847645726618,0.02267325177108801,3.5710705714050257,0.7498096880586591,inf,inf,0.7814339173355509,0.0,0.0,0.0,0.12024678942014969
1250.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,0.0,0.0,0.1293659090409598,0.03724170342193681,3.5710705714050257,0.7498374365894845,inf,inf,0.7630385821817467,0.0,0.0,0.0,0.1190051042972679
1450.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,0.0,0.0,0.19591450640952957,0.056343280695624706,3.5710705714050257,0.749869077317415,inf,inf,0.7422227150655484,0.0,0.0,0.0,0.1176000332669245
1650.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,0.0,0.0,0.27892637155747124,0.0801244535687352,3.5710705714050257,0.7499041538246085,inf,inf,0.7191881600566069,0.0,0.0,0.0,0.11604520080382097
1850.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,0.0,0.0,0.378359892855066,0.10854173846329641,3.5710705714050257,0.7499420748168223,inf,inf,0.6941813800369725,0.0,0.0,0.0,0.11435724315249564
50.0,100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,63.69501857519144,18.04013686164621,3.5712992979100506,0.7489958891818383,inf,inf,0.4608888634727693,0.0,0.0,0.0,0.11434020497148085
250.0,100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,317.9219620880358,90.0732704672646,3.5712992979100506,0.7489126264308171,inf,inf,0.4587345877530471,0.0,0.0,0.0,0.18846458467333072
450.0,100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,569.8536736775488,161.58261415668085,3.5712992979100506,0.7487080639586724,inf,inf,0.4535008862526093,0.0,0.0,0.0,0.18811130982205115
650.0,100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,817.2884357810834,232.08807789193006,3.5712992979100506,0.748354780316989,inf,inf,0.4446287547759898,0.0,0.0,0.0,0.18751244094737932
850.0,100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,1057.2362625618077,300.984619216276,3.5712992979100506,0.7478007822860926,inf,inf,0.43103077933166345,0.0,0.0,0.0,0.18659457760488726
1050.0,100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,1285.094463147355,367.43131903467105,3.5712992979100506,0.7469537735415622,inf,inf,0.41068757576394005,0.0,0.0,0.0,0.18522141136406595
1250.0,100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,1492.8810053904026,430.14640954062304,3.5712992979100506,0.7456505878568687,inf,inf,0.37974715058692493,0.0,0.0,0.0,0.18313293266461744
1450.0,100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,0.0,0.0,1664.959265116756,487.0017206975074,3.5712992979100506,0.7435979008387643,inf,inf,0.33033200310501837,0.0,0.0,0.0,0.17979741020958873
1650.0,100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,1.0,0.0,1799.701350488684,534.1961658824972,3.5712992979100506,0.7402591864034173,inf,inf,0.26813530193234686,1.0,0.0,0.0,0.0
1850.0,100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,1.0,0.0,1921.2985055577547,564.9099644150945,3.5712992979100506,0.7346729386927919,inf,inf,0.21267223249402745,1.0,0.0,0.0,0.0
