time_us,source_voltage_V,voltage_V,current_mA,load_current_mA,temperature_K,resistance_ohm,semiconducting_fraction
0.0,14.5,0.0,0.0,1.2083332985639572,325.0,51843.375,0.9968746900558472
0.005,14.5,0.041567422449588776,0.0,1.2083332985639572,325.0,51843.375,0.9968746900558472
0.01,14.5,0.08298809826374054,0.0008017885306799144,1.2048693606629968,325.0,51843.375,0.9968746900558472
0.015000000000000001,14.5,0.12426254898309708,0.001600746486474236,1.2014176463708282,325.0,51843.375,0.9968746900558472
0.02,14.5,0.16539129614830017,0.002396883928668103,1.1979781556874514,325.0000305175781,51843.375,0.9968746900558472
0.024999999999999998,14.5,0.20637483894824982,0.0031902172850095667,1.1945507721975446,325.0000915527344,51843.26953125,0.9968745708465576
0.03,14.5,0.2472137063741684,0.003980760538979666,1.191135379485786,325.00018310546875,51843.06640625,0.9968745112419128
0.034999999999999996,14.5,0.2879084050655365,0.004768519374920288,1.1877322103828192,325.00030517578125,51842.8671875,0.9968743324279785
0.039999999999999994,14.5,0.3284594416618347,0.005553512892220169,1.1843409156426787,325.0004577636719,51842.57421875,0.996874213218689
0.04499999999999999,14.5,0.36886730790138245,0.006335757461783942,1.1809617280960083,325.00067138671875,51842.17578125,0.9968739748001099
0.04999999999999999,14.5,0.4091325104236603,0.00711526536179008,1.1775944149121642,325.00091552734375,51841.6796875,0.9968736171722412
0.054999999999999986,14.5,0.4492555856704712,0.007892067515058443,1.1742389760911465,325.001220703125,51840.98046875,0.9968731999397278
0.06,14.5,0.4892370104789734,0.008666164831083734,1.1708952952176332,325.0015869140625,51840.18359375,0.9968727231025696
0.065,14.5,0.5290772914886475,0.009437589142180514,1.1675636051222682,325.00201416015625,51839.1953125,0.9968721866607666
0.07,14.5,0.5687769055366516,0.010206340448348783,1.1642435565590858,325.00250244140625,51838.09765625,0.9968714714050293
0.07500000000000001,14.5,0.608336329460144,0.01097243330150377,1.160935265943408,325.0030822753906,51836.8984375,0.9968706965446472
0.08000000000000002,14.5,0.6477560997009277,0.011735922271327581,1.1576386168599129,325.00372314453125,51835.41015625,0.9968698024749756
0.08500000000000002,14.5,0.6870366930961609,0.012496786439442076,1.1543536093086004,325.00445556640625,51833.8125,0.9968687891960144
0.09000000000000002,14.5,0.7261785864830017,0.013255112207843922,1.1510802432894707,325.0052795410156,51831.828125,0.9968676567077637
0.09500000000000003,14.5,0.7651822566986084,0.014010847735335119,1.1478185188025236,325.0061950683594,51829.73828125,0.9968663454055786
0.10000000000000003,14.5,0.8040482401847839,0.014764062143513002,1.1445680866017938,325.0072021484375,51827.3515625,0.996864914894104
0.10500000000000004,14.5,0.8427769541740417,0.015514749975409359,1.1413292959332466,325.00830078125,51824.76171875,0.9968632459640503
0.11000000000000004,14.5,0.8813689351081848,0.01626295670575928,1.1381019139662385,325.009521484375,51821.87890625,0.9968615770339966
0.11500000000000005,14.5,0.9198246002197266,0.017008673239615746,1.1348859407007694,325.0108337402344,51818.79296875,0.996859610080719
0.12000000000000004,14.5,0.95814448595047,0.017751948689692654,1.1316812597215176,325.01226806640625,51815.4140625,0.9968575239181519
0.12500000000000006,14.5,0.9963290095329285,0.018492810340831056,1.1284879874438047,325.0137939453125,51811.73046875,0.9968552589416504
0.13000000000000006,14.5,1.0343786478042603,0.019231270925956778,1.1253058910369873,325.01544189453125,51807.7578125,0.9968528747558594
0.13500000000000006,14.5,1.0722938776016235,0.019967321350122802,1.122135086916387,325.0172119140625,51803.57421875,0.9968502521514893
0.14000000000000007,14.5,1.1100752353668213,0.02070105438178871,1.1189754586666822,325.01910400390625,51798.99609375,0.99684739112854
0.14500000000000007,14.5,1.1477230787277222,0.02143245546903927,1.1158271227031946,325.0211181640625,51794.12109375,0.9968444108963013
0.15000000000000008,14.5,1.1852378845214844,0.0221615846385248,1.1126897297799587,325.02325439453125,51788.85546875,0.9968411922454834
0.15500000000000008,14.5,1.2226201295852661,0.022888381863594986,1.1095635127276182,325.0255126953125,51783.38671875,0.9968377947807312
0.1600000000000001,14.5,1.2598702907562256,0.023612908989889547,1.1064483551308513,325.02789306640625,51777.6171875,0.9968342185020447
0.1650000000000001,14.5,1.296988844871521,0.024335229682037607,1.103344140574336,325.0303955078125,51771.45703125,0.996830403804779
0.1700000000000001,14.5,1.3339762687683105,0.02505532575014513,1.1002509854733944,325.0330505371094,51764.99609375,0.9968264102935791
0.1750000000000001,14.5,1.370832920074463,0.025773268134798855,1.0971686569973826,325.03582763671875,51758.1328125,0.9968221187591553
0.1800000000000001,14.5,1.4075592756271362,0.026489022275200114,1.0940972715616226,325.03875732421875,51750.98046875,0.9968177080154419
0.1850000000000001,14.5,1.4441558122634888,0.02720266638789326,1.0910367127507925,325.04180908203125,51743.4296875,0.9968129992485046
0.1900000000000001,14.5,1.4806230068206787,0.02791417318803724,1.0879869805648923,325.0450134277344,51735.57421875,0.9968080520629883
0.19500000000000012,14.5,1.5169612169265747,0.02862355722754728,1.084948075003922,325.04833984375,51727.4296875,0.9968029260635376
0.20000000000000012,14.5,1.553170919418335,0.029330896722967736,1.0819198796525598,325.05181884765625,51718.8828125,0.9967975616455078
0.20500000000000013,14.5,1.5892525911331177,0.030036271709832363,1.0789023945108056,325.0554504394531,51709.84375,0.9967919588088989
0.21000000000000013,14.5,1.6252065896987915,0.03073958941968158,1.0758956195786595,325.0592346191406,51700.51171875,0.9967861175537109
