frame_index,current_inferred_uA,v_plateau_mean_mV,v_plateau_vpp_mV,R_effective_ohm
0.0,39.62110013033204,77.11962518568149,3.7457571953317483,1946.428164084277
1.0,78.37800732082337,160.13680345495692,6.122331129853251,2043.1344063070096
2.0,117.13491451131469,232.88949193625822,3.7302119155871196,1988.2158356274053
3.0,155.891821701806,291.14100045111945,4.61720383535328,1867.5835414125934
4.0,194.64872889229736,315.1766053302828,3.1955839061292863,1619.2071077159496
5.0,233.40563608278865,227.76639313225652,90.28049232195485,975.8393025756588
6.0,272.16254327328,183.95148910666904,95.47869506127745,675.8883382492581
7.0,310.9194504637713,185.52930649608655,77.67967406792934,596.7118050007767
8.0,349.67635765426263,183.2390396925839,56.32152774695544,524.0246750504042
9.0,388.433264844754,183.32273181937757,43.44230969669593,471.9542542079824
10.0,427.19017203524527,185.01317754448894,33.43271434966016,433.0932443109306
11.0,465.9470792257366,186.04999711434797,26.828235911074557,399.2942662576765
12.0,504.70398641622796,184.73554332948135,20.30316633312964,366.02750979091826
13.0,543.4608936067193,184.4984808346593,14.498645649943342,339.48805333576286
14.0,582.2178007972105,190.43317233354287,12.675703308478319,327.082360025388
15.0,620.9747079877019,190.5940188726494,8.18250081583858,306.9271846679205
16.0,659.7316151781932,190.68700235545387,6.8190893482804995,289.03723570068627
17.0,698.4885223686846,189.9212239167572,4.669159880466168,271.9031420483538
18.0,737.2454295591759,190.09019509108143,5.362705829995548,257.8384178044248
19.0,776.0023367496672,190.7873450880351,6.407073267367423,245.8592404336815
20.0,814.7592439401585,190.7003673286633,8.058370105663585,234.0573227576288
21.0,853.5161511306499,191.32150864181443,8.134189572640253,224.1568696601365
22.0,892.2730583211412,190.61379283930918,10.12651789687834,213.6271974836482
23.0,931.0299655116326,191.12649911915085,7.289719626168221,205.28501358613133
24.0,969.7868727021239,191.60614049412752,8.44015324554789,197.57551466978924
25.0,1008.5437798926151,191.67956155480766,7.973713101389876,190.05576691496407
26.0,1047.3006870831066,187.38845204986924,8.744677321240943,178.92516863688394
27.0,1086.0575942735977,191.9756518918505,7.574515205704756,176.76378573665988
28.0,1124.814501464089,190.85964693461023,8.27656694846712,169.68099778779714
29.0,1163.5714086545804,190.86004231563686,9.476180994718334,164.0295051047407
30.0,1202.3283158450718,190.39379379367222,7.67791743048474,158.3542459114851
31.0,1241.085223035563,190.76518510999284,8.330650636091036,153.70836874795864
32.0,1279.8421302260545,189.87790705321638,8.030916151554493,148.36041302975303
33.0,1318.5990374165458,189.28774493877478,8.373246175400027,143.55216374921312
34.0,1357.3559446070371,190.70811382446638,8.937200313369544,140.4997079669309
35.0,1396.1128517975285,188.54149703779723,9.819314641744654,135.04746181159035
