time_ns,best_features,best_sustained,best_timing_bound,reference,experiment
124.0,105.75908174775635,11.534837900230324,152.75182207505014,114.74389400675656,185.1733
125.0,110.96383101122176,12.136614303621403,153.4424723969633,114.62675786638805,183.7867
126.0,118.42664799086344,14.631170801512004,153.70181265390502,115.11967081162976,183.3067
127.0,124.88294768226714,24.11568932590101,153.40504255789747,115.8087513718998,183.7867
128.0,127.09352166163043,45.43650099484466,152.8992833134884,115.8768000265276,180.5333
129.0,123.93549093197934,78.55077029818281,153.46060692546234,115.47745019757768,178.6933
130.0,116.95834830828905,119.55555342556856,153.76575363369847,115.31350010503672,179.1467
131.0,109.87111663623352,163.78068345322473,153.48393503864085,115.3482425533059,179.6
132.0,106.14612219236508,206.71658165856036,153.04760854374487,115.23247429851124,177.76
133.0,106.39370954892728,243.84028043072024,153.36930741896404,115.0752231734548,176.8267
134.0,109.38250540127716,274.1677883180525,153.7942730888343,115.31203043731928,178.6933
135.0,115.34214581894912,296.8916587367728,153.5407093998396,115.74401919374137,180.5333
136.0,121.32348113701995,306.99663869306227,153.14294463393006,115.75322528074582,180.08
137.0,124.69898808612538,198.7701794921718,153.33713577056395,115.45516573944909,180.9867
138.0,124.18641496957753,11.645350194973744,153.8518671640531,115.36136225374784,183.7867
139.0,119.75132678539322,11.549917862708693,153.48553115764827,115.43479592401376,186.08
140.0,113.33635305728455,12.105639031173586,153.18594950587394,115.36223397222622,184.24
141.0,108.52206805581318,14.48624676408716,153.41706544889394,115.24215343978229,182.8533
142.0,107.65352325617864,23.83217041407141,153.8063744176381,115.43596364389715,182.8533
143.0,108.96715700449342,45.095552116978375,153.46167690423312,115.70935031173704,182.8533
144.0,112.96307671763788,78.11405955004793,153.17645820017154,115.60698532409228,180.5333
145.0,118.10872776237062,118.82290448191984,153.40989789492417,115.30654912850048,178.2133
146.0,122.3641107636345,162.84579336013945,153.80383948527646,115.24969287800327,178.2133
147.0,123.67398708541673,206.01410344640567,153.6082865752153,115.36551336314406,179.6
148.0,121.06490754644126,243.51345699330568,153.0929222742222,115.3034116700038,178.2133
149.0,115.7995108938256,273.9487139753205,153.4582668015539,115.1883304019604,176.8267
150.0,110.96594942879236,296.8037050701284,153.75600704638742,115.38929305736367,178.2133
151.0,108.8878714362032,307.56893520416617,153.53418090450202,115.7206384110706,180.5333
152.0,109.2015514846643,214.4766596611683,152.9856485398162,115.57239223166972,180.9867
153.0,111.3579501334131,11.633990412228792,153.4032814120315,115.20569826132848,180.9867
154.0,115.68144251459138,11.51438826293366,153.67381272013623,115.1448629657604,183.7867
155.0,120.15246225546204,12.098908043113868,153.55812798253467,115.39464594575674,186.56
156.0,122.3677776167726,14.341933783865844,153.02479365893237,115.46009017922144,184.24
157.0,121.32403103011607,23.297606214794296,153.38277728961046,115.3744162462842,182.3733
158.0,117.70930501448106,44.10546785966649,153.5803980216634,115.39769121471294,183.3067
159.0,113.40844337981912,76.98104031698414,153.56294321015258,115.55361826256504,183.3067
160.0,110.34207597476096,117.6702797209207,152.97506823321447,115.44907806937908,179.1467
161.0,109.78299161666968,161.49752029077504,153.3234556549723,115.16793872495472,177.76
162.0,110.86536318543192,204.48290774202073,153.5094237070971,115.11713196575448,179.1467
163.0,114.045085214811,242.10320134942228,153.4670982433104,115.34409343218502,180.08
164.0,117.79588675005272,272.68408467856125,152.96642506280045,115.39195466727148,176.3733
165.0,120.33406197330108,295.4024429117714,153.269425034523,115.23448709049256,176.3733
166.0,120.654931454795,306.0319733073955,153.4743755897843,115.24215275048962,178.6933
167.0,118.64409907567334,223.96735905892248,153.33330260752496,115.35202750375548,180.9867
168.0,115.05688608074828,11.719952624271384,152.9187560991553,115.21784206398924,179.6
169.0,111.78367654457948,11.536644828422276,153.07280321416454,114.98006478414491,180.5333
170.0,110.61716750125755,12.146642293368483,153.520612681285,115.08915366013484,183.3067
171.0,111.27192190344964,14.495489679254408,153.37667988838004,115.39172475926782,186.08
172.0,113.12329019083788,23.524917367398903,152.86391973309938,115.3593063409912,183.7867
173.0,115.91490781810838,44.40030178946964,153.0977480855402,115.08672025627536,182.3733
174.0,118.65959412708956,77.34340520996888,153.60717330302734,115.14436653933724,181.92
175.0,119.95577135616,118.28396526410182,153.3658914737788,115.4231287445051,183.3067
176.0,118.89455545145437,162.2593546324032,152.74867415176897,115.33440661193272,179.6
177.0,116.0852363477991,205.0027120437737,153.17038962741515,115.03542301093874,178.2133
178.0,113.33429877044874,242.33749565903688,153.68373615099676,115.11011621086004,178.6933
179.0,111.92523519882276,272.93684111383254,153.3705989435345,115.43885709231684,180.9867
180.0,111.90629001691696,295.5935178239046,152.73188040413024,115.37222589021118,177.3067
181.0,112.6183798974416,305.70903834107287,153.3136053516389,115.1084086152342,176.8267
182.0,114.92994689038126,215.60364085036724,153.68519780082875,115.19801037139406,178.6933
183.0,117.70819035183705,11.745054071443771,153.55002411440066,115.54168258461348,181.92
184.0,119.15432627358052,11.542130986952673,152.79091883276126,115.48350790160714,179.1467
185.0,118.70574014993149,12.136001643361842,153.44375284410876,115.22216411327214,180.08
186.0,117.00827881953458,14.56281511597809,153.63742734571142,115.2715620977136,183.3067
187.0,114.87091613083682,23.92690885366729,153.60267113634427,115.56833307570956,186.56
188.0,112.91455702377364,45.06389473144677,152.73381815470353,115.42385884012434,182.3733
189.0,112.12367515189769,78.03949556325131,153.44396094709242,115.09727757848428,180.9867
190.0,112.63080513346578,118.94616101516888,153.541700518713,115.13973131481151,181.92
191.0,114.35996439071651,163.20265619535252,153.5765333654929,115.47355432543732,183.3067
192.0,116.36135453485042,206.1924850480388,152.5795908179506,115.40366037435632,178.2133
193.0,117.74049919765288,243.34220524382548,153.41059716755495,115.13620663731842,177.3067
194.0,118.12122038184192,273.70094451396614,153.5321041719689,115.2145203005132,178.2133
195.0,117.39121184309676,296.51197771724014,153.571855915461,115.54911047989728,180.9867
196.0,115.56917879595434,306.6754371151224,152.60662137983948,115.44199388056862,176.8267
197.0,113.63979514172196,199.25747662015272,153.38040728314957,115.10525737939956,176.8267
198.0,112.78671673111891,11.657966759590298,153.4388520720872,115.0785690052859,179.1467
199.0,113.09737792739858,11.592338281841766,153.49727636994444,115.3483171885067,182.8533
200.0,113.95498861247717,12.124358211848834,152.69164715974765,115.3166972977142,180.5333
201.0,115.38479229428718,14.530132749667866,153.3795732936103,115.11768422731242,181.92
202.0,116.98304750179004,23.880211216495496,153.5122266500725,115.21211356462491,184.6933
203.0,117.92259701032384,45.23356345177086,153.52819738961958,115.51215532487684,187.4667
204.0,117.48059412518782,78.29750744614668,152.89139771782365,115.49336545557028,184.24
205.0,115.9713672060699,118.9817610356041,153.35425491157653,115.238131211787,182.8533
206.0,114.4654474929627,162.945608432654,153.65332326351398,115.25914155958732,183.7867
207.0,113.63930976045933,206.01644741852988,153.599946778084,115.51020310577654,183.7867
208.0,113.52688766637064,243.404078447928,153.08454601310805,115.48529644312408,179.6
209.0,113.83399639638992,273.691149295592,153.37292646054516,115.25302499697123,178.6933
210.0,115.06061138691418,296.36405074633444,153.74912247375175,115.30839746676564,180.08
211.0,116.6425500669543,306.8788049232961,153.61364156920865,115.56457735133314,180.9867
212.0,117.48973952237716,212.24735363662035,153.15371808131314,115.5251347926658,176.8267
213.0,117.18702095780154,11.63407059493438,153.32631373380588,115.24423382791028,177.3067
214.0,116.28753330597684,11.537700188603058,153.8408974286249,115.30816666858485,180.5333
215.0,115.21100255616378,12.13157919311524,153.59756351017762,115.61411618554688,181.92
216.0,114.13412892759877,14.426298052611454,153.08454594370042,115.54702484781076,179.1467
217.0,113.59285501438984,23.522284004838184,153.37293499240542,115.24284460469252,181.4667
218.0,113.90095434236956,44.57954049581835,153.7858381296867,115.25963329259966,185.6267
219.0,114.93846728469228,77.63940984208513,153.52331119654332,115.5501379589809,186.56
220.0,116.03225429407242,118.3720233732875,152.9772430182665,115.48051371724787,182.3733
221.0,116.6755805915423,162.14621696371566,153.33939215211203,115.17488805052396,181.92
222.0,116.8609111306849,205.08825952030855,153.77637732006934,115.23022585207649,183.3067
223.0,116.54027591391537,242.729059140584,153.50176395951925,115.57096219965918,183.3067
224.0,115.52555684774462,273.2631899170246,152.85515701769208,115.502709298253,178.2133
225.0,114.35868763956935,295.84764688556874,153.3597302583404,115.16855513312838,177.76
226.0,113.96677823566846,306.4209511586717,153.85301406786306,115.24610304955652,178.6933
227.0,114.32191674083955,223.7348407381364,153.57831123403673,115.61337078307318,180.5333
228.0,114.87114918885428,11.692246269699009,152.90820800457675,115.57300546304576,176.8267
229.0,115.5394805583058,11.500414102016574,153.3263243850689,115.22205736282484,176.3733
230.0,116.38733194050435,12.11290033528073,153.8723698319148,115.24929176512398,178.2133
231.0,116.93736142928856,14.454402534182114,153.60042503945456,115.59110094801704,181.92
232.0,116.47712916861693,23.41034599659247,152.87575158957372,115.47667768970868,180.5333
233.0,115.34506162782756,44.164757512352736,153.23329811202188,115.02145019602978,180.9867
234.0,114.50156476997805,77.02374392635447,153.8387529268461,115.02935806326094,182.8533
235.0,114.31630686409898,117.97928234184054,153.5668528687151,115.45507538361171,186.56
236.0,114.38299674346646,162.01453346619428,152.85912192843406,115.50960826601832,183.7867
237.0,114.54700881639772,204.83978658130164,153.24627409490594,115.23287613601816,181.92
238.0,115.27494502529645,242.31580977621445,153.75962776411248,115.26320173368184,180.9867
239.0,116.2308140025082,273.07811862986694,153.44911838182176,115.5353482008194,182.3733
240.0,116.53557990336738,295.98621062099863,152.90441100647806,115.44733954870595,180.08
241.0,116.07663949482344,306.50565373276254,153.24626688247866,115.12851213359453,178.2133
242.0,115.4995181845867,225.188309261025,153.75962780088403,115.16950315375496,178.2133
243.0,115.04843360130772,11.742997019949092,153.5209582430732,115.45904284786866,179.6
244.0,114.5703299807993,11.522637355189758,152.9772429946048,115.41042658527036,178.2133
245.0,114.36006460229083,12.079910496361215,153.39491165734034,115.18481314620868,177.76
246.0,114.72847203687834,14.411770421130171,153.7235813624552,115.27756996165938,178.2133
247.0,115.5117430037871,23.461549132631394,153.58792295080443,115.54352132273844,181.4667
248.0,116.03146953410784,44.2245658833951,153.0018040211491,115.45395576192377,180.5333
249.0,116.14828536632474,76.89685391414152,153.5474050116782,115.240231808053,181.92
250.0,116.10262840986252,117.6474541425705,153.83057296276093,115.34923315048218,183.3067
