I_target_uA,I_avg_uA,V_avg_mV,V_pp_mV,dominant_freq_MHz,n_cycles,period_cv,persistence_ratio,T_mean_K,T_max_K,R_mean_ohm,R_min_ohm,R_max_ohm,oscillatory,regime
0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,325.0675048828125,342.29498291015625,50900.0078125,3350.798828125,145629.453125,0.0,transient/noisy switching
50.0,49.9999885559082,1632.7572600684969,2087.624809741975,0.0,0.0,inf,0.8526986743856354,323.1579284667969,349.2149658203125,57152.99609375,1919.2132568359375,131729.140625,0.0,transient/noisy switching
100.0,99.9999771118164,3119.7189071047183,1817.0471477508552,0.10680337883423231,1.0,0.0,0.7160537760425351,326.5816955566406,353.5028381347656,47267.27734375,1712.498779296875,138004.609375,0.0,transient/noisy switching
150.0,150.0,2145.3808481696847,3088.1160724163055,0.12489071499615506,2.0,0.4589732885360718,0.6928161212704469,329.29046630859375,355.6101989746094,27688.53125,1297.85400390625,121910.21875,0.0,transient/noisy switching
200.0,199.9999542236328,4221.23700960445,6115.775606632233,0.12677484377584183,2.0,0.03701832517981529,1.144907009300346,327.7001037597656,359.81610107421875,43598.26171875,1289.3668212890625,144350.140625,0.0,transient/noisy switching
250.0,250.0000457763672,4655.337959705117,6341.994647979735,0.1260318862201437,2.0,0.27846744656562805,0.8971290892378265,329.0340576171875,368.27276611328125,42725.85546875,1695.3355712890625,146282.515625,0.0,transient/noisy switching
300.0,300.0,8178.960426351335,2745.8926200866695,0.2462043621882018,3.0,0.31053799390792847,0.8786188542828552,336.4385986328125,370.9632568359375,35521.59765625,8467.623046875,146499.109375,0.0,transient/noisy switching
350.0,349.99993896484375,5845.011466960432,8530.75524330139,0.15284676738775194,2.0,0.4638136625289917,1.0364114538536893,332.7994689941406,379.8506774902344,37430.99609375,1455.330810546875,146498.65625,0.0,transient/noisy switching
400.0,399.9999084472656,2654.827564294176,8753.108284473417,0.6238300135238335,1.0,0.0,0.027687989779565537,332.3865051269531,399.3146057128906,11765.9072265625,1286.367919921875,119579.4296875,0.0,transient/noisy switching
450.0,450.0000305175781,5001.303058476271,10184.613327980043,0.11235955615593562,1.0,0.0,1.1151049369684007,338.2351989746094,388.3775634765625,20473.654296875,1286.1219482421875,146435.390625,0.0,transient/noisy switching
500.0,500.0000915527344,8694.789454086802,3135.1385307312007,0.18088635147960427,3.0,0.3897191286087036,1.013045197365928,348.2154541015625,381.7391662597656,20754.529296875,8423.4443359375,56943.359375,0.0,transient/noisy switching
550.0,550.0000610351562,5422.8474845270875,9927.734234333038,0.0,0.0,inf,1.3412273052279473,340.9775390625,428.07733154296875,15816.01953125,1286.00048828125,102294.84375,0.0,transient/noisy switching
600.0,600.0,5252.422798177241,8610.944533348082,0.1102049758574974,1.0,0.0,1.217119964270988,340.5458068847656,382.1194152832031,15542.2314453125,1289.11474609375,80216.8515625,0.0,transient/noisy switching
650.0,649.9998779296875,7038.4016892001555,8548.749809265137,0.22714368907735497,2.0,0.020556440576910973,0.8079615303803694,349.7196960449219,390.31671142578125,17542.599609375,1396.5582275390625,88287.9765625,0.0,transient/noisy switching
700.0,699.9998779296875,902.9679874182873,4.561758041381592,0.4674808248902101,8.0,1.0555589199066162,0.9969614064586186,327.5570373535156,344.3900146484375,1289.953857421875,1286.7767333984375,1302.4481201171875,0.0,metallic lock
750.0,750.0,9114.593626505719,8147.380981445314,0.3769317880753859,6.0,0.2406533658504486,1.336033916598415,358.2269592285156,414.8740234375,16023.21484375,2149.80126953125,88137.6484375,0.0,transient/noisy switching
800.0,799.9998168945312,9039.927676640433,3133.95534515381,0.23586295976589428,4.0,0.40733012557029724,1.05981617214664,363.50726318359375,394.6478576660156,12386.724609375,8466.7080078125,38524.76171875,0.0,transient/noisy switching
850.0,850.0000610351562,6548.437304327497,10790.367965698242,0.3138075585940229,3.0,0.17560158669948578,0.8647839063370755,349.1217041015625,436.2605895996094,21607.90625,1286.00048828125,119118.328125,0.0,transient/noisy switching
900.0,900.0000610351562,5963.118129349783,10069.716625213627,0.10245901149634795,1.0,0.0,0.9076008347393583,352.2686462402344,446.91796875,12781.4423828125,1286.0006103515625,131477.0625,0.0,transient/noisy switching
950.0,950.0000610351562,9452.953100800481,2502.924423217774,0.30994295440475866,5.0,0.4061940014362335,0.9606849976114752,368.1558837890625,396.0678405761719,11017.8056640625,8403.634765625,32463.76171875,0.0,transient/noisy switching
1000.0,1000.0001831054688,7412.315400174827,7000.124492645263,0.3599064311361761,6.0,0.7406368255615234,1.5583187936301741,363.4851989746094,397.5281066894531,8510.140625,1948.8824462890625,44556.00390625,0.0,transient/noisy switching
