dt_ns,I_target_uA,I_avg_uA,V_avg_mV,V_pp_mV,dominant_freq_MHz,n_cycles,period_cv,persistence_ratio,T_mean_K,T_max_K,R_mean_ohm,R_min_ohm,R_max_ohm,oscillatory,regime
1.0,700.0,699.9998779296875,4115.313879980405,6684.815835952761,0.3710575247910292,6.0,0.04712776839733124,1.0746297202342332,339.7840881347656,387.0494079589844,18853.12109375,1286.00048828125,35622.6484375,1.0,oscillatory
0.5,700.0,699.9998779296875,4113.799219071734,6686.617488861085,0.37108044193913886,6.0,0.04693686217069626,1.0749408173296369,339.7734069824219,386.9227600097656,18848.498046875,1286.00048828125,35598.9140625,1.0,oscillatory
0.25,700.0,699.9998779296875,4109.838365354488,6682.370128631592,0.37127566547622776,6.0,0.04709990322589874,1.0753787436811297,339.7626037597656,386.80029296875,18817.513671875,1286.00048828125,35586.76171875,1.0,oscillatory
