seed,I_target_uA,I_avg_uA,V_avg_mV,V_pp_mV,dominant_freq_MHz,n_cycles,period_cv,persistence_ratio,T_mean_K,T_max_K,R_mean_ohm,R_min_ohm,R_max_ohm,oscillatory,regime
30,700.0,699.9998779296875,5819.661617543948,10722.815668582918,0.0,0.0,inf,1.8235536925949622,347.73309326171875,481.0457458496094,11927.8017578125,1286.0013427734375,79258.4453125,0.0,transient/noisy switching
31,700.0,699.9998779296875,5358.900661061494,9699.747004508972,0.21850759159802977,2.0,0.0038237927947193384,1.440799477776686,343.37646484375,392.1953430175781,16401.92578125,1286.1009521484375,93378.3203125,0.0,transient/noisy switching
32,700.0,699.9998779296875,5722.276622984424,9320.38388490677,0.4030633324300704,1.0,0.0,0.999712444893046,345.92279052734375,393.5706481933594,14932.34375,1286.05615234375,105344.9609375,0.0,transient/noisy switching
33,700.0,699.9998779296875,902.9679874182873,4.561758041381592,0.4674808248902101,8.0,1.0555589199066162,0.9969614064586186,327.5570373535156,344.3900146484375,1289.953857421875,1286.7767333984375,1302.4481201171875,0.0,metallic lock
34,700.0,699.9998779296875,900.5226564535823,0.9218788146975188,0.0,0.0,inf,0.9985295729920076,325.5685729980469,351.3245849609375,1286.4500732421875,1286.068359375,1289.6583251953125,0.0,metallic lock
35,700.0,699.9998779296875,4986.892682705633,7417.168302536011,0.18297145796522746,3.0,0.633319079875946,0.6350079471938533,343.4500427246094,383.4294738769531,12716.462890625,1327.785888671875,80588.6953125,0.0,transient/noisy switching
36,700.0,699.9998779296875,900.5331452088477,1.264314651488907,0.0,0.0,inf,0.9974472719414761,327.2445983886719,349.60235595703125,1286.46826171875,1286.0565185546875,1290.0924072265625,0.0,metallic lock
37,700.0,699.9998779296875,7829.959587450591,8937.74799346924,0.0,0.0,inf,1.181612091043937,353.4664611816406,405.8248596191406,17308.806640625,1299.0753173828125,91120.421875,0.0,transient/noisy switching
38,700.0,699.9998779296875,9385.713829953673,4210.230598449706,0.2931906499106671,4.0,0.24459074437618256,1.067126714327156,356.50390625,396.2017822265625,16450.54296875,8417.009765625,49953.4609375,0.0,transient/noisy switching
39,700.0,699.9998779296875,9044.744875793833,6895.990047454837,0.3783340343740105,6.0,0.43475234508514404,1.9189607390012136,358.1365966796875,445.1573181152344,16477.91796875,2957.613525390625,77119.1953125,0.0,transient/noisy switching
