I_target_uA,input_power_dBm,freq_MHz,gain_linear,gain_dB
50.0,-39.03089986991944,0.05552780541363863,1227311.2120476179,121.77909403428608
50.0,-39.03089986991944,0.8884448866182181,8729.317043310326,78.81960534163915
50.0,-39.03089986991944,1.7213619678227976,2138.920036701174,66.6038909764369
50.0,-39.03089986991944,2.554279049027377,476.5187353798911,53.561599611014515
50.0,-39.03089986991944,3.387196130231956,253.02102042540153,48.06313205794623
50.0,-39.03089986991944,4.220113211436536,23.109926993140373,27.27597146992285
50.0,-39.03089986991944,5.0530302926411155,299.9681325394192,49.5415023878997
50.0,-39.03089986991944,5.8859473738456956,98.23009723010884,39.84489147840644
50.0,-39.03089986991944,6.718864455050275,68.72656156157564,36.74249232785711
50.0,-39.03089986991944,7.551781536254854,43.40341495170313,32.750478017132544
50.0,-39.03089986991944,8.384698617459433,79.18295711170697,37.972634331581084
50.0,-39.03089986991944,9.217615698664012,34.9482754036253,30.86851498866187
50.0,-39.03089986991944,10.050532779868593,50.918011289061766,34.13742866041283
50.0,-39.03089986991944,10.88344986107317,15.216006120195932,23.64601348551397
50.0,-39.03089986991944,11.716366942277752,23.07531655584294,27.262953351066518
50.0,-39.03089986991944,12.54928402348233,24.965532335986545,27.94681661760958
50.0,-39.03089986991944,13.38220110468691,10.812077616807697,20.67818309427089
50.0,-39.03089986991944,14.21511818589149,12.84488814486778,22.1746065344012
50.0,-39.03089986991944,15.04803526709607,20.519539039806034,26.24335200723884
50.0,-39.03089986991944,15.880952348300648,11.191976205933848,20.978135563552094
50.0,-39.03089986991944,16.713869429505227,15.836111338104125,23.992970929239448
50.0,-39.03089986991944,17.546786510709808,3.454387056545041,10.767419954170894
50.0,-39.03089986991944,18.37970359191439,0.1125589477289322,-18.972399512186602
50.0,-39.03089986991944,19.212620673118966,4.537175649445498,13.13571185205303
50.0,-39.03089986991944,20.045537754323544,1.0187698638862694,0.16152179333304553
50.0,-39.03089986991944,20.878454835528128,12.630707547153433,22.028553591023552
50.0,-39.03089986991944,21.711371916732706,8.318706781422922,18.401116330272412
50.0,-39.03089986991944,22.544288997937283,10.103132327012625,20.089120825032506
50.0,-39.03089986991944,23.377206079141864,3.59841699678307,11.122229788907976
50.0,-39.03089986991944,24.210123160346445,1.2548804230966164,1.9720468818631938
50.0,-39.03089986991944,25.043040241551022,4.156415959353852,12.374380074201472
50.0,-39.03089986991944,25.875957322755603,6.722004873409599,16.54997645988467
50.0,-39.03089986991944,26.70887440396018,5.759127562986506,15.207133962636966
50.0,-39.03089986991944,27.54179148516476,4.720969952507837,13.480624725839379
50.0,-39.03089986991944,28.374708566369343,1.6760700852899344,4.485843496127316
50.0,-39.03089986991944,29.20762564757392,1.8954538642560192,5.5542643614492935
50.0,-39.03089986991944,30.040542728778497,0.8285584899375581,-1.6335365653993914
50.0,-39.03089986991944,30.873459809983082,0.9357651267364682,-0.5766628748648988
50.0,-39.03089986991944,31.70637689118766,2.720489504371636,8.6929410948052
50.0,-39.03089986991944,32.53929397239224,1.7906586894451455,5.060256290778529
50.0,-39.03089986991944,33.37221105359682,1.0224512112649995,0.19285187522247796
50.0,-39.03089986991944,34.20512813480139,0.46520375398148,-6.647135787433095
50.0,-39.03089986991944,35.038045216005976,0.5286890202014618,-5.535994178333667
50.0,-39.03089986991944,35.87096229721056,0.3677168944777066,-8.689728326751691
50.0,-39.03089986991944,36.70387937841514,0.6927871437339567,-3.1880036050684297
50.0,-39.03089986991944,37.536796459619715,0.10769560004981954,-19.356040792558154
50.0,-39.03089986991944,38.36971354082429,0.21693881913963248,-13.273254563250365
50.0,-39.03089986991944,39.20263062202887,0.10600451954816485,-19.493512360179054
50.0,-39.03089986991944,40.035547703233455,0.0029031076992212146,-50.74273704905806
50.0,-39.03089986991944,40.86846478443803,0.06860366734044479,-23.27305335258593
50.0,-39.03089986991944,41.70138186564261,0.1262713915781552,-17.973900666977375
50.0,-39.03089986991944,42.534298946847194,0.15859757347620657,-15.994069232418155
50.0,-39.03089986991944,43.36721602805177,0.06267169770784962,-24.05857081154885
50.0,-39.03089986991944,44.20013310925635,0.32717800138380787,-9.704318097496184
50.0,-39.03089986991944,45.03305019046093,0.1309254739652554,-17.659516904554362
50.0,-39.03089986991944,45.86596727166551,0.11813275417940551,-18.552593413158153
50.0,-39.03089986991944,46.69888435287009,0.31149038643218735,-10.13110704968727
50.0,-39.03089986991944,47.531801434074666,0.11020513115526492,-19.15596368490453
50.0,-39.03089986991944,48.36471851527924,0.3409720531456979,-9.345624306483849
50.0,-39.03089986991944,49.19763559648383,0.19230803911064095,-14.32005120879099
50.0,-39.03089986991944,50.03055267768841,0.22812431958994578,-12.836568270730716
50.0,-39.03089986991944,50.86346975889299,0.35507614177966196,-8.993570155293343
50.0,-39.03089986991944,51.69638684009757,0.24209481536304178,-12.320290223832169
50.0,-39.03089986991944,52.529303921302144,0.3099418602246921,-10.174395294389406
50.0,-39.03089986991944,53.36222100250672,0.28167881619149376,-11.004916262774927
50.0,-39.03089986991944,54.1951380837113,0.369124138531424,-8.656551071799637
50.0,-39.03089986991944,55.028055164915884,0.38053669344814345,-8.392069196069537
50.0,-39.03089986991944,55.86097224612047,0.47236571733648347,-6.514432590004697
50.0,-39.03089986991944,56.693889327325046,0.6646871302977874,-3.5476545994762314
50.0,-39.03089986991944,57.52680640852962,0.5608770883410689,-5.022646008519875
50.0,-39.03089986991944,58.3597234897342,0.031583344620378206,-30.010837617485237
50.0,-39.03089986991944,59.19264057093878,0.05323063405383148,-25.476767214421955
50.0,-39.03089986991944,60.02555765214336,0.14047046648083594,-17.048299507014395
50.0,-39.03089986991944,60.85847473334794,0.2658893392392462,-11.505981504770277
50.0,-39.03089986991944,61.69139181455252,0.402475910204672,-7.905202175650111
50.0,-39.03089986991944,62.5243088957571,0.5760945799445699,-4.790124214311263
50.0,-39.03089986991944,63.35722597696168,0.21225281844122587,-13.462930683602913
50.0,-39.03089986991944,64.19014305816626,0.18666284925998142,-14.578842185941843
50.0,-39.03089986991944,65.02306013937084,0.0554899621091903,-25.11571143479442
50.0,-39.03089986991944,65.85597722057543,0.13910623533011834,-17.13306805310357
50.0,-39.03089986991944,66.68889430178,0.2471291938654529,-12.141518949849143
50.0,-39.03089986991944,67.52181138298458,0.050028293544548276,-26.015686211300682
50.0,-39.03089986991944,68.35472846418915,0.047334245430218524,-26.496490834269704
50.0,-39.03089986991944,69.18764554539374,0.08985387912933544,-20.929263379870488
50.0,-39.03089986991944,70.0205626265983,0.18598184697458495,-14.610588873008115
50.0,-39.03089986991944,70.85347970780289,0.0801664116761644,-21.920151107924518
50.0,-39.03089986991944,71.68639678900746,0.049106014518390285,-26.17730624219317
50.0,-39.03089986991944,72.51931387021206,0.0531652654870362,-25.48744026161407
50.0,-39.03089986991944,73.35223095141664,0.11429644966130041,-18.839345193748507
50.0,-39.03089986991944,74.18514803262121,0.0364970562438936,-28.75484326352266
50.0,-39.03089986991944,75.0180651138258,0.08515894808460196,-21.395394235391617
50.0,-39.03089986991944,75.85098219503037,0.047827525789025674,-26.406441708910982
50.0,-39.03089986991944,76.68389927623495,0.028690383321537588,-30.845272985364826
50.0,-39.03089986991944,77.51681635743952,0.02301519710623747,-32.75970602757939
50.0,-39.03089986991944,78.34973343864411,0.020466158537687306,-33.779273320121625
50.0,-39.03089986991944,79.18265051984869,0.01830307093364289,-34.749520743485064
50.0,-39.03089986991944,80.01556760105326,0.0005792035319866528,-64.74337596944898
50.0,-39.03089986991944,80.84848468225785,0.012849434628387857,-37.822319615016525
50.0,-39.03089986991944,81.68140176346242,0.011275804027447548,-38.95704961474892
50.0,-39.03089986991944,82.51431884466702,0.04223225849637341,-27.487113855146227
50.0,-39.03089986991944,83.34723592587159,0.006356347988602291,-43.935846693129704
50.0,-39.03089986991944,84.18015300707617,0.02164647112435405,-33.292257871788166
50.0,-39.03089986991944,85.01307008828074,0.03186097165747899,-29.934819674874294
50.0,-39.03089986991944,85.84598716948533,0.07744156584079015,-22.220517486632815
50.0,-39.03089986991944,86.67890425068991,0.04781025667060046,-26.409578495535694
50.0,-39.03089986991944,87.51182133189448,0.029209292582716435,-30.68957922077754
50.0,-39.03089986991944,88.34473841309907,0.05076822534664684,-25.888160350434227
50.0,-39.03089986991944,89.17765549430364,0.03999701514767802,-27.959448350071312
50.0,-39.03089986991944,90.01057257550822,0.0646064886763255,-23.79447723922921
50.0,-39.03089986991944,90.84348965671279,0.0834732803843373,-21.56905037983201
50.0,-39.03089986991944,91.67640673791738,0.11937208026207148,-18.46194475492051
50.0,-39.03089986991944,92.50932381912197,0.061254402838948944,-24.257253793166175
50.0,-39.03089986991944,93.34224090032654,0.08296853558444804,-21.62173150496033
50.0,-39.03089986991944,94.17515798153113,0.026893238503591894,-31.407137931322396
50.0,-39.03089986991944,95.0080750627357,0.049569061684404066,-26.09578603954576
50.0,-39.03089986991944,95.84099214394028,0.06007782894522618,-24.425715399619882
50.0,-39.03089986991944,96.67390922514485,0.09577260529172325,-20.375173967078844
50.0,-39.03089986991944,97.50682630634944,0.13999955756351956,-17.07746673615319
50.0,-39.03089986991944,98.33974338755401,0.11353443027215508,-18.897448300750177
50.0,-39.03089986991944,99.1726604687586,0.09487516753980012,-20.456948883526852
50.0,-39.03089986991944,100.00557754996318,0.08649115003559006,-21.260566564539268
50.0,-39.03089986991944,100.83849463116775,0.12351289858132299,-18.165753724170074
50.0,-39.03089986991944,101.67141171237233,0.03835699865810883,-28.323107653185374
50.0,-39.03089986991944,102.50432879357692,0.013672683335602263,-37.28292489008629
50.0,-39.03089986991944,103.3372458747815,0.08961230308852453,-20.952647218219123
50.0,-39.03089986991944,104.17016295598607,0.06773092521940224,-23.38425983589094
50.0,-39.03089986991944,105.00308003719066,0.033776549596050455,-29.427694346887733
50.0,-39.03089986991944,105.83599711839524,0.038412429480597275,-28.310564480674515
50.0,-39.03089986991944,106.66891419959981,0.022203264961156727,-33.071663168325344
50.0,-39.03089986991944,107.5018312808044,0.06071366947670676,-24.33427035972916
50.0,-39.03089986991944,108.33474836200897,0.04984389501740384,-26.047760547495464
50.0,-39.03089986991944,109.16766544321355,0.01915140571906997,-34.35598686353709
50.0,-39.03089986991944,110.00058252441812,0.033456117655205335,-29.510489144786437
50.0,-39.03089986991944,110.8334996056227,0.02579887105993076,-31.767985960711936
50.0,-39.03089986991944,111.66641668682728,0.019421677440159678,-34.23426526039967
50.0,-39.03089986991944,112.49933376803187,0.0206735035807147,-33.69171832731791
50.0,-39.03089986991944,113.33225084923646,0.023345259135013695,-32.63602601977218
50.0,-39.03089986991944,114.16516793044103,0.011441110967955711,-38.83063604263181
50.0,-39.03089986991944,114.99808501164561,0.0261710725097015,-31.643569585795493
