I_target_uA,time_ns,I_in_uA,V_vo2_mV,T_K,R_ohm,P_W
0.0,0.0,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,0.24887999892234802,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,0.4995899796485901,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,0.7502999901771545,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,0.9991799592971802,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,1.2498899698257446,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,1.500599980354309,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,1.7494800090789795,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,2.000190019607544,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,2.2508997917175293,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,2.4997799396514893,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,2.7504899501800537,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,3.001199960708618,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,3.250079870223999,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,3.5007901191711426,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,3.751499891281128,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,4.000380039215088,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,4.251090049743652,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,4.501799583435059,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,4.750679969787598,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,5.001389980316162,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,5.252099990844727,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,5.500979900360107,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,5.751689910888672,0.0,0.0,311.2193603515625,2817.621826171875,0.0
