delay_ns,T_at_probe_K,R_at_probe_ohm,V_probe_peak_mV
50.0,311.4471740722656,2800.471435546875,2383.976806640625
100.0,311.302734375,2811.298583984375,2385.751708984375
200.0,311.302734375,2811.298583984375,2385.752197265625
500.0,311.302734375,2811.298583984375,2385.751708984375
