parameter,original_estimate,constrained_fit,physical_lower,physical_upper,relaxed_fit,relaxed_outside_physical_bounds
C_pF,0.39,0.14906560603414296,0.0,0.39,13.8147441022381,True
C_th_pJ_per_K,0.047873236,0.0883300653427064,0.021918,0.092624,0.016264657323111942,True
S_e_mW_per_K,0.0036751265,0.003587680253352363,0.003434,0.004085,0.002735997766935119,True
T0_K,314.4,314.4103463544387,314.25,314.55,317.53772270977646,True
Tc_K,333.49356636598696,333.50929525506774,333.136889,333.838313,332.8440394583414,True
w_K,6.882302959338694,6.893781944572157,6.629055,7.268148,12.773350937485773,True
beta_per_K,0.2991563242902104,0.29630941002219846,0.280917,0.320206,0.3921768789905231,True
gamma,0.956269682,1.1450092593859207,0.2,2.0,2.651349245237353,True
