evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
1,global,0.39,0.047873236,0.0036751265,314.4,333.49356636598696,6.882302959338694,0.2991563242902104,0.956269682,118.97118503786209,0.47423196167446013,0.8240745300364415,0.8469141134039752,0.698521655291401,1.8823529411764706,0.47058823529411764,0.0,0.6083444609720733,0.8166159524267549,0.1250000001315406,118.97118503786209,64,constrained
2,global,0.3076858980076477,0.052196612544115464,0.0035422406195347155,314.29720674039237,333.2980506323308,6.7437479323920595,0.2993692977397464,0.818187488446332,118.97495111058669,0.5066739929061427,0.7781197557175547,0.8385711269857785,0.6724085332828968,1.8823529411764706,0.47058823529411764,0.0,0.6081396373732825,0.8494252215762922,0.6449732660170853,118.97118503786209,64,constrained
3,global,0.2666229775333307,0.027557508139810054,0.0039022646303297575,314.46603427811436,333.58595434396,6.882737752573675,0.2913861050629248,0.9925371274900171,118.9800165352902,0.43423320890056755,0.9538911719226169,0.8600752164686126,0.770650033775114,1.8823529411764706,0.47058823529411764,0.0,0.609682437230144,0.551151862261748,0.6532762464962226,118.97118503786209,64,constrained
4,global,0.20254957315156644,0.07685396936332672,0.003775849282374881,314.4433901612584,333.75801717970484,6.7636093022794075,0.30750992273769906,1.8554708628835697,119.03273637070883,0.48376053120046275,0.8283663929773053,6.14913353366403,0.6055915468498128,1.8823529411764706,0.47058823529411764,0.0,0.600355660561282,1.130674818872398,1.5003046959139343,118.97118503786209,64,constrained
5,global,0.041859540761202296,0.08832354867398742,0.00404956228947885,314.50822789693046,333.2064995140657,7.1085652075224335,0.3125515448935083,1.0636200343977453,118.98738347275223,0.4343430917476989,1.035456826903897,0.6418423215633493,0.6011806535801955,1.8823529411764706,0.47058823529411764,0.0,0.5957949427101906,1.2277233134600782,2.310001987721609,118.97118503786209,64,constrained
6,global,0.0053290719330850445,0.03229832202351401,0.003710385773236457,314.4489032646034,333.6588832225642,6.670594948327889,0.3081750299253884,1.524295188929574,119.02250077132423,0.5579522442562472,0.8816164250324952,6.1176916905883365,0.6263236196657371,1.8823529411764706,0.47058823529411764,0.0,0.5978526531893397,0.5847706929923319,0.8206972407057009,118.97118503786209,64,constrained
7,global,0.38831291618247143,0.09062021444069568,0.0036013625337531097,314.37135022108635,333.514986213412,6.634585815180483,0.2992349466845296,1.101191129291364,118.97182998441616,0.4960392125146297,0.8013083934116336,0.6400949177666683,0.5902774264512495,1.8823529411764706,0.47058823529411764,0.0,0.5945051549000416,1.2732860989422097,1.1747479240323404,118.97118503786209,64,constrained
8,global,0.3598962913921428,0.06453081714122322,0.0036481521493430904,314.25273448243826,333.4110488216206,7.028462315123698,0.31403482953329753,1.2260310865332578,118.97938279503097,0.4937785551475418,0.8660246423460114,0.7904424988404415,0.6446011107424412,1.8823529411764706,0.47058823529411764,0.0,0.6045017869427372,1.017903706229317,1.138702590426588,118.97118503786209,64,constrained
9,global,0.3718447658428892,0.08666146253494698,0.0036897920325958994,314.3452754686596,333.6043567382658,6.922919059170893,0.30621273666802756,0.8489200906171618,118.97087927215237,0.47656525005389777,0.8583870350453993,0.6597029997911064,0.5976977766975473,1.8823529411764706,0.47058823529411764,0.0,0.5962880468982742,1.248818078994478,0.8830809260875337,118.97087927215237,64,constrained
10,global,0.23977524498050828,0.053183046000302915,0.003860235050918057,314.2635127072316,333.3272140103064,7.245263031437163,0.2907117138859061,0.6533043236409737,118.98531056216866,0.4449539513828397,0.9288189141333884,0.8269914456035242,0.6715866937912287,1.8823529411764706,0.47058823529411764,0.0,0.6079724861545497,0.8774295787549503,1.4990022730274841,118.97087927215237,64,constrained
11,global,0.11602048033948917,0.036722812106805496,0.0038029336349215946,314.4987684125507,333.35730531825857,7.144098831322621,0.2947067324120936,1.9542397280478871,118.97761064352746,0.5328012250573421,1.0513757560988406,1.9972589941016021,0.628897241125773,1.8823529411764706,0.47058823529411764,0.0,0.568851245759749,0.6463066319079197,1.538566859042725,118.97087927215237,64,constrained
12,global,0.015548409880998981,0.033001935620774206,0.004010899183157032,314.36209383886603,333.3473589862552,7.174693670506097,0.2943015464983302,1.4232545340267222,148.55647676128262,0.5921957085801992,1.4173308191261722,3.6737078704266763,0.6660972490826209,2.1176470588235294,0.5294117647058824,0.058823529411764705,0.618695958812748,0.6130712449190785,1.3118538891002016,118.97087927215237,64,constrained
13,global,0.05798971231184502,0.04608354811701157,0.003994377049105001,314.33930900369546,333.4577961319466,6.854630811415054,0.31709148489104183,1.2790121621031454,118.98669525991512,0.44623935324924957,1.051405949523782,1.2141480687360164,0.6867575320888415,1.8823529411764706,0.47058823529411764,0.0,0.6076617842765526,0.7848234958807163,1.0348575353134286,118.97087927215237,64,constrained
14,global,0.028569007004625058,0.08194350772265399,0.004043877391526437,314.5374279980723,333.16346720712284,6.813185259521248,0.28769159818431733,0.4548121110714829,118.98763415496596,0.4319757155971608,0.971707928776957,0.6947929367397958,0.6082195678344067,1.8823529411764706,0.47058823529411764,0.0,0.5994998363382753,1.148009143440625,2.2736270598173984,118.97087927215237,64,constrained
15,global,0.1433154689661177,0.03759271281748299,0.0037248326101915106,314.4651570494046,333.39343904336283,7.002077499245199,0.31148883416793965,0.34638965897782725,118.97617917597564,0.47404541764714075,0.850234456173546,0.8415941107792683,0.6903380189825782,1.8823529411764706,0.47058823529411764,0.0,0.6089164009012293,0.6608860148150985,0.7458381725904257,118.97087927215237,64,constrained
16,global,0.22601003830367206,0.05838893337701429,0.00356557108575792,314.41953652115404,333.5459420240413,7.265648195067755,0.2827426361871409,1.6209079914787194,148.5655292285622,0.5176487303353762,0.6473499873429783,6.626124996856106,0.6281784639014418,2.1176470588235294,0.5294117647058824,0.058823529411764705,0.6049330401836106,0.9152228071365732,1.5293274058313155,118.97087927215237,64,constrained
17,global,0.12782628181860128,0.08127555940061983,0.003946827944887067,314.51252292960066,333.6363390166777,6.704262390125971,0.30404011315326795,0.5724939071017929,118.97934380738981,0.44052683375781637,0.9767543615725844,0.6918844938291863,0.6085826612224162,1.8823529411764706,0.47058823529411764,0.0,0.5990838215802036,1.1672180114393318,1.4200820461654358,118.97087927215237,64,constrained
18,global,0.3425730374823903,0.05692811047084207,0.0035155456120900463,314.43020343041957,333.83209737189134,6.715131792236709,0.3028591646691111,0.3098563282648088,118.97925639811373,0.5021616288239392,0.788740166241034,0.8192269537559408,0.6474954853812358,1.8823529411764706,0.47058823529411764,0.0,0.607213158380817,0.9178083437905636,1.1851361659860205,118.97087927215237,64,constrained
