fit_mode,split,traces,classification_matches,predicted_oscillating_traces,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior
baseline,train,17,9,0,118.97118503786209,0.47423196167446013,0.8240745300364415,0.8469141134039752,0.698521655291401,1.8823529411764706,0.47058823529411764,0.0,0.6083444609720733,0.8166159524267549,0.1250000001315406
baseline,test,5,2,0,151.57261661986905,0.38572990107351063,0.7337996878303955,0.71149686467836,0.8527954854720784,2.4,0.6,0.0,0.5816990319686617,0.8371769184950232,0.1250000001315406
baseline,all,22,11,0,126.38060130650004,0.4541178569924261,0.8035575204441584,0.8161374659663353,0.733583889423373,2.0,0.5,0.0,0.6022886816531161,0.821288899260452,0.1250000001315406
constrained,train,17,9,0,118.96700539133401,0.4942420405348263,0.7965280367856881,0.639225468113662,0.5953529633274232,1.8823529411764706,0.47058823529411764,0.0,0.5947243194797974,1.2199001420427806,0.7233631662124695
constrained,test,5,2,0,151.57782864596442,0.4042367077483918,0.7044222825308746,0.6798047023827118,0.7743963290348465,2.4,0.6,0.0,0.5804894115662077,1.2659265238043145,0.7233631662124695
constrained,all,22,11,0,126.37855613102275,0.47378628308336396,0.775594910818685,0.6484480213566278,0.6360446373518376,2.0,0.5,0.0,0.5914891131357997,1.2303606833522203,0.7233631662124695
relaxed,train,17,17,8,2.6702078396603905,2.33623290792126,0.9826288166728676,41.28168511911031,0.6875798112552681,0.6741159442101466,0.0,0.0,3.6132105914930155,1.2971495563060234,0.0
relaxed,test,5,4,2,53.246007006932814,2.3134114622774593,0.4804956319927946,40.619018597748344,0.7774039731111789,1.219823883027346,0.2,0.0,4.242021050940142,1.4146013430624889,0.0
relaxed,all,22,21,10,14.164707650404123,2.3310462157294864,0.8685076383364873,41.13107909152804,0.7079943934952478,0.7981404757595102,0.045454545454545456,0.0,3.7561220595491807,1.32384314420522,0.0
