fit_mode,trace_index,split,source_file,nominal_drive_mV,current_step_uA,measured_oscillation,predicted_oscillation,measured_frequency_MHz,predicted_frequency_MHz,measured_target_harmonic_amplitude_mV,predicted_target_harmonic_amplitude_mV,measured_mean_mV,predicted_mean_mV,measured_vpp_mV,predicted_vpp_mV,phase_tolerant_plateau_rmse_mV,edge_rmse_mV,waveform_component,mean_voltage_component,amplitude_component,spectrum_component,frequency_component,classification_component,false_positive_component,sustain_component,edge_component
baseline,12,train,650mv0_converted.csv,650.0,494.4853744265939,True,False,58.8235294117647,,9.768962539968772,0.05032430831326592,184.9093897164179,181.49773072601485,27.439999999999998,2.3726069248862416,7.1188073685823765,111.79490509907654,0.14237614737164753,0.004655766826719196,0.2513496782329045,1.2382856547583094,4.0,1.0,0.0,0.15128304926227945,1.1179490509907655
baseline,13,train,700mv0_converted.csv,700.0,532.8566832813709,True,False,58.8235294117647,,7.127107565827509,0.04508909619606878,182.4161180746269,170.57403989628696,22.079999999999984,2.3780316202651193,5.2037277026880595,116.42089790156098,0.10407455405376119,0.05609392623276592,0.155267023214429,1.380966282979185,4.0,1.0,0.0,0.08041832753829686,1.1642089790156098
baseline,14,train,750mv0_converted.csv,750.0,570.0736739678696,True,False,62.5,,5.6751991517950255,0.033218814044755615,181.55648223880593,161.34319849097642,19.439999999999998,1.9740801611801544,4.339817252787257,81.96679947648808,0.08679634505574514,0.16343073594810742,0.12202334232643224,1.2885252937883211,4.0,1.0,0.0,0.05093347827653641,0.8196679947648807
baseline,15,test,800mv0_converted.csv,800.0,606.2950294894458,True,False,62.5,,3.2470448334327173,0.017887567509360557,181.56365024875626,153.31337276188134,13.893400000000014,1.3031366033580696,2.813656291097761,84.93981957504295,0.05627312582195522,0.3192312712341728,0.06340589295872877,0.8941019912381302,4.0,1.0,0.0,0.01671701337556017,0.8493981957504295
baseline,16,train,850mv0_converted.csv,850.0,645.4819548424252,False,False,,,,,181.47794527363186,145.18079310408143,10.640000000000015,1.5253870230285145,36.3699208836034,88.74883492645512,0.727398417672068,0.5269933022477997,0.03323046788799091,0.0,0.0,0.0,0.0,0.0,0.8874883492645512
baseline,17,train,900mv0_converted.csv,900.0,682.444649204679,False,False,,,,,178.6636184079602,138.34787851295374,9.733300000000014,1.3860615365698834,40.37803001620516,95.69622731105865,0.8075606003241032,0.6501435533127261,0.02787055598614696,0.0,0.0,0.0,0.0,0.0,0.9569622731105865
baseline,18,train,950mv0_converted.csv,950.0,721.2714260182299,False,False,,,,,177.73027726368161,131.8932461483532,9.706700000000012,1.6204565076942288,45.890642855434095,96.6087041566266,0.9178128571086819,0.8404133685870341,0.026154933526743054,0.0,0.0,0.0,0.0,0.0,0.966087041566266
baseline,19,test,1000mv0_converted.csv,1000.0,756.6243660265701,False,False,,,,,175.6862324875622,127.186846956254,11.573300000000017,1.7528139350644238,48.53899120340987,105.75390027911298,0.9707798240681974,0.9408761587657866,0.03857677862063767,0.0,0.0,0.0,0.0,0.0,1.0575390027911298
baseline,20,train,1100mv0_converted.csv,1100.0,834.7865599618726,False,False,,,,,176.02852154228853,117.09952661162271,14.346699999999998,2.056500310475684,59.003609287141465,109.73448071425696,1.1800721857428293,1.3890505774153754,0.06041960336335342,0.0,0.0,0.0,0.0,0.0,1.0973448071425695
baseline,21,train,1200mv0_converted.csv,1200.0,906.8051472486442,False,False,,,,,173.40669950248756,109.08124978401955,11.120000000000005,1.221683308812274,64.3733216737633,116.96865351293384,1.287466433475266,1.6551053925932624,0.03919066932761825,0.0,0.0,0.0,0.0,0.0,1.1696865351293384
constrained,0,train,50mv0_converted.csv,50.0,37.99008122008859,False,False,,,,,88.34135940298506,95.587221813162,4.506659999999982,4.772107777088664,7.365656728986608,6.460162734304161,0.14731313457973216,0.021001008826886068,2.818500894452891e-05,0.0,0.0,0.0,0.0,0.0,0.0646016273430416
constrained,1,train,100mv0_converted.csv,100.0,76.17083384633712,False,False,,,,,170.70984975124378,178.31151926670893,6.653399999999976,5.948498183214866,7.798734651468529,8.779465391686884,0.1559746930293706,0.023114151768940848,0.0001987546285227796,0.0,0.0,0.0,0.0,0.0,0.08779465391686885
constrained,2,train,150mv0_converted.csv,150.0,114.17150902555795,False,False,,,,,239.83873747761194,242.93802786647376,5.800000000000011,10.61786884337451,4.216278096897046,11.603789113832777,0.08432556193794091,0.003842240365796494,0.00928474407678349,0.0,0.0,0.0,0.0,0.0,0.11603789113832777
constrained,3,test,200mv0_converted.csv,200.0,152.16154020295048,False,False,,,,,297.36232073134323,290.4653370043517,7.720000000000027,16.564645597880656,7.878121782260985,16.139120906319626,0.1575624356452197,0.0190273538121545,0.03129110230084367,0.0,0.0,0.0,0.0,0.0,0.16139120906319626
constrained,4,train,250mv0_converted.csv,250.0,189.60094286792295,False,False,,,,,318.8617590398009,318.3278379956379,14.14670000000001,27.68761588152887,5.579565468211769,40.19197346056333,0.11159130936423538,0.00011402867256005912,0.07334256116425622,0.0,0.0,0.0,0.0,0.0,0.40191973460563335
constrained,5,train,300mv0_converted.csv,300.0,228.15229898524512,True,False,41.666666666666664,,44.923890533411225,1.4144480187436712,235.10242222388064,311.53283084340916,100.10669999999999,38.69424537945133,31.515458938540284,112.40519499196145,0.6303091787708057,2.33664294469924,1.5085958330083795,1.0875498413423474,4.0,1.0,0.0,3.0527132214135317,1.1240519499196144
constrained,6,train,350mv0_converted.csv,350.0,266.70376233691485,True,False,41.666666666666664,,50.79860282459164,0.49398323790076426,192.0122066318408,285.97300257258735,130.3466,17.291207052755624,36.42534179226927,135.5408398424058,0.7285068358453854,3.5314524695274456,5.112608749782334,0.8258262073604609,4.0,1.0,0.0,4.051492033407094,1.355408398424058
constrained,7,test,400mv0_converted.csv,400.0,303.2005083702369,True,False,45.45454545454545,,40.372007281876584,0.12201682760526131,190.9832810945274,261.86326522796236,90.2534,4.485134678215559,28.56176366007869,145.57583418274936,0.5712352732015737,2.009588860302397,2.9424781345232045,1.5429653436260742,4.0,1.0,0.0,2.592853707167243,1.4557583418274935
constrained,8,train,450mv0_converted.csv,450.0,341.5718172250129,True,False,50.0,,29.485877059598405,0.05128209855494911,186.9897857363184,239.5492544616603,68.8133,3.5476872845872265,21.09197281457733,159.13856369915797,0.42183945629154657,1.1049991010760771,1.7038400812472996,1.5116275259409802,4.0,1.0,0.0,1.3865660276149558,1.5913856369915798
constrained,9,train,500mv0_converted.csv,500.0,380.88580812995247,True,False,52.63157894736842,,22.750064861626818,0.04764539984466843,187.0197034825871,220.06719282943837,58.51999999999998,3.170851909778065,16.59240603228599,161.81566572457146,0.3318481206457198,0.4368546208520995,1.2254112777253263,1.3882113275311938,4.0,1.0,0.0,0.824820856684968,1.6181566572457147
constrained,10,train,550mv0_converted.csv,550.0,419.0559644140832,True,False,52.63157894736842,,17.93798697732822,0.05198066397082513,186.41220796353232,203.80172650684693,40.08000000000001,3.5776509986002907,12.84011797120418,164.67129057319588,0.2568023594240836,0.12095814206731305,0.5329685930479948,1.5592361811503543,4.0,1.0,0.0,0.5121656983074835,1.6467129057319587
constrained,11,test,600mv0_converted.csv,600.0,457.8085803363978,True,False,55.55555555555556,,13.57309453626138,0.04862159703968755,186.8872940631841,189.53703488787102,31.933300000000003,2.642853756226998,9.676047834855108,164.92775948273234,0.19352095669710218,0.0028084505752049983,0.34317209646374247,1.4840294540967474,4.0,1.0,0.0,0.2928957322833756,1.6492775948273235
constrained,12,train,650mv0_converted.csv,650.0,494.4853744265939,True,False,58.8235294117647,,9.768962539968772,0.05313358538680733,184.9093897164179,177.73628481204315,27.439999999999998,2.476779844003204,7.108119546058983,167.33963025160372,0.14216239092117966,0.020581373587666058,0.24926494422270581,1.1607838798684214,4.0,1.0,0.0,0.1511840007453879,1.6733963025160372
constrained,13,train,700mv0_converted.csv,700.0,532.8566832813709,True,False,58.8235294117647,,7.127107565827509,0.0530679594523503,182.4161180746269,167.04211472008157,22.079999999999984,2.4769617467723037,5.199049212363501,171.85969746698723,0.10398098424727001,0.09454399165822834,0.15371164350300312,1.3314533091580882,4.0,1.0,0.0,0.08022889040317359,1.7185969746698724
constrained,14,train,750mv0_converted.csv,750.0,570.0736739678696,True,False,62.5,,5.6751991517950255,0.021677951056648184,181.55648223880593,157.85877899883545,19.439999999999998,2.1400455337542326,4.32941359106691,142.75148786332684,0.0865882718213382,0.22463245553988295,0.11971536981367072,1.2563121042143488,4.0,1.0,0.0,0.05114270257995978,1.4275148786332685
constrained,15,test,800mv0_converted.csv,800.0,606.2950294894458,True,False,62.5,,3.2470448334327173,0.020232788174065177,181.56365024875626,149.72423630323414,13.893400000000014,1.428677264039635,2.826406786101075,144.26485344000633,0.0565281357220215,0.40549931215772356,0.06214772515374704,0.844986847451411,4.0,1.0,0.0,0.016697618380419818,1.4426485344000632
constrained,16,train,850mv0_converted.csv,850.0,645.4819548424252,False,False,,,,,181.47794527363186,142.0839664741028,10.640000000000015,1.7056356522882936,39.45929471119786,147.19250556040453,0.7891858942239572,0.6207542262630983,0.031929146519064915,0.0,0.0,0.0,0.0,0.0,1.4719250556040453
constrained,17,train,900mv0_converted.csv,900.0,682.444649204679,False,False,,,,,178.6636184079602,135.4205811274823,9.733300000000014,1.4891308424261922,43.29923384470771,153.50185225434973,0.8659846768941541,0.7479841092963203,0.027186530039476582,0.0,0.0,0.0,0.0,0.0,1.5350185225434974
constrained,18,train,950mv0_converted.csv,950.0,721.2714260182299,False,False,,,,,177.73027726368161,129.1458014321274,9.706700000000012,1.6563218276999407,48.63228665112345,153.76735979786747,0.972645733022469,0.9441805167307502,0.025923435486818174,0.0,0.0,0.0,0.0,0.0,1.5376735979786746
constrained,19,test,1000mv0_converted.csv,1000.0,756.6243660265701,False,False,,,,,175.6862324875622,123.60006743850879,11.573300000000017,4.513828796003651,52.1168368738021,162.05569389034952,1.042336737476042,1.085187435806893,0.019934453472021562,0.0,0.0,0.0,0.0,0.0,1.620556938903495
constrained,20,train,1100mv0_converted.csv,1100.0,834.7865599618726,False,False,,,,,176.02852154228853,114.37259142407328,14.346699999999998,2.336073653348663,61.731877505291,164.63482018207753,1.23463755010582,1.520581487496897,0.05770205809555009,0.0,0.0,0.0,0.0,0.0,1.6463482018207753
constrained,21,train,1200mv0_converted.csv,1200.0,906.8051472486442,False,False,,,,,173.40669950248756,106.5348115949465,11.120000000000005,1.7496944337281803,66.9209268983519,172.1759425644306,1.338418537967038,1.7887397569274939,0.0351210505621219,0.0,0.0,0.0,0.0,0.0,1.721759425644306
relaxed,0,train,50mv0_converted.csv,50.0,37.99008122008859,False,False,,,,,88.34135940298506,85.42360924927483,4.506659999999982,16.34010770626091,4.522138140246759,39.795893181437215,0.09044276280493518,0.0034053063837904286,0.0560121938467248,0.0,0.0,0.0,0.0,0.0,0.39795893181437214
relaxed,1,train,100mv0_converted.csv,100.0,76.17083384633712,False,False,,,,,170.70984975124378,158.10663841246622,6.653399999999976,31.959609073300413,14.330790775888703,86.15021982759511,0.28661581551777404,0.06353637441995647,0.25616168706463727,0.0,0.0,0.0,0.0,0.0,0.8615021982759511
relaxed,2,train,150mv0_converted.csv,150.0,114.17150902555795,False,False,,,,,239.83873747761194,214.77469525035377,5.800000000000011,33.22585025696756,25.74384931833512,116.2242082630938,0.5148769863667024,0.2512824851079123,0.30087090492704277,0.0,0.0,0.0,0.0,0.0,1.162242082630938
relaxed,3,test,200mv0_converted.csv,200.0,152.16154020295048,False,False,,,,,297.36232073134323,255.5281576171073,7.720000000000027,24.315313652095483,41.96891619336977,142.60653797845748,0.8393783238673954,0.7000388813873993,0.11016177408457033,0.0,0.0,0.0,0.0,0.0,1.4260653797845748
relaxed,4,train,250mv0_converted.csv,250.0,189.60094286792295,False,False,,,,,318.8617590398009,165.02225988102143,14.14670000000001,283.4413167579792,182.11630205429168,146.3057956135828,3.6423260410858336,9.466636600569645,29.007836245930765,0.0,0.0,0.0,0.0,0.0,1.4630579561358281
relaxed,5,train,300mv0_converted.csv,300.0,228.15229898524512,True,True,41.666666666666664,25.641025641025642,44.923890533411225,38.98637256040344,235.10242222388064,166.4804419976301,100.10669999999999,304.52617774976676,105.27171740007388,123.89321300709408,2.1054343480014777,1.8835904680687683,16.714929153394955,1.5886161422748184,2.568211702827086,0.0,0.0,0.5027539840431284,1.2389321300709408
relaxed,6,train,350mv0_converted.csv,350.0,266.70376233691485,True,True,41.666666666666664,29.41176470588235,50.79860282459164,65.94002267749484,192.0122066318408,167.6354634054042,130.3466,313.48815032231687,106.66923901174587,134.56911894659467,2.1333847802349175,0.2376902441310488,13.41633098178469,1.5178298563442798,1.5018262206843518,0.0,0.0,0.37839777663164087,1.3456911894659467
relaxed,7,test,400mv0_converted.csv,400.0,303.2005083702369,True,True,45.45454545454545,33.333333333333336,40.372007281876584,68.05527418729501,190.9832810945274,166.98639177870976,90.2534,323.1928638822061,108.33465934434165,139.07180240113667,2.166693186886833,0.23034027873424112,21.704317533491835,1.4583492771927726,1.4692378328741955,0.0,0.0,1.260660229917054,1.3907180240113666
relaxed,8,train,450mv0_converted.csv,450.0,341.5718172250129,True,True,50.0,37.03703703703704,29.485877059598405,62.24034450677246,186.9897857363184,161.14193452129234,68.8133,329.693154573855,111.05322574937318,139.25628094450815,2.2210645149874635,0.2672445649736495,27.223319408990296,1.2847896070491973,1.680384087791495,0.0,0.0,1.9209702888205107,1.3925628094450815
relaxed,9,train,500mv0_converted.csv,500.0,380.88580812995247,True,True,52.63157894736842,41.666666666666664,22.750064861626818,83.37987577054335,187.0197034825871,155.606384375962,58.51999999999998,338.54612131125805,116.41956747118361,142.43839864223293,2.328391349423672,0.39471864691786296,31.36585144665097,1.2322297297503182,1.2022930132348413,0.0,0.0,5.982825082855101,1.4243839864223293
relaxed,10,train,550mv0_converted.csv,550.0,419.0559644140832,True,True,52.63157894736842,43.47826086956522,17.93798697732822,110.598424403511,186.41220796353232,149.56210346885712,40.08000000000001,341.50702814312905,119.44069687516293,138.41368949326412,2.3888139375032584,0.5431720805073927,36.34330131807948,1.5263116895174935,0.8378323183343884,0.0,0.0,13.817693938704288,1.3841368949326411
relaxed,11,test,600mv0_converted.csv,600.0,457.8085803363978,True,True,55.55555555555556,47.61904761904762,13.57309453626138,117.68791495162512,186.8872940631841,145.05011425331074,31.933300000000003,344.39855649325574,120.22941136079908,141.10168092519993,2.4045882272159815,0.70013984577747,39.05381460615845,1.1711767740465717,0.6298815822625348,0.0,0.0,16.0,1.4110168092519992
relaxed,12,train,650mv0_converted.csv,650.0,494.4853744265939,True,True,58.8235294117647,50.0,9.768962539968772,115.13231274847689,184.9093897164179,143.87217711211736,27.439999999999998,347.83245494400455,121.53529927098172,139.04154715573125,2.4307059854196345,0.6736211273322256,41.0605300740184,1.475048744006276,0.7785467128027678,0.0,0.0,15.805018978520584,1.3904154715573125
relaxed,13,train,700mv0_converted.csv,700.0,532.8566832813709,True,True,58.8235294117647,48.78048780487805,7.127107565827509,108.62891885958047,182.4161180746269,143.45073936396608,22.079999999999984,366.97669310270123,129.55887244383243,138.12897598996173,2.5911774488766484,0.6073202952260875,47.581491565271556,1.653648906320069,1.0086268471765645,0.0,0.0,15.7368018879098,1.3812897598996172
relaxed,14,train,750mv0_converted.csv,750.0,570.0736739678696,True,True,62.5,48.78048780487805,5.6751991517950255,72.80063645412193,181.55648223880593,143.52105616447633,19.439999999999998,380.04536680173203,134.05051102550843,133.48891895309873,2.6810102205101685,0.5786774546623166,52.01449222648468,1.410382116077106,1.882250148720999,0.0,0.0,7.280118117896205,1.3348891895309873
relaxed,15,test,800mv0_converted.csv,800.0,606.2950294894458,True,False,62.5,,3.2470448334327173,51.59102757790972,181.56365024875626,149.13706721210713,13.893400000000014,398.6264912948955,144.50278202623028,134.7579250396509,2.8900556405246056,0.4205933149730806,59.207820614930576,1.25749381431655,4.0,1.0,0.0,3.9494450247836577,1.347579250396509
relaxed,16,train,850mv0_converted.csv,850.0,645.4819548424252,False,False,,,,,181.47794527363186,148.73642878457133,10.640000000000015,436.56163040088995,156.51306847465287,139.5587645013252,3.1302613694930574,0.42880276080136903,72.56369409734091,0.0,0.0,0.0,0.0,0.0,1.3955876450132518
relaxed,17,train,900mv0_converted.csv,900.0,682.444649204679,False,False,,,,,178.6636184079602,153.72481242744314,9.733300000000014,443.49506183401115,155.49752352705468,140.87201051358076,3.1099504705410936,0.24877761749354937,75.25970641173816,0.0,0.0,0.0,0.0,0.0,1.4087201051358076
relaxed,18,train,950mv0_converted.csv,950.0,721.2714260182299,False,False,,,,,177.73027726368161,146.71729699022586,9.706700000000012,458.68015018886274,163.51862901143738,145.80023265911888,3.2703725802287478,0.3847219781767023,80.63086358979648,0.0,0.0,0.0,0.0,0.0,1.4580023265911888
relaxed,19,test,1000mv0_converted.csv,1000.0,756.6243660265701,False,False,,,,,175.6862324875622,146.0481725353748,11.573300000000017,467.14705489616466,163.31709664462403,149.7627251867995,3.2663419328924808,0.351365839091782,83.01897846007628,0.0,0.0,0.0,0.0,0.0,1.4976272518679952
relaxed,20,train,1100mv0_converted.csv,1100.0,834.7865599618726,False,False,,,,,176.02852154228853,139.42265863104296,14.346699999999998,472.9150308931673,166.11960120713192,150.5609659794295,3.3223920241426383,0.5359956797907616,84.11396563925814,0.0,0.0,0.0,0.0,0.0,1.5056096597942952
relaxed,21,train,1200mv0_converted.csv,1200.0,906.8051472486442,False,False,,,,,173.40669950248756,155.00179534111587,11.120000000000005,495.5766288128829,173.43693997616975,150.65601204859072,3.468738799523395,0.1354961988757108,93.87929008029735,0.0,0.0,0.0,0.0,0.0,1.5065601204859072
