fit_mode,dt_ns,objective_total,classification_matches,predicted_oscillating_traces
baseline,0.1,126.38076856870201,11,0
baseline,0.05,126.38060130650004,11,0
baseline,0.025,126.38019822638431,11,0
constrained,0.1,126.37875472662667,11,0
constrained,0.05,126.37855613102275,11,0
constrained,0.025,126.37831416722007,11,0
relaxed,0.1,24.9462093733481,20,9
relaxed,0.05,14.164707650404123,21,10
relaxed,0.025,14.336946133640389,21,10
