C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,candidate_score,best_trace_score,best_current_uA,best_turn_count,best_vpp_mV,best_freq_MHz,n_good_currents,band_fraction,first_good_uA,last_good_uA,longest_band_uA
30.796164731570293,14.047462236172938,2.0,332.4365435261095,337.8922859762562,31.724605963763295,18.197838136784316,0.9769961913042118,0.5604236210188619,0.016812708630565856,0.016812708630565856,0.03,0.017208571312977417,0.0012238198011998167,23791.526326269144,1.0,0.11902717277265892,0.23805434554531785,1650.0,4.0,118.91603548493663,3.5714432458068597,0.0,0.0,,,0.0
100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,7326.877639592757,1.0,0.1125,0.225,1650.0,1.0,1579.4405011308422,3.5712992979100506,0.0,0.0,,,0.0
98.27974997368831,80.31580625597194,0.1903052077842768,327.5786481718484,327.5786481718484,1467.8732094844486,18.197838136784316,144.262212021207,1.7884789821448126,0.053654369464344376,0.053654369464344376,0.03,0.0003719225479258353,0.003905574123373449,7455.124419378689,1.0,0.1104759547601097,0.2209519095202194,1850.0,1.0,1338.058031729386,3.5711460142648552,0.0,0.0,,,0.0
55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,13263.294430967542,1.0,0.10124999999999999,0.20249999999999999,1850.0,4.0,6.660031758913391,3.5715463245820014,0.0,0.0,,,0.0
100.0,100.0,0.26780477688956306,325.13252201326867,325.13252201326867,1807.2204040289992,18.197838136784316,180.72204040289992,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.00030208553582420115,0.0039739357542312205,7326.877639592757,1.0,0.09423229233666536,0.18846458467333072,250.0,0.0,317.9219620880358,3.5712992979100506,0.0,0.0,,,0.0
91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,8041.521134602726,1.0,0.0675,0.135,50.0,0.0,0.12658482275160776,3.5714696813829385,0.0,0.0,,,0.0
84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,8696.271055483588,1.0,0.0633756882896694,0.1267513765793388,50.0,1.0,8.765553618061972e-06,3.5710705714050257,0.0,0.0,,,0.0
50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,14653.755279185514,1.0,0.03829291023077221,0.07658582046154443,1850.0,1.0,44.063217122685955,3.5712992979100506,0.0,0.0,,,0.0
97.43980172204088,2.0,0.9731571142309089,335.5674768776952,337.7694253784989,32.779549965946075,18.197838136784316,3.1940328492195174,1.7731937398180577,0.05319581219454173,0.05319581219454173,0.03,0.016654747995951413,0.003872195119484191,7519.388904847718,1.0,0.03375000009867055,0.0675000001973411,50.0,0.0,0.24647248508456343,3.57113834766777,0.0,0.0,,,0.0
20.0,5.0,0.2,328.39493232792864,331.84509749589733,439.3940793197515,18.197838136784316,8.787881586395029,0.3639567627356863,0.010918702882070587,0.010918702882070587,0.029999999999999995,0.0012424726909127215,0.000794787150846244,36634.388197963795,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
23.132495595952207,91.12525750722872,0.029020309740697015,348.5764026393092,348.5764026393092,18.21665869851527,18.197838136784316,0.42139677711636897,0.4209614105550143,0.012628842316650428,0.012628842316650428,0.03,0.02996900546575126,0.000919270513333507,31673.528734508167,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
20.881469173178616,10.775322035069156,0.7566994716887624,347.5553769928997,349.603824998278,18.207835056024383,18.197838136784316,0.3802063464326941,0.37999759607175587,0.011399927882152676,0.011399927882152676,0.03,0.029983528652567468,0.0008298161694817154,35087.94126901678,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
22.37583656726418,85.04182007800249,0.10020855399089504,337.3404958489029,337.3404958489029,37.14211778777905,18.197838136784316,0.8310859573814199,0.40719185202621316,0.012215755560786395,0.012215755560786395,0.03,0.014698546464767275,0.0008892013696548551,32744.59758216133,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
