source_file,nominal_drive_mV,time_ns,current_corrected_uA,voltage_corrected_mV,current_smoothed_uA,voltage_smoothed_mV,voltage_slew_mV_per_ns,capacitive_current_uA,resistive_current_uA,effective_resistance_ohm,power_mW,temperature_inferred_K,temperature_model_K,fit_window,included_in_primary_fit
100mv0_converted.csv,100.0,-50.0,0.9320126298230598,0.42666700000000013,0.535265607200946,0.18917193939393998,-0.018101287878788203,-0.007059502272727399,0.5423251094736734,348.81648680720565,1.0259269274116561e-07,338.93269717508866,314.4,False,True
100mv0_converted.csv,100.0,-49.0,-0.37068610123716983,0.0,0.16788460814029998,0.17107065151515177,0.015087788961038656,0.005884237694805076,0.1620003704454949,1055.9892612881931,2.7713508917806747e-08,335.6880275740282,314.4000013003925,False,True
100mv0_converted.csv,100.0,-48.0,-0.7519637786206501,-0.2133339999999997,-0.08388891230037665,0.2193475173160173,0.08146594264069237,0.03177171762987003,-0.11566062993024667,,-2.536987202640625e-08,,314.40000122103385,False,True
100mv0_converted.csv,100.0,-47.0,0.19063883869173992,0.21333300000000044,-0.2200549541210841,0.3340025367965365,0.14784409632034579,0.05765919756493486,-0.277714151686019,,-9.275723116742848e-08,,314.3999999345565,False,True
100mv0_converted.csv,100.0,-46.0,1.1226514685147997,1.2799999999999994,-0.24061351732182162,0.5150357099567089,0.27978074675324593,0.10911449123376592,-0.34972800855558756,,-1.8012241317817298e-07,,314.39999718478145,False,True
100mv0_converted.csv,100.0,-45.0,-0.5613249399289102,0.8533329999999992,0.162579837965581,0.8935640303030284,0.3552382835497828,0.1385429305844153,0.024036907381165706,37174.66711225867,2.147851583553504e-08,,314.39999582382785,False,True
100mv0_converted.csv,100.0,-44.0,-0.7519637786206501,0.8533329999999992,0.2615213677373821,1.2255122770562745,0.26034644155844117,0.10153511220779206,0.15998625552959006,7660.1097575510885,1.960651203117749e-07,,314.39999834193986,False,True
100mv0_converted.csv,100.0,-43.0,0.3706868955656599,1.066666999999999,-0.0971986974044308,1.4142569134199108,0.10715729437229427,0.041791344805194766,-0.13899004220962557,,-1.9656762809148815e-07,,314.39999840891124,False,True
100mv0_converted.csv,100.0,-42.0,1.1226514685147997,2.146667,-0.2908178119052488,1.439826865800863,0.1671861948051947,0.06520261597402593,-0.35602042787927474,,-5.126077768344983e-07,,314.39999135619695,False,True
100mv0_converted.csv,100.0,-41.0,-0.7519637786206501,1.7199999999999998,0.15171368205901367,1.7486293030303002,0.26126993290043266,0.10189527383116874,0.04981840822784493,35100.063716065124,8.711392845753546e-08,,314.39998779439776,False,True
100mv0_converted.csv,100.0,-40.0,-0.9320118354945701,1.7199999999999998,0.2264470709437614,1.9623667316017284,0.16730163636363615,0.0652476381818181,0.16119943276194332,12173.533727626198,3.1633240400510725e-07,,314.399992781831,False,True
