source_file,nominal_drive_mV,time_ns,input_current_uA,output_voltage_mV,output_power_uW,current_corrected_uA,voltage_corrected_mV,effective_resistance_ohm,corrected_power_uW
250mv0_converted.csv,250.0,-296.0,6.29108167682745,-2.386667,-0.015014717032388741,0.5613257342573998,0.43999999999999995,783.8585925195349,0.0002469833230732559
250mv0_converted.csv,250.0,-295.0,6.29108167682745,-1.96,-0.012330520086581804,0.5613257342573998,0.8666670000000001,1543.9644881889271,0.000486482490131658
250mv0_converted.csv,250.0,-294.0,5.54970788569613,-1.96,-0.010877427455964416,-0.18004805687392,0.8666670000000001,,-0.00015604170930674967
250mv0_converted.csv,250.0,-293.0,5.35906984133288,-1.746667,-0.009360510442551376,-0.3706861012371707,1.08,,-0.0004003409893361444
250mv0_converted.csv,250.0,-292.0,6.48172051551919,-2.173333,-0.014086937093154868,0.7519645729491398,0.6533340000000001,868.8361440189673,0.0004912840223031533
250mv0_converted.csv,250.0,-291.0,6.29108167682745,-1.96,-0.012330520086581804,0.5613257342573998,0.8666670000000001,1543.9644881889271,0.000486482490131658
250mv0_converted.csv,250.0,-290.0,5.16843100264114,-1.746667,-0.009027527874090191,-0.5613249399289106,1.08,,-0.0006062309351232236
250mv0_converted.csv,250.0,-289.0,5.35906984133288,-1.746667,-0.009360510442551376,-0.3706861012371707,1.08,,-0.0004003409893361444
250mv0_converted.csv,250.0,-288.0,6.29108167682745,-2.173333,-0.013672615413944433,0.5613257342573998,0.6533340000000001,1163.9124311026317,0.0003667331872653241
250mv0_converted.csv,250.0,-287.0,6.48172051551919,-1.746667,-0.011321407327680357,0.7519645729491398,1.08,1436.2378745641352,0.0008121217387850711
250mv0_converted.csv,250.0,-286.0,4.98838294576722,-1.533333,-0.007648852187382088,-0.7413729968028306,1.293334,,-0.0009588429034469922
250mv0_converted.csv,250.0,-285.0,5.16843100264114,-1.96,-0.010130124765176633,-0.5613249399289106,0.8666670000000001,,-0.00048648180171336923
250mv0_converted.csv,250.0,-284.0,6.48172051551919,-2.173333,-0.014086937093154868,0.7519645729491398,0.6533340000000001,868.8361440189673,0.0004912840223031533
250mv0_converted.csv,250.0,-283.0,6.85240741108485,-1.746667,-0.011968873895497343,1.1226514685147997,1.08,962.0082726376112,0.001212463585995984
250mv0_converted.csv,250.0,-282.0,4.98838294576722,-1.96,-0.00977723057370375,-0.7413729968028306,0.8666670000000001,,-0.0006425235110201189
250mv0_converted.csv,250.0,-281.0,5.16843100264114,-2.386667,-0.012335323715780522,-0.5613249399289106,0.43999999999999995,,-0.0002469829735687207
250mv0_converted.csv,250.0,-280.0,6.29108167682745,-2.386667,-0.015014717032388741,0.5613257342573998,0.43999999999999995,783.8585925195349,0.0002469833230732559
250mv0_converted.csv,250.0,-279.0,7.0430462497766,-1.96,-0.013804370649562137,1.3132903072065494,0.8666670000000001,659.9203506218324,0.0011381853706757788
250mv0_converted.csv,250.0,-278.0,4.98838294576722,-2.386667,-0.011905608960025413,-0.7413729968028306,0.43999999999999995,,-0.00032620411859324544
