I_target_uA,time_ns,I_in_uA,V_vo2_mV,T_K,R_ohm,P_W
0.0,0.0,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,0.23730000853538513,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,0.49041998386383057,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,0.7435399889945984,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,0.9966599941253662,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,1.2497799396514893,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,1.4870799779891968,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,1.7402000427246094,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,1.9933199882507324,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,2.2464399337768555,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,2.4995598793029785,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,2.7368600368499756,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,2.9899799823760986,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,3.2430999279022217,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,3.4962198734283447,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,3.749340057373047,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,3.986639976501465,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,4.239759922027588,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,4.492879867553711,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,4.745999813079834,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,4.999119758605957,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,5.236420154571533,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,5.489540100097656,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,5.742660045623779,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,5.995779991149902,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,6.248899936676025,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,6.502019882202148,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,6.739320278167725,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,6.9924397468566895,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,7.245560169219971,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,7.498680114746094,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,7.751800060272217,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,7.989099979400635,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,8.242219924926758,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,8.495340347290039,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,8.748459815979004,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,9.001580238342285,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,9.238880157470703,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,9.491999626159668,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,9.74512004852295,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,9.998239517211914,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,10.251359939575195,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,10.488659858703613,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,10.741780281066895,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,10.99489974975586,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,11.24802017211914,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,11.501139640808105,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,11.754260063171387,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,11.991559982299805,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,12.244680404663086,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,12.49779987335205,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,12.750920295715332,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,13.004039764404297,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,13.241339683532715,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,13.494460105895996,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,13.747579574584961,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,14.000699996948242,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,14.253820419311523,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,14.491120338439941,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,14.744239807128906,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,14.997360229492188,0.0,0.0,311.2193603515625,2817.621826171875,0.0
