I_target_uA,I_avg_uA,V_avg_mV,V_std_mV,V_pp_mV,V_pp_active_mV,turn_count,input_power_dBm,dominant_freq_MHz,oscillatory,n_cycles,period_cv,spectral_purity,R_plateau_ohm,R_min_ohm,R_max_ohm,T_avg_K,T_max_K,P_avg_uW,P_peak_uW,cycle_energy_pJ,cycle_period_ns,cycle_frequency_MHz,regime
1000.0,1000.0000610351562,1875.914794921875,94.34552764892578,253.35546875,253.35546875,0.0,-13.010298532911671,3.5706924476879887,0.0,1.0,inf,0.6267664111933589,1829.6268310546875,1721.079833984375,2223.017578125,327.97216796875,330.1008605957031,1927.412109375,2091.265869140625,,,0.0,insulating
1100.0,1100.0,1877.5693359375,178.43272399902344,452.91748046875,452.91748046875,0.0,-12.182446300540708,3.5706924476879887,0.0,1.0,inf,0.6107992061944509,1625.17138671875,1461.5400390625,2109.966552734375,330.6889343261719,333.2523498535156,2176.847412109375,2496.234375,,,0.0,insulating
1200.0,1200.0,1449.090576171875,715.7542114257812,2133.836181640625,2133.836181640625,1.0,-11.426674623129705,7.141384895375977,0.0,2.0,0.0,0.23137300981957848,1454.0880126953125,82.43036651611328,2055.590576171875,329.17791748046875,342.0572814941406,1818.8466796875,7438.4482421875,357.55548095703125,194.1114044189453,5.1516808246965615,transient switch
1300.0,1300.0,1461.0469970703125,810.9357299804688,2345.20458984375,2345.20458984375,1.0,-10.73143288685724,7.141384895375977,0.0,2.0,0.0,0.17508133799495518,1417.496337890625,21.721933364868164,2017.8514404296875,329.73162841796875,346.9798889160156,1976.4876708984375,36379.109375,320.8845520019531,167.32814025878906,5.9762810872899435,transient switch
1400.0,1400.0,1390.594970703125,862.2706298828125,2454.3046875,2454.3046875,2.0,-10.087739552782178,7.141384895375977,0.0,2.0,0.0,0.17815004370585288,1231.5262451171875,19.029722213745117,1968.459716796875,331.66937255859375,349.5440673828125,2394.219482421875,67497.125,,,0.0,transient switch
1500.0,1500.0,1111.802978515625,918.214111328125,2515.086669921875,2515.086669921875,2.0,-9.48847402591172,7.141384895375977,0.0,2.0,0.0,0.19429640770426532,986.8915405273438,18.506946563720703,1916.8944091796875,333.1466064453125,351.644775390625,2132.5107421875,98352.609375,,,0.0,transient switch
1600.0,1600.0,968.7569580078125,872.8524169921875,2266.13916015625,2266.13916015625,3.0,-8.927900522945349,7.141384895375977,1.0,3.0,0.04102054042065063,0.19465978608475704,928.1456909179688,18.370290756225586,1861.971435546875,333.2642517089844,352.9360656738281,1484.906982421875,56642.26171875,257.8157653808594,126.67071533203125,7.89448450953154,oscillatory
1700.0,1700.0,980.8373413085938,839.4088134765625,2286.43212890625,2286.43212890625,2.0,-8.401321413919844,7.141384895375977,1.0,3.0,0.0552471662512566,0.18726528083574326,948.1729736328125,18.34940528869629,1802.5386962890625,332.7212219238281,349.451904296875,1505.642333984375,65806.6796875,247.9977264404297,118.4918212890625,8.439401041532525,oscillatory
1800.0,1800.0,1023.12109375,826.8525390625,2294.344970703125,2294.344970703125,2.0,-7.904850003777537,7.141384895375977,1.0,3.0,0.06936575179646494,0.1700318639510549,958.9558715820312,18.40519905090332,1737.4144287109375,332.3904113769531,349.91650390625,1581.4298095703125,72110.796875,239.52403259277344,111.64175415039062,8.957222211439976,oscillatory
1900.0,1900.0,1079.5032958984375,832.8569946289062,2287.74951171875,2287.74951171875,1.0,-7.43522832331823,10.712077343063966,1.0,3.0,0.08386482649986236,0.15457151389059887,951.978759765625,18.678640365600586,1665.6488037109375,332.30755615234375,350.1468200683594,1710.12060546875,75222.3359375,231.64993286132812,105.6776123046875,9.462742185325126,oscillatory
2000.0,2000.0001220703125,1138.7723388671875,846.509033203125,2267.26171875,2267.26171875,2.0,-6.989698619632047,10.712077343063966,0.0,2.0,0.0,0.15958668685507593,923.5459594726562,18.80185317993164,1586.4530029296875,332.4982604980469,350.1664733886719,1898.2657470703125,75357.828125,224.00723266601562,100.33047485351562,9.967061368542497,transient switch
2100.0,2100.0,1138.8287353515625,843.866943359375,2231.253662109375,2231.253662109375,3.0,-6.565913408648917,10.712077343063966,0.0,2.0,0.0,0.16347438024756902,837.8092651367188,18.86795997619629,1499.3306884765625,333.27215576171875,349.96063232421875,2397.18896484375,72268.625,216.20840454101562,95.36294555664062,10.486253273353979,transient switch
2200.0,2200.0,1049.5137939453125,837.3125,2182.52392578125,2182.52392578125,4.0,-6.161846387261084,10.712077343063966,0.0,2.0,0.0,0.16621667805979057,731.7445068359375,19.011014938354492,1404.164794921875,334.12841796875,349.5872497558594,2314.209716796875,66932.9375,208.30899047851562,90.72769165039062,11.021993195345388,transient switch
2300.0,2300.0,968.7268676757812,817.3275146484375,2116.585205078125,2116.585205078125,4.0,-5.775743043550041,10.712077343063966,0.0,2.0,0.0,0.1667280201706019,636.788818359375,19.310361862182617,1301.8255615234375,334.5252685546875,349.0037841796875,2231.715576171875,58971.50390625,200.2379150390625,86.3455810546875,11.581368586385954,transient switch
2400.0,2400.0,905.4278564453125,777.9283447265625,2034.5897216796875,2034.5897216796875,3.0,-5.406074709850081,10.712077343063966,1.0,3.0,9.625740791808234e-05,0.16396566342496266,560.2576293945312,19.897777557373047,1193.849365234375,334.61529541015625,348.2433166503906,2160.55810546875,49282.859375,191.90090942382812,82.12161254882812,12.177062395181498,oscillatory
2500.0,2500.0,870.5164184570312,723.7758178710938,1940.2911376953125,1940.2911376953125,4.0,-5.051499977343824,10.712077343063966,1.0,3.0,0.00010110777425093388,0.15742410246501112,514.854736328125,21.001461029052734,1082.714111328125,334.5385437011719,347.37213134765625,2112.833740234375,39213.015625,183.77539825439453,78.17451477050781,12.791892638357135,oscillatory
2600.0,2600.0,861.58251953125,669.4723510742188,1830.225830078125,1830.225830078125,4.0,-4.710832973577617,10.712077343063966,1.0,3.0,0.00031833527234657313,0.14717929921118938,486.8998107910156,23.229846954345703,971.9483032226562,334.4027404785156,346.3737487792969,2102.776611328125,29213.40234375,176.06890106201172,74.54385375976562,13.414922217768959,oscillatory
2700.0,2700.0,866.2388916015625,622.3937377929688,1705.8070068359375,1705.8070068359375,4.0,-4.38302444815627,14.282769790751955,1.0,3.0,0.0007743087390204024,0.1517114893474143,453.62811279296875,27.67113494873047,864.7218627929688,334.3425598144531,345.30523681640625,2152.076904296875,20539.029296875,169.78145599365234,71.53013610839844,13.980121587977642,oscillatory
2800.0,2800.0,858.3103637695312,551.8936157226562,1563.5128173828125,1563.5128173828125,4.0,-4.067139639502554,14.282769790751955,1.0,3.0,0.008314855635535268,0.16521291916022932,398.3287353515625,36.53731918334961,764.2362670898438,334.4826965332031,344.19122314453125,2242.773193359375,13754.2177734375,167.11226654052734,69.79783630371094,14.327091683024465,oscillatory
2900.0,2900.0,821.4895629882812,403.6456298828125,1444.71728515625,1444.71728515625,4.0,-3.7623401091223663,14.282769790751955,0.0,2.0,0.0,0.15885596860435097,323.26776123046875,48.48948287963867,672.9055786132812,335.15478515625,343.0953369140625,2329.781982421875,9191.2998046875,187.5338897705078,74.58338928222656,13.407811171143745,transient switch
3000.0,3000.0,815.5892944335938,308.4259338378906,1326.0699462890625,1326.0699462890625,3.0,-3.4678741126320967,10.712077343063966,0.0,1.0,0.15247594406169016,0.16269102767824328,295.47100830078125,51.58252716064453,592.033203125,335.3070068359375,341.9416809082031,2399.27294921875,6656.3203125,174.25387573242188,69.52886962890625,14.382514850841979,transient switch
