C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,sigma_W_sqrt_s,Rm_factor_scale,Tc_shift_K,w_scale,beta_scale,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,Rm_eff_ohm,Tc_eff_K,w_eff_K,beta_eff_per_K,reversal_threshold_K,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,candidate_score,generic_score,best_trace_score,best_current_uA,best_turn_count,best_vpp_mV,best_freq_MHz,n_good_currents,band_fraction,first_good_uA,last_good_uA,longest_band_uA,target_score,plateau_mean_mV_target,plateau_std_mV_target,low_current_peak_mV,low_current_peak_uA,low_current_bump_mV,rep_plateau_mV,rep_overshoot_mV,rep_turnoff_undershoot_mV,rep_plateau_vpp_mV,rep_plateau_turn_count
38.243744161808195,6.116343454675203,0.09111813005416332,335.9478092983115,335.9478092983115,0.0,1.666722170048826,5.42873345346706,1.00355693724025,1.4829983075289772,623.8091093757432,30.33074026953844,23.856795984771352,1.1599610711064814,30.33074026953844,338.99891353334874,6.924874377879379,0.44043784725373136,0.005855943660992898,0.03479883213319444,0.03479883213319444,0.030000000000000002,0.0014586548904307094,0.0042218973564607555,22989.277253269764,1.0,0.36562662032844606,0.135013063900317,0.270026127800634,1150.0,2.0,271.40123958836887,3.5715382260241046,0.0,0.0,,,0.0,0.4644610016547871,197.98894312496728,54.286014950698394,112.11828812275076,200.0,-85.87065500221652,30.907535539227936,0.0,29.599714200730258,0.3674593309952101,1.0
20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,0.25740281544507604,0.5818779728982062,0.7714482534887203,1400.0,10.0,666.7471831452119,3.571705228026265,10.0,0.5,950.0,2000.0,450.0,0.11834203367944882,663.1219557967457,148.56355985807986,257.5757121280722,200.0,-405.5462436686735,66.98651032781666,0.0,62.82361243098713,1.631571841442863,0.0
43.78933140657456,49.90787023767722,0.03607566266139949,341.31123758425673,341.31123758425673,0.0,2.2587336394606656,-0.36502382654425714,0.7773632751453965,1.4742624408390572,41.20485262201278,41.104069165014934,1.8043329470243803,1.7999197068256014,41.104069165014934,333.20515625333746,5.364063389529475,0.43784336936439716,0.0019042620032504475,0.05399759120476804,0.05399759120476804,0.03,0.029926622630162734,0.008878082894499952,14815.475693466846,1.0,0.1900858354461994,0.06584748047101323,0.13169496094202646,350.0,1.0,0.0007678236404977667,3.5717154516558365,0.0,0.0,,,0.0,0.24333084472127917,48.38996855781421,21.313213228269866,8.240875721459183,200.0,-40.149092836355024,2.0602411463292185,1.2034664260696104e-06,2.0602411463292185,1.2395007495946686e-06,0.0
12.889568944311277,11.897159648511145,0.11407783987822093,334.6667133900249,339.100061697075,0.0,6.570262227967712,7.937003968081497,1.3341295353710025,1.19774338355293,352.4454909526095,119.56456854078432,4.542870454745296,1.5411357495032707,119.56456854078432,341.5071840479632,9.205934504990672,0.3557195680778921,0.019349369436219652,0.04623407248509812,0.04623407248509812,0.030000000000000002,0.01017728173093818,0.02211182771425642,17303.256170173005,1.0,0.16550895713923622,0.0794967073121064,0.1589934146242128,800.0,1.0,366.8155800119784,3.571510933406961,0.0,0.0,,,0.0,0.20237134992229186,421.84477697011727,39.92777582092629,253.67627545908525,200.0,-168.16850151103202,66.23180182342139,0.0,65.33178987588545,2.204750470023967,0.0
21.162984226831025,12.146442216942896,0.13054282687987803,328.0159352288651,332.321833882387,0.0,3.1280544180728955,0.10695152437754461,1.0848791626491274,1.1309373804769762,320.8748398218773,56.92382798314361,6.790669173937321,1.2046780737381106,56.92382798314361,333.6771316042593,7.4860245968542,0.3358787550243517,0.005340881402387502,0.036140342212143316,0.036140342212143316,0.029999999999999995,0.005322059032245369,0.008228986493343958,22135.927637431072,1.0,0.13832492709145336,0.1449569343375433,0.2899138686750866,1900.0,4.0,901.3300289062669,3.5716935002962127,0.0,0.0,,,0.0,0.13548263827170054,575.9496774895654,129.88691440393356,266.1252885701416,200.0,-309.82438891942377,69.40637113046044,0.0,63.548150183390085,4.2173016238347,0.0
80.0,40.0,0.1,334.60522963027233,334.9502461470692,0.0,8.0,4.0,1.2,1.2,519.9112583169818,145.58270509427453,41.59290066535854,11.646616407541961,145.58270509427453,337.5701800798817,8.280396403124948,0.356389763913571,0.003,0.04121368672270927,0.04121368672270927,0.0035386832776617126,0.0009908827242971032,0.024000000000000007,19411.02734590327,1.0,0.1367370498574305,0.09248878398511359,0.18497756797022719,1250.0,1.0,280.4961448364678,3.571880492033722,0.0,0.0,,,0.0,0.15570059237413775,359.05401335864786,72.48978242104175,107.38093667869548,200.0,-251.67307667995237,27.199225203956928,0.0,21.64249101074601,3.402296847991817,0.0
99.8452342417714,28.313453493591112,0.5499368901117393,333.8871847004033,342.07377767273556,0.0,12.464809124725523,-4.7190615291173605,1.132915057101191,1.10621778904028,226.84879617418338,226.83257885766724,22.649771191475192,22.64815196970887,226.83257885766724,328.85111855076434,7.8174881365556645,0.3285372472275483,0.013603124268407025,0.0848977312431733,0.0848977312431733,0.003748550051974268,0.003748282069848312,0.0770302852682166,9423.102222938716,1.0,0.10695793285482644,0.06407098675880764,0.12814197351761528,2000.0,1.0,188.27847390512454,3.5715214610889303,0.0,0.0,,,0.0,0.12533805261026307,269.0718678093791,117.81265579460144,46.10336951821476,200.0,-222.96849829116434,11.527678199793105,0.0,11.080389146163004,0.1614458197137001,0.0
105.74591021439521,69.94421886982519,0.048266994422652226,341.75210026530266,341.75210026530266,0.0,19.51391286116835,-5.926285736081954,1.3569827347062131,1.337655543001637,355.11144265544345,355.11102766285535,37.55158273114688,37.55153884737792,355.11102766285535,327.64389434379973,9.363629129636653,0.3972722859733609,0.004062537750964952,0.040008758878954734,0.040008758878954734,0.001065435934371792,0.0010654346892752878,0.05683020592408402,19995.621519287197,1.0,0.09878337552987113,0.07955980403871829,0.15911960807743658,2000.0,0.0,416.54718260107154,3.5711568651379046,0.0,0.0,,,0.0,0.10702204902607951,409.92614684553024,180.64927372217483,69.7746980158196,200.0,-340.15144882971066,17.4436747616555,0.0,15.033404627515997,1.2457912617190985,0.0
145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,0.08603691647979347,0.16875,0.3375,1850.0,2.0,1115.7849705444817,3.572125513638087,0.0,0.0,,,0.0,0.05058845211399068,929.8962495632294,301.53307263702294,157.3470945838155,200.0,-772.5491549794139,39.367241083332694,0.0,2.4649060512463166,22.196693226067254,0.0
50.0,20.0,0.5,334.26021311347546,334.26021311347546,0.0,10.0,2.0,1.1,1.1,429.83389666485573,181.97838136784316,21.49169483324279,9.098919068392158,181.97838136784316,335.5701800798817,7.590363369531203,0.3266906169207735,0.005,0.02747579114847284,0.02747579114847284,0.003019676396937994,0.0012784376179571474,0.020000000000000004,29116.541018854907,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,
