source_file,nominal_drive_mV,time_ns,current_corrected_uA,voltage_corrected_mV,current_smoothed_uA,voltage_smoothed_mV,effective_resistance_ohm,power_mW,temperature_inferred_K,temperature_model_K,fit_window,included_in_primary_fit
100mv0_converted.csv,100.0,-50.0,0.9320126298230598,0.42666700000000013,0.535265607200946,0.18917193939393998,353.4169519748768,1.0125723300507782e-07,338.90393437366816,314.4,False,True
100mv0_converted.csv,100.0,-49.0,-0.37068610123716983,0.0,0.16788460814029998,0.17107065151515177,1018.9775787676095,2.872012929392707e-08,335.8520017984977,314.40000131604205,False,True
100mv0_converted.csv,100.0,-48.0,-0.7519637786206501,-0.2133339999999997,-0.08388891230037665,0.2193475173160173,,-1.8400824643428723e-08,,314.40000131639033,False,True
100mv0_converted.csv,100.0,-47.0,0.19063883869173992,0.21333300000000044,-0.2200549541210841,0.3340025367965365,,-7.349891291108755e-08,,314.40000027311584,False,True
100mv0_converted.csv,100.0,-46.0,1.1226514685147997,1.2799999999999994,-0.24061351732182162,0.5150357099567089,,-1.2392455371902526e-07,,314.3999982324253,False,True
100mv0_converted.csv,100.0,-45.0,-0.5613249399289102,0.8533329999999992,0.162579837965581,0.8935640303030284,5496.155251995026,1.4527549525853789e-07,287.2152717082052,314.39999861834747,False,True
100mv0_converted.csv,100.0,-44.0,-0.7519637786206501,0.8533329999999992,0.2615213677373821,1.2255122770562745,4686.0885122279005,3.2049764687471047e-07,292.5147139426494,314.40000349558875,False,True
100mv0_converted.csv,100.0,-43.0,0.3706868955656599,1.066666999999999,-0.0971986974044308,1.4142569134199108,,-1.3746392977962617e-07,,314.40000503965905,False,True
100mv0_converted.csv,100.0,-42.0,1.1226514685147997,2.146667,-0.2908178119052488,1.439826865800863,,-4.187272986345993e-07,,314.3999989519663,False,True
100mv0_converted.csv,100.0,-41.0,-0.7519637786206501,1.7199999999999998,0.15171368205901367,1.7486293030303002,11525.851059037097,2.6529099011901364e-07,,314.3999975562198,False,True
100mv0_converted.csv,100.0,-40.0,-0.9320118354945701,1.7199999999999998,0.2264470709437614,1.9623667316017284,8665.895846756554,4.4437219848869373e-07,,314.4000050010493,False,True
100mv0_converted.csv,100.0,-39.0,0.5613257342573998,1.7199999999999998,-0.17284914025546122,2.0832325757575725,,-3.6008495967186634e-07,,314.4000053792463,False,True
100mv0_converted.csv,100.0,-38.0,1.1226514685147997,2.573334,-0.2484078054981818,2.0062916796536765,,-4.983785133320309e-07,,314.39999620213354,False,True
100mv0_converted.csv,100.0,-37.0,-0.7519637786206501,2.146667,0.24134789292761047,2.1577492207792175,8940.41043659084,5.207682279012576e-07,,314.39999685018046,False,True
100mv0_converted.csv,100.0,-36.0,-0.9320118354945701,2.146667,0.3088372466476767,2.266724666666663,7339.544343408021,7.00049004961705e-07,,314.4000095612657,False,True
100mv0_converted.csv,100.0,-35.0,0.9320126298230598,1.9333329999999993,-0.1400672617425026,2.311977207792204,,-3.23832316706531e-07,,314.40001254595194,False,True
100mv0_converted.csv,100.0,-34.0,0.9320126298230598,2.573334,-0.21044503113570143,2.1845311688311653,,-4.597237298415848e-07,,314.4000035958861,False,True
100mv0_converted.csv,100.0,-33.0,-0.7519637786206501,2.3599999999999994,0.27573447661617795,2.241789402597399,8130.247004686204,6.181386276088879e-07,,314.40000508476265,False,True
100mv0_converted.csv,100.0,-32.0,-0.9320118354945701,2.146667,0.2882053376983542,2.241789380952377,7778.445044965518,6.460956655859642e-07,,314.40001760130747,False,True
100mv0_converted.csv,100.0,-31.0,0.9320126298230598,1.9333329999999993,-0.215717663329715,2.2427130129870094,,-4.837928106807025e-07,,314.4000177875011,False,True
100mv0_converted.csv,100.0,-30.0,0.9320126298230598,2.3599999999999994,-0.2188353786002591,2.0931024848484814,,-4.580448747209605e-07,,314.40000685158,False,True
100mv0_converted.csv,100.0,-29.0,-0.9320118354945701,2.146667,0.21883617292874877,2.0986436493506457,9590.021710139972,4.5925914456511827e-07,,314.4000064718238,False,True
100mv0_converted.csv,100.0,-28.0,-0.9320118354945701,2.146667,0.19935045248784838,2.1688311731601697,10879.48959279324,4.323574757392309e-07,,314.4000150767635,False,True
100mv0_converted.csv,100.0,-27.0,0.9320126298230598,1.9333329999999993,-0.26092453475260396,2.190995770562767,,-5.71684552079013e-07,,314.4000123925321,False,True
100mv0_converted.csv,100.0,-26.0,0.7519645729491398,2.3599999999999994,-0.2562479618467879,2.1171140519480485,,-5.42506160808882e-07,,314.4000001036614,False,True
100mv0_converted.csv,100.0,-25.0,-0.9320118354945701,2.3599999999999994,0.17110764552351326,2.1863780476190438,12777.792838710973,3.7410599995239034e-07,,314.39999849976584,False,True
100mv0_converted.csv,100.0,-24.0,-0.7519637786206501,2.146667,0.16065413811188686,2.3747763593073556,14781.91839449198,3.8151764921300776e-07,,314.40000631987897,False,True
100mv0_converted.csv,100.0,-23.0,0.7519645729491398,2.3599999999999994,-0.20641044758605573,2.5881099134199093,,-5.342129256309113e-07,,314.4000041674677,False,True
100mv0_converted.csv,100.0,-22.0,0.7519645729491398,3.0,-0.1406632900828372,2.7281963376623337,,-3.837570728475309e-07,,314.39999451252896,False,True
100mv0_converted.csv,100.0,-21.0,-0.5613249399289102,3.426667,0.33148645081047345,3.131659532467528,9447.322883969235,1.0381027035644473e-06,,314.40000178594465,False,True
100mv0_converted.csv,100.0,-20.0,-0.37068610123716983,3.426667,0.4324451382496901,3.7680809177489123,8713.431102498034,1.6294882734119474e-06,,314.4000289373577,False,True
100mv0_converted.csv,100.0,-19.0,0.9320126298230598,4.066666,0.2087034917012852,4.423088229437223,21193.16832402563,9.231139575864037e-07,,314.4000527086801,False,True
100mv0_converted.csv,100.0,-18.0,1.3132895128780504,5.573334,0.36486401379861805,5.072150220779214,13901.48117917357,1.8506450881430507e-06,,314.4000771699668,False,True
100mv0_converted.csv,100.0,-17.0,0.19063883869173992,6.426667,0.958466918496306,6.128946670995663,6394.531258951619,5.874392629377406e-06,,314.400150706058,False,True
