mode,evaluation,elapsed_s,loss,mean,amplitude,robust,frequency,persistence,waveform,static_rmse_log10,screened,outside_domain,C_pF,S_e_mW_per_K,tau_th_ns,T0_K,Tc_K,w_K,beta_per_K,gamma,Rs_315K_ohm,Ea_over_k_K,Rm_ohm
static_preserving,1,1.7175296669956879,37.82314642415336,6.859593877290781,4.2759717417771945,3.2609245377393474,0.5578878467192917,1.0374365430772086,35.67661608064786,0.036627605227354594,False,False,0.38999999999999996,0.0036751264999999997,13.026282496670518,314.4,333.49356636598696,6.882302959338694,0.2991563242902104,0.9562696819999997,2513.3391379829973,2536.9654457644647,18.21526990911648
static_preserving,2,3.4870640419976553,10017.43636876271,6.169868510561228,1.3185798174457446,1.5524005297547214,1.389532267477155,0.18050755378918282,14.538865271861955,0.0425551369611288,False,True,6.835494476281912,0.0037127620434272003,11.908706376291862,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.1569637099004186,2513.3391379829973,2536.9654457644647,18.21526990911648
static_preserving,3,5.230947291995108,10222.240975421071,49.30596909081393,1.8957294728667446,2.0864313314061285,2.053472911885589,0.0,58.10632529676309,0.3202876150082815,False,True,15.671852385659134,0.0009459676396536,8.214339249999021,318.76089619827405,337.90430970001603,12.123356409556754,0.2074867609087648,1.4517676540168434,2513.3391379829973,2536.9654457644647,18.21526990911648
static_preserving,4,6.973150583995448,23.10902226269984,6.885999618583039,1.3541449083408494,1.3965782328558083,0.5549338013701205,0.547701206501399,19.194893955163245,0.04946039013402918,False,False,6.806105267445345,0.0037376655952593,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.175681338477949,2447.6992863634123,2575.126066603246,20.063832211131665
static_preserving,5,8.730566874997749,51.06724610839496,8.40387645002888,1.0121702675893027,1.0337208464205618,1.5866735494903552,0.41218772349688226,18.213697555925116,0.1432950377553028,False,False,4.964372764430598,0.0035191796202696008,11.280811471558978,313.89842164401676,332.18133608254857,7.242700894977054,0.3638852151662267,0.17868830373348443,2300.2214384695144,2485.117835448581,17.56579183190342
static_preserving,6,10.39144595900143,51.06472374085326,15.916164319673406,3.908443047905508,2.766463401948462,0.5665298210184246,1.0541299108395021,43.34078070592163,0.06947995679929765,False,False,0.24981726456111628,0.005007095091527991,16.585121229012856,314.4897297781288,333.49042737614513,7.563104797983808,0.24470695212662744,0.7154922025768258,2322.049779840115,2518.463228976555,19.081802072699922
static_preserving,7,12.134260541999538,23.420873082395538,6.91538609728646,1.8262873736512875,1.760630853229439,1.38244675776302,0.4506422506279048,20.253809457886128,0.0444906143508761,False,False,6.1677483458064755,0.004099480531738787,13.625994307800694,314.43159581555466,333.6929128329759,7.166004344707154,0.29429117845022557,0.13433786174422513,2398.180755963877,2563.451181355781,16.916448172356144
static_preserving,8,13.859565166996617,10215.46507276903,52.76320926742678,2.1005137389459896,2.42358324847656,0.6397956977877798,0.0,61.8082315816352,0.3098959918135789,False,True,15.652925786567346,0.0008699750646258499,8.93561780265558,319.01782725176236,338.0756200045035,12.413217167299772,0.23520513930866757,1.5515665914228116,2526.2392768333175,2604.6349365167125,17.652312227875182
static_preserving,9,15.58726100000058,28.091258486017704,6.676025587616013,1.5237055374378659,1.599649910098429,0.7734758867979215,0.5068410564429763,19.315622730742714,0.07405924889604856,False,False,9.588219318448184,0.00374768164031393,19.10915629123087,314.00531113533685,333.44339457446614,6.301399244494697,0.2728417359612346,0.19854951666968743,2155.1795062546375,2582.9845864191448,20.724976906356268
static_preserving,10,17.34312308399967,39.0924992655383,7.9255398750425865,2.039938940198832,1.8907592639049657,2.0018417155840784,0.6606989777316926,24.8654245501164,0.09429698668111663,False,False,4.1867749941247085,0.003979597575708072,10.405068098188364,313.84518114613616,332.74999240247257,7.463342326845197,0.33381666604429727,0.18105040789043772,2345.8336996617386,2484.7074617150156,17.0500494437628
