candidate,C_pF,S_e_mW_per_K,tau_th_ns,T0_K,Tc_K,w_K,beta_per_K,gamma,Rs_315K_ohm,Ea_over_k_K,Rm_ohm,C_th_pJ_per_K,R0_ohm,static_rmse_log10
frozen,0.39,0.0036751265,13.026282496670524,314.4,333.49356636598696,6.882302959338694,0.2991563242902104,0.956269682,2513.3391379829964,2536.9654457644647,18.21526990911648,0.047873236000000007,0.7989227061673403,0.036627605227354594
prior_anchored,6.835494476281913,0.0037127620434272003,11.90870637629186,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.1569637099004186,2513.3391379829964,2536.9654457644647,18.21526990911648,0.0442141930202159,0.7989227061673403,0.0425551369611288
prior_amplitude,15.671852385659136,0.0009459676396536,8.214339249999023,318.76089619827405,337.90430970001603,12.123356409556754,0.2074867609087648,1.4517676540168432,2513.3391379829964,2536.9654457644647,18.21526990911648,0.007770499111635499,0.7989227061673403,0.3202876150082815
prior_joint_static,6.806105267445345,0.0037376655952593,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.175681338477949,2447.6992863634123,2575.126066603246,20.063832211131665,0.05927828485096463,0.6892855928137253,0.04946039013402918
prior_joint_diagnostic,4.964372764430598,0.0035191796202696,11.280811471558986,313.89842164401676,332.18133608254857,7.242700894977054,0.3638852151662268,0.1786883037334844,2300.2214384695144,2485.117835448581,17.56579183190342,0.0396992018308139,0.8619980290553733,0.1432950377553029
static_preserving,4.650068603358178,0.004134104258117031,10.405068098188364,313.0921598073286,332.74999240247257,6.988288287668067,0.28030520867871295,0.18105040789043772,2781.8623569589804,2484.7074617150156,18.34332087986942,0.04301563633071819,1.0438498936014968,0.04893633808662409
dynamic_diagnostic,12.333650367583624,0.004288619884858175,19.243706110853488,315.0037570775747,332.90211438452616,2.746326815220834,0.250565068629339,0.2513254232918895,2398.698611488058,3221.646107765251,13.711374653285,0.08252894068537305,0.08674640194922924,0.1473038822021968
