candidate,dt_ns,split,records,mean_feature_loss,mean_voltage_RMSE_mV,periodic_amplitude_MAE_mV,oscillators_recovered,measured_oscillators,false_positives,frequency_comparable_count,frequency_MAE_MHz
dynamic_diagnostic,0.00625,train,9,13.95196082945694,43.36767459836767,52.50828381477338,1,5,0,1,23.363370886185628
dynamic_diagnostic,0.00625,validation,13,11.988915626418544,37.141850922496424,76.49389107464218,5,6,0,5,20.604790813471084
dynamic_diagnostic,0.0125,train,9,13.884775886266285,43.32809083509434,52.321665944281364,1,5,0,1,23.396021164743345
dynamic_diagnostic,0.0125,validation,13,12.01084673489231,37.06251330839667,79.76340209986499,5,6,0,5,20.762526247944812
dynamic_diagnostic,0.025,train,9,13.35017237127786,43.325293187678675,58.7969859786812,1,5,0,1,23.447766960527467
dynamic_diagnostic,0.025,validation,13,12.112739618637457,36.90489336071643,84.76006043498181,5,6,0,5,20.83408393626189
frozen,0.00625,train,9,35.93892093891686,52.89614279817123,30.600566741167956,0,5,0,0,
frozen,0.00625,validation,13,25.50419494128471,39.23181644677553,18.76257310266928,0,6,0,0,
frozen,0.0125,train,9,35.66642679986599,52.94084147545243,30.584559467815193,0,5,0,0,
frozen,0.0125,validation,13,25.68984267496999,39.21032728707712,18.76360699278284,0,6,0,0,
frozen,0.025,train,9,35.67661608064786,52.91125258564598,30.5864990670865,0,5,0,0,
frozen,0.025,validation,13,25.71022302518475,39.17748602048937,18.76248374726796,0,6,0,0,
prior_amplitude,0.00625,train,9,58.20208933431153,139.48363280164108,59.26414303674648,5,5,1,5,15.545938660464964
prior_amplitude,0.00625,validation,13,51.549772699093246,134.17660112143562,46.41827430848081,6,6,2,6,8.050068545553158
prior_amplitude,0.0125,train,9,57.90403386267672,138.85996192131518,59.656072866995714,5,5,2,5,15.802075442213972
prior_amplitude,0.0125,validation,13,51.50781650868183,133.81219658943442,47.24463622014388,6,6,2,6,7.568397048313894
prior_amplitude,0.025,train,9,58.10632529676309,138.7078872265119,59.7732236848849,5,5,1,5,16.82024644397858
prior_amplitude,0.025,validation,13,51.80572109708715,133.50035493109937,47.529988405747304,6,6,2,6,6.856435826195949
prior_anchored,0.00625,train,9,15.233028282201527,49.093276069510836,63.74898673308409,4,5,0,4,13.531624604486344
prior_anchored,0.00625,validation,13,15.409229822804503,52.10160310365233,76.85874335169238,5,6,0,5,16.603472519231094
prior_anchored,0.0125,train,9,15.762817385586857,51.45592261415228,61.160184972455326,4,5,0,4,13.6127001457404
prior_anchored,0.0125,validation,13,15.468060185570087,52.02113083684985,78.48799989360506,5,6,0,5,16.527695722240075
prior_anchored,0.025,train,9,14.538865271861956,48.82274281102501,68.950760948594,4,5,0,4,14.557184723271826
prior_anchored,0.025,validation,13,15.678203744783524,51.90438420701605,80.36353557972156,6,6,0,6,21.880267634734704
prior_joint_diagnostic,0.00625,train,9,20.062418129029002,58.848781761371285,50.40568915599472,2,5,0,2,23.26116895228706
prior_joint_diagnostic,0.00625,validation,13,19.840053144530508,61.054314531894406,44.03589213649521,3,6,0,3,30.272942937251816
prior_joint_diagnostic,0.0125,train,9,19.15246753486319,58.46339069614007,48.8437359970928,2,5,0,2,23.066358492888057
prior_joint_diagnostic,0.0125,validation,13,20.082965203600658,61.13014075028118,45.58421289374871,3,6,0,3,29.95249995066186
prior_joint_diagnostic,0.025,train,9,18.213697555925116,57.777129051157736,44.61197728368578,2,5,0,2,22.630336586996517
prior_joint_diagnostic,0.025,validation,13,20.82993635350308,61.24652911036241,48.752247980383984,4,6,0,4,36.92527488531813
prior_joint_static,0.00625,train,9,18.849906775259456,53.26452674870795,37.74412972817357,2,5,0,2,6.639682439642186
prior_joint_static,0.00625,validation,13,15.51434530073834,48.513610766217596,28.80911040944977,2,6,0,2,1.9500160512070686
prior_joint_static,0.0125,train,9,18.46511521868505,53.249089964230635,38.27037439501572,2,5,0,2,6.615347321676005
prior_joint_static,0.0125,validation,13,15.142703637705365,48.50698975425682,29.4060918828257,2,6,0,2,2.0014712675718798
prior_joint_static,0.025,train,9,19.19489395516324,53.207284282439474,39.30681165317424,2,5,0,2,6.556288565853716
prior_joint_static,0.025,validation,13,15.58448135235191,48.489022209304295,30.603277020465512,2,6,0,2,2.1042339198171085
static_preserving,0.00625,train,9,14.176125920504429,47.07923765793259,69.46730823272506,3,5,0,3,10.792416985327106
static_preserving,0.00625,validation,13,14.91716998354884,42.78195159706628,62.59817929535942,4,6,0,4,26.3016515675833
static_preserving,0.0125,train,9,14.655693998392747,46.68884251026283,69.72499149843391,4,5,0,4,21.41727251021329
static_preserving,0.0125,validation,13,14.972072305184202,42.81684714521295,62.70888593803383,4,6,0,4,26.126521059123448
static_preserving,0.025,train,9,14.609543861195013,46.60916987795346,72.77429169589335,4,5,0,4,21.09113951903526
static_preserving,0.025,validation,13,14.947742984937609,42.86133090901736,60.43321883941443,4,6,0,4,25.87741568076433
