Temperature,Resistance,frozen,prior_anchored,prior_amplitude,prior_joint_static,prior_joint_diagnostic,static_preserving,dynamic_diagnostic
369.823,17.6701,18.215269944402127,18.21526991814479,18.215378775041227,20.063832371962775,17.565791831968287,18.343320994584747,13.71137709270699
369.804,17.51626,18.21526994481813,18.215269918256542,18.215379675467666,20.063832373741572,17.56579183196922,18.343320995853198,13.71137711714733
369.6375,17.56282,18.21526994867992,18.215269919296865,18.215387891729858,20.063832390196147,17.565791831977897,18.34332100758661,13.71137734207822
369.2775,17.52333,18.215269958518384,18.21526992196911,18.21540782151197,20.063832431691743,17.56579183200085,18.343321037175148,13.711377901144123
368.758,17.54455,18.215269977183382,18.215269927108512,18.215442664360726,20.063832509092297,17.565791832046976,18.343321092362057,13.711378919058987
368.0925,17.48208,18.215270011744007,18.215269936801278,18.215500461712438,20.063832649179137,17.565791832139297,18.34332119223549,13.711380702454738
367.3375,17.5145,18.21527007264671,18.215269954260155,18.215589790310947,20.063832889421498,17.565791832317736,18.343321363494784,13.711383644635806
366.5325,17.56165,18.21527017787351,18.215269985156716,18.21572348897047,20.063833292350303,17.565791832658878,18.343321650691543,13.711388374382407
365.715,17.4544,18.215270354261637,18.21527003824916,18.215916610072597,20.06383394727772,17.565791833293957,18.3433221174455,13.711395731838811
364.8995,17.51628,18.215270645556313,18.215270128142706,18.216191220265618,20.06383499588197,17.565791834459194,18.343322864665872,13.711407003316875
364.1005,17.50215,18.215271115203198,18.215270276688717,18.216573161359975,20.063836635631194,17.56579183654379,18.343324032971445,13.711423877832885
363.3375,17.49448,18.21527184105844,18.21527051179499,18.217084970382274,20.063839096224864,17.56579184010573,18.34332578589039,13.71144815698701
362.613,17.56817,18.21527293122268,18.21527087298501,18.21775601505692,20.063842689417523,17.56579184599178,18.343328345343224,13.71148222098112
361.9245,17.50628,18.21527453284594,18.215271415165528,18.218622506199157,20.063847829335817,17.565791855461196,18.343332006088136,13.711529130980718
361.2825,17.5446,18.2152767833112,18.21527219255827,18.21970081172436,20.0638548724399,17.565791869952818,18.343337021728615,13.711591153825925
360.6515,17.55108,18.215280060355305,18.215273346773696,18.221098271627085,20.063864884065904,17.56579189285889,18.343344150542592,13.711676345625984
360.0375,17.57231,18.215284743623346,18.215275027895835,18.222880374076464,20.06387885864029,17.565791928326515,18.34335410006157,13.711791340303707
359.434,17.53813,18.2152914481927,18.215277479724605,18.225162534054324,20.063898408674916,17.56579198324576,18.343368017595186,13.71194702652377
358.8455,17.64069,18.215300895600915,18.21528099798672,18.228045978615494,20.06392534204999,17.56579206680721,18.343387189144586,13.712154740262637
358.24,17.6065,18.21531495938059,18.215286331995177,18.23189288556155,20.06396453736426,17.565792201180088,18.343415085754437,13.71244743863889
357.628,17.58412,18.21533567261741,18.215294335551917,18.236960171532015,20.064020946704854,17.565792415268298,18.343455229472774,13.712855092725668
357.011,17.65603,18.215366210602703,18.215306359135052,18.243634892363875,20.064102196344894,17.565792756961454,18.3435130438962,13.713423145694541
356.39,17.69788,18.215411284422213,18.215324444831637,18.25242971290823,20.06421933779831,17.56579330324678,18.343596387544764,13.714215291820716
355.7805,17.67017,18.215475993262206,18.21535090111048,18.26371050014453,20.064383635956638,17.565794152206085,18.343713267891907,13.715290190187673
355.1585,17.81459,18.215572663891823,18.215391176633943,18.278762650131277,20.064623416703572,17.56579552551176,18.343883824749177,13.716807765063677
354.5435,17.80634,18.215712779022333,18.215450665118986,18.29824220784663,20.064962909185006,17.565797681192837,18.344125276483915,13.71888618405778
353.932,17.76155,18.215916366315017,18.21553873616563,18.32353715108463,20.065444861697614,17.56580107116601,18.344468004434482,13.721741120697567
353.3345,17.84761,18.2162054452386,18.21566611833259,18.35569036007233,20.066113718383736,17.565806274449088,18.344943584550265,13.725576747657376
352.723,17.99791,18.21663562674924,18.21585921612631,18.39851170037077,20.067086474346056,17.565814646565116,18.345635159292925,13.730976646713764
352.11,17.97434,18.217265553107797,18.216147314686232,18.45455532051352,20.06847822809582,17.565827913842252,18.3466244889329,13.738452510865962
351.496,18.0492,18.21818795986222,18.21657716352734,18.527884816864084,20.070469339554183,17.565848941498096,18.348039686085222,13.748801223457024
350.8945,18.21366,18.219504014734778,18.217201935614977,18.62147967180658,20.073245571186042,17.565881386239244,18.350012653769273,13.762767872798808
350.278,18.23134,18.22147118565979,18.21815338168314,18.74656547153609,20.077300510092527,17.565933853753375,18.35289396939008,13.782510412922262
349.6615,18.30502,18.224352707343535,18.219573568446627,18.91017888011525,20.083103020298548,17.566017070488734,18.35701649896057,13.809841810197831
349.0455,18.47655,18.22856964152007,18.22169143456537,19.123983726831536,20.09139860164587,17.56614892966275,18.362909492543515,13.847644708015247
348.436,18.70701,18.234667025119084,18.224811561419575,19.400203933901278,20.103118192088612,17.56635525996651,18.371233708970365,13.899323102076389
347.828,18.87737,18.243534739362836,18.22943451367877,19.759345053504195,20.119773752713744,17.566679848848846,18.383062294176668,13.970404249294324
347.2145,19.08189,18.256598720562092,18.236373496499763,20.23208176912234,20.143748841518892,17.56719726612733,18.400086902253147,14.069416240873233
346.603,19.23928,18.275628515665943,18.246672263462603,20.847090603344917,20.177870670235716,17.568012936410913,18.42431359133601,14.205763238789586
345.992,19.42435,18.30339667383625,18.26198369584331,21.648566468739514,20.226519745466696,17.569300838079943,18.458850536408992,14.393858578051573
345.3815,19.82222,18.343904434984857,18.28474100468273,22.692538421366965,20.295862130651813,17.571333696380854,18.508072579517577,14.653259693753233
344.784,20.02086,18.401531435786417,18.317719161600234,24.019991715546713,20.39227546158119,17.57445985199289,18.57650403006775,15.002328041846075
344.174,20.42697,18.48707854023484,18.367590067019233,25.780128632441624,20.532149550198096,17.579477524192953,18.675774917615016,15.492358222053195
343.563,20.75882,18.612168924160766,18.441891208082396,28.074951280577665,20.73198157562037,17.587416902210318,18.817591618472928,16.169429926878784
342.953,21.21917,18.794471692734426,18.5522238253202,31.054648745970464,21.016512669532982,17.59993795024339,19.019515154636164,17.101549882247916
342.356,21.71841,19.053717816075984,18.712059527268533,34.83168041226941,21.411925546423145,17.619188506516338,19.300140579187158,18.354108875544817
341.7455,22.35324,19.439148590217933,18.95416571743547,39.82943131648494,21.986343563791035,17.650143560088257,19.707856243182906,20.112582832054688
341.1345,23.23795,20.00217786297476,19.314579181675573,46.308911099582225,22.80596627724472,17.699098122429945,20.28975263391168,22.535024515101938
340.5235,24.08555,20.823881929793064,19.850672666988896,54.68472788262214,23.97424041592069,17.776469422597412,21.11950373332914,25.865766246733227
339.9245,25.232,21.994491873237756,20.628991175276557,65.2418134129822,25.59991638586527,17.895772194734956,22.27482253684981,30.33338909849877
339.3125,26.56409,23.732893558029826,21.80719829376611,79.06577737068082,27.957367496124096,18.08768933028807,23.951735164854163,36.568494436540995
338.699,28.42491,26.274538127991693,23.563949680122505,96.79599974835509,31.321325813105474,18.392126524479018,26.34788009616056,45.110874839808574
338.085,30.92703,29.98219027593646,26.178399240748,119.37583045330439,36.10885358768736,18.874537887618697,29.764827286951785,56.75266308392873
337.484,34.21897,35.24117787834326,29.96253506221379,147.22718510209546,42.73294751516822,19.618201888905787,34.50589192473862,72.13439868776496
336.869,39.02398,43.026162197681444,35.68265504006025,182.83472868584806,52.292141223452205,20.81751570764842,41.375158562264374,93.2389845687686
336.254,46.2132,54.291705028479186,44.1438910186328,226.93728760426256,65.76478166448456,22.71542601894197,51.11195049193558,121.35329975974861
335.639,57.47183,70.50816811161883,56.607618898895495,280.82079804754596,84.63818072726383,25.7153827147515,64.86110749373518,158.33144172246688
