source_file,current_plateau_uA,voltage_plateau_mean_mV,voltage_plateau_vpp_mV,R_effective_ohm
50mv0_converted.csv,41.8558134916695,78.02135940298508,4.506659999999997,1864.0507230498233
100mv0_converted.csv,80.4072522191552,161.02984975124377,6.653399999999976,2002.6781827135
150mv0_converted.csv,119.901264968128,233.58540447761192,5.800000000000011,1948.1479577359194
200mv0_converted.csv,158.272573822904,291.9756537313433,7.720000000000027,1844.7646782950767
250mv0_converted.csv,195.330698810493,316.035092039801,14.14670000000001,1617.9489141459205
300mv0_converted.csv,233.511368826578,230.35575522388058,100.10669999999999,986.4862528169195
350mv0_converted.csv,272.253470222611,188.7588736318408,130.3466,693.3203586991933
400mv0_converted.csv,310.508330520087,187.30328109452734,90.2534,603.2149951687385
450mv0_converted.csv,348.879639374863,185.45645273631843,68.8133,531.5771739177069
500mv0_converted.csv,388.077129296821,186.33970348258708,58.51999999999998,480.1615179441947
550mv0_converted.csv,427.751216315507,186.38554129353233,40.08000000000001,435.7335156144953
600mv0_converted.csv,465.635363504577,187.50062736318404,31.933300000000003,402.6769486577902
650mv0_converted.csv,503.254761006414,186.37605671641793,27.439999999999998,370.3413681446375
700mv0_converted.csv,543.119407430943,186.24278507462682,22.079999999999984,342.9131467711497
750mv0_converted.csv,586.722799213615,191.82315223880596,19.439999999999998,326.9400004497979
800mv0_converted.csv,621.842683241655,192.2836502487562,13.893400000000014,309.21590850982585
850mv0_converted.csv,662.872450701988,192.19794527363183,10.640000000000015,289.947100788534
900mv0_converted.csv,700.576523621344,191.70361840796022,9.733300000000014,273.63694320932524
950mv0_converted.csv,739.403300434895,191.67694726368157,9.706700000000012,259.2319335752801
1000mv0_converted.csv,789.562523581627,192.43290248756216,11.573300000000017,243.7209172677608
1100mv0_converted.csv,873.020235518399,192.29519154228856,14.346699999999998,220.26430054980773
1200mv0_converted.csv,943.291300117163,192.92669950248757,11.120000000000005,204.52504913225087
