parameter,original_estimate,constrained_fit,physical_lower,physical_upper,relaxed_fit,relaxed_outside_physical_bounds
C_pF,0.39,0.23907350610360878,0.0,0.39,15.671852385659136,True
C_th_pJ_per_K,0.047873236,0.03860942241710013,0.021918,0.092624,0.00777049911163552,True
S_e_mW_per_K,0.0036751265,0.003649326538206537,0.003434,0.004085,0.0009459676396536085,True
T0_K,314.4,314.4355461277811,314.25,314.55,318.76089619827405,True
Tc_K,333.49356636598696,333.5705142681672,333.136889,333.838313,337.90430970001603,True
w_K,6.882302959338694,7.144098831322621,6.629055,7.268148,12.123356409556754,True
beta_per_K,0.2991563242902104,0.2947067324120936,0.280917,0.320206,0.20748676090876483,True
gamma,0.956269682,1.9542397280478871,0.2,2.0,1.4517676540168432,False
