evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_relative_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
50,global,12.423712241551272,0.05761829970635964,0.006825222575013362,318.09945393142,335.2560318280946,13.481666471407927,0.3747149146038731,1.6738349250178621,2164.902117863775,2.6619485103363334,2.4665562837946893,73.17466551560774,2.7272308861504504,0.639714515860164,4.755264530962444,0.5294117647058824,0.29411764705882354,2.6441056461852477,1.652711611621001,0.0,65.16371939470066,352,relaxed
51,global,17.22093412875627,0.017471064353289156,0.016221283076995597,316.747036624953,329.39262877141806,7.001419952359079,0.1854511358438421,2.550695637140123,2298.856658891733,2.431055093914856,11.323252890672709,64.28112748165384,2.311608429206595,0.5953067087242089,3.6548836377788043,0.5882352941176471,0.29411764705882354,2.2811044890403402,1.6793199787736834,0.0,65.16371939470066,352,relaxed
52,global,2.3021461150905917,0.005628487560170287,0.014339130767215252,310.1200084957095,336.9301217765264,9.056695699863218,0.43076066461971085,1.6811589990207059,1749.584323172648,3.1250551766561787,48.088417127469754,97.53824473252313,2.745935167229637,0.6430803177082316,2.164540816326531,0.5294117647058824,0.11764705882352941,0.6144944526209049,2.8623910665793675,0.0,65.16371939470066,352,relaxed
53,global,15.56081087194319,0.12650141382429164,0.0045408367827233205,315.70554899328454,334.57193569462044,15.610327999152176,0.38232669828374766,0.5286972236402676,1239.1523462418845,1.4946537709866985,2.6790217825730203,37.28712808946703,2.295351693016405,0.622482484875775,1.8823529411764706,0.47058823529411764,0.0,0.9801915660510733,2.006457323824947,0.0,65.16371939470066,352,relaxed
54,global,11.581700908602185,0.06008933152396181,0.014565293683251521,313.2257076348957,338.7736076756088,11.382514904760049,0.742572470035294,2.75883443428975,2627.203894812826,3.1440421693253207,36.53088137966385,104.91961427451476,1.4307136007816763,0.5118247580237745,3.3979779411764706,0.7058823529411765,0.29411764705882354,2.2108700348627996,2.4305347171072196,0.0,65.16371939470066,352,relaxed
55,global,15.292585055169695,0.008465605941557874,0.013014086258596659,314.4924471324673,328.75749664727175,3.1030698223124276,0.9564341262598889,2.5189314507039864,2316.853017604369,2.607707134340145,6.877068722899838,79.41571499766263,2.6492852896830166,0.5714486860290717,2.654242615008016,0.5882352941176471,0.29411764705882354,2.696583104850469,1.638495100918681,0.0,65.16371939470066,352,relaxed
56,global,10.952203179779179,0.05965144164599089,0.012221292230781444,316.25425227013415,328.39084508053253,12.278289398672518,0.845589697849252,0.43848811406806876,2057.687508914341,3.4683987858197525,17.277908066298924,112.65899421324598,2.6697594143891212,0.5982942267825248,3.708478083596156,0.47058823529411764,0.29411764705882354,2.536040293412723,2.073761587481586,0.0,65.16371939470066,352,relaxed
57,global,0.6706217602252522,0.08277131703047702,0.0012216625600442663,319.6273106929821,340.6112467180888,9.549323225363791,0.5163252667856595,1.7358239085904397,1201.253874867635,1.208604455255656,4.599498093042536,0.9014239693162215,2.168787766400512,0.579841283844801,1.8823529411764706,0.47058823529411764,0.0,0.5882596445849928,1.2877250315949096,0.0,65.16371939470066,352,relaxed
58,global,3.3126387042984575,0.008429004828000311,0.0017763903704679472,314.2275850048127,333.66042729077753,1.596853982873883,0.9055861067058324,2.5788675679269226,1839.9340331959916,2.5674043922803813,2.211481049986952,48.644616898312414,2.1531819138720083,0.7839371185233465,7.848326320393235,0.35294117647058826,0.35294117647058826,0.5444825253927429,1.3393432174735427,0.0,65.16371939470066,352,relaxed
59,global,25.64686880935442,0.053039513153023125,0.008117548331918741,316.0658744219933,337.13788763601576,16.99292425009954,0.17189765760695325,1.5862162253355203,1871.069503736065,2.896746099082164,7.029485077776422,78.18968965133655,2.4221957385975457,0.6378283897349959,2.3529411764705883,0.5882352941176471,0.11764705882352941,1.6834452083485625,1.7826296284130092,0.0,65.16371939470066,352,relaxed
60,global,2.878686116478857,0.044932293750963005,0.006046804370159711,316.9575977617441,336.9262765063944,5.92650927217353,0.6534660518111989,1.9835622929907117,2057.398049653707,3.173860062758899,2.4081450498959907,101.4456105849974,3.7511890996828794,0.6602023071125023,2.6953202469502227,0.47058823529411764,0.29411764705882354,4.669237587240268,1.7361868417829285,0.0,65.16371939470066,352,relaxed
61,global,20.302471982482345,0.18024919135501732,0.0051134692537577915,314.3733008650782,329.408791910463,12.912750536087366,0.23040368397689132,2.5791869837313324,1276.7620364079403,2.4001552750254334,1.272287998507718,69.54163938768039,2.8403398121727403,0.6505733211805286,1.8823529411764706,0.47058823529411764,0.0,0.9316944555817446,2.061903879845784,0.0,65.16371939470066,352,relaxed
62,global,8.899170271157672,0.12956127357363986,0.011629038183524539,318.61326450457284,331.40677579667613,16.92193844610014,0.18468145715653222,1.2599994620770714,1206.9378298460233,0.8404714082367432,6.626098165998094,12.13877478221179,1.5821021322610116,0.5747509393394473,1.8823529411764706,0.47058823529411764,0.0,0.7205002603280469,2.0818361816779367,0.0,65.16371939470066,352,relaxed
