Temperature,Resistance,frozen,prior_anchored,prior_amplitude,static_preserving,dynamic_diagnostic
369.823,17.6701,18.215269944402127,18.21526991814479,18.215378775041227,20.063832371962775,17.565791831968287
369.804,17.51626,18.21526994481813,18.215269918256542,18.215379675467666,20.063832373741572,17.56579183196922
369.6375,17.56282,18.21526994867992,18.215269919296865,18.215387891729858,20.063832390196147,17.565791831977897
369.2775,17.52333,18.215269958518384,18.21526992196911,18.21540782151197,20.063832431691743,17.56579183200085
368.758,17.54455,18.215269977183382,18.215269927108512,18.215442664360726,20.063832509092297,17.565791832046976
368.0925,17.48208,18.215270011744007,18.215269936801278,18.215500461712438,20.063832649179137,17.565791832139297
367.3375,17.5145,18.21527007264671,18.215269954260155,18.215589790310947,20.063832889421498,17.565791832317736
366.5325,17.56165,18.21527017787351,18.215269985156716,18.21572348897047,20.063833292350303,17.565791832658878
365.715,17.4544,18.215270354261637,18.21527003824916,18.215916610072597,20.06383394727772,17.565791833293957
364.8995,17.51628,18.215270645556313,18.215270128142706,18.216191220265618,20.06383499588197,17.565791834459194
364.1005,17.50215,18.215271115203198,18.215270276688717,18.216573161359975,20.063836635631194,17.56579183654379
363.3375,17.49448,18.21527184105844,18.21527051179499,18.217084970382274,20.063839096224864,17.56579184010573
362.613,17.56817,18.21527293122268,18.21527087298501,18.21775601505692,20.063842689417523,17.56579184599178
361.9245,17.50628,18.21527453284594,18.215271415165528,18.218622506199157,20.063847829335817,17.565791855461196
361.2825,17.5446,18.2152767833112,18.21527219255827,18.21970081172436,20.0638548724399,17.565791869952818
360.6515,17.55108,18.215280060355305,18.215273346773696,18.221098271627085,20.063864884065904,17.56579189285889
360.0375,17.57231,18.215284743623346,18.215275027895835,18.222880374076464,20.06387885864029,17.565791928326515
359.434,17.53813,18.2152914481927,18.215277479724605,18.225162534054324,20.063898408674916,17.56579198324576
358.8455,17.64069,18.215300895600915,18.21528099798672,18.228045978615494,20.06392534204999,17.56579206680721
358.24,17.6065,18.21531495938059,18.215286331995177,18.23189288556155,20.06396453736426,17.565792201180088
357.628,17.58412,18.21533567261741,18.215294335551917,18.236960171532015,20.064020946704854,17.565792415268298
357.011,17.65603,18.215366210602703,18.215306359135052,18.243634892363875,20.064102196344894,17.565792756961454
