candidate,C_pF,S_e_mW_per_K,tau_th_ns,T0_K,Tc_K,w_K,beta_per_K,gamma,Rs_315K_ohm,Ea_over_k_K,Rm_ohm,C_th_pJ_per_K,R0_ohm,static_rmse_log10
frozen,0.39,0.0036751265,13.026282496670524,314.4,333.49356636598696,6.882302959338694,0.2991563242902104,0.956269682,2513.3391379829964,2536.9654457644647,18.21526990911648,0.047873236000000007,0.7989227061673403,0.036627605227354594
prior_anchored,6.835494476281913,0.0037127620434272003,11.90870637629186,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.1569637099004186,2513.3391379829964,2536.9654457644647,18.21526990911648,0.0442141930202159,0.7989227061673403,0.0425551369611288
prior_amplitude,15.671852385659136,0.0009459676396536,8.214339249999023,318.76089619827405,337.90430970001603,12.123356409556754,0.2074867609087648,1.4517676540168432,2513.3391379829964,2536.9654457644647,18.21526990911648,0.007770499111635499,0.7989227061673403,0.3202876150082815
static_preserving,6.806105267445345,0.00373766559525938,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.17568133847794906,2447.6992863634123,2575.1260666032454,20.063832211131665,0.0592782848509659,0.6892855928137265,0.0494603901340292
dynamic_diagnostic,4.964372764430598,0.0035191796202696008,11.280811471558987,313.89842164401676,332.18133608254857,7.242700894977054,0.36388521516622685,0.17868830373348446,2300.2214384695144,2485.117835448581,17.56579183190342,0.039699201830813914,0.8619980290553733,0.14329503775530292
