mode,evaluation,elapsed_s,loss,mean,amplitude,robust,frequency,waveform,static_rmse_log10,screened,outside_domain,C_pF,S_e_mW_per_K,tau_th_ns,T0_K,Tc_K,w_K,beta_per_K,gamma,Rs_315K_ohm,Ea_over_k_K,Rm_ohm
static_preserving,1,0.7736828749984852,24.846310052164103,6.823569789723042,4.207863079499966,3.2507434210683,0.0037545187347373435,22.69977970865861,0.036627605227354594,False,False,0.38999999999999996,0.0036751264999999997,13.026282496670518,314.4,333.49356636598696,6.882302959338694,0.2991563242902104,0.9562696819999997,2513.3391379829973,2536.9654457644647,18.21526990911648
static_preserving,2,1.5703348749957513,10015.819616919422,6.187102668747321,1.406596664487142,1.6431102654815488,1.7442210017665503,12.922113428573573,0.0425551369611288,False,True,6.835494476281912,0.0037127620434272003,11.908706376291862,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.1569637099004186,2513.3391379829973,2536.9654457644647,18.21526990911648
static_preserving,3,2.3533133749951958,10222.535085512822,49.647673050584984,1.907867493493168,2.08812752642279,1.8820646620523855,58.40043538851347,0.3202876150082815,False,True,15.671852385659134,0.0009459676396536,8.214339249999021,318.76089619827405,337.90430970001603,12.123356409556754,0.2074867609087648,1.4517676540168434,2513.3391379829973,2536.9654457644647,18.21526990911648
static_preserving,4,3.128461915999651,32.2536127798555,7.09023059754462,4.056627044774971,3.2709897534919725,0.4327475203374482,22.747475245530232,0.07708006200667777,False,False,0.41999632273978715,0.003693353156467758,11.253169817323808,314.0468571583155,332.74760056140684,8.045164286632698,0.2925923043162454,1.1514299566535968,2473.6869598524145,2501.452489120557,21.968274864350466
static_preserving,5,3.909452499996405,19.28352833284952,7.498848361179139,2.080102385075655,2.0508663757944277,1.1134901555578685,16.346766969979466,0.04284245384888435,False,False,5.753024100262823,0.004264274929980713,12.51310300366233,314.3206132459534,333.33507924212586,6.417544029691802,0.3081600328698702,0.1850510060284828,2520.3162502647046,2575.1260666032454,18.883884150099178
static_preserving,6,4.685119207999378,10220.684633271687,50.17928035676458,2.327357054954757,2.6629810208259026,0.6559963360589364,60.15233071048422,0.3167533568894753,False,True,18.169607739154138,0.0009473198007280426,7.704285576156263,319.33144486370793,338.2236291421667,11.508565153057043,0.24114746992948377,1.5405089414608677,2505.4954571845783,2538.3399936505984,22.062940371433136
static_preserving,7,5.44814100000076,30.50434738978602,11.885454287854309,3.9895705283162073,3.2055164893360937,0.018166994168724568,27.068765859223387,0.046338304420874596,False,False,0.4099756146051161,0.004362517572528904,10.7780352432859,314.14834467399334,333.9461295557089,6.576868020605987,0.2983617736415809,1.0787943651299525,2416.683607770094,2600.4075717987885,18.996954970843355
static_preserving,8,6.236625833000289,10031.01533438674,6.274471882603282,2.818218436659244,2.7601273100157946,1.4060209617099435,18.19226498345178,0.0895232839939175,False,True,6.405782104771121,0.0037230747653149996,15.438283642204524,314.2202907046759,333.3126291179438,7.34766374599261,0.39451430138601196,0.1778179145754852,2414.309983117293,2558.0331867305204,18.420682137157225
static_preserving,9,7.01781658300024,10245.337089159755,49.969289807997065,2.2662747574477913,2.5012861275373823,0.3579394338152457,59.448369924785446,0.34085253339509763,False,True,15.976980999344125,0.0009641574752216148,6.061184163042913,319.31075988660893,337.61013716193236,12.52374381639002,0.1765042064874457,1.438424418200675,2526.8329730627147,2386.207250067232,13.339879919510096
static_preserving,10,7.766016207999201,31.17517579826367,6.214415908299571,4.189780562516149,3.148764555305375,0.006097279307537539,21.935570790807162,0.07599179646290985,False,False,0.317168870043528,0.0036896389926898104,14.56650181279073,314.4157169073058,333.9163450827539,6.5181636426748435,0.26420394489259047,1.009855867741892,2328.536202330351,2469.4578852570003,20.51812985982022
static_preserving,11,8.563599082997825,47.134174543180265,6.236477901082996,1.3094108927050425,1.7237487253378083,4.784333372348867,14.280625990710366,0.14329503775530292,False,False,5.351620289305992,0.0035191796202696008,11.280811471558987,313.89842164401676,332.18133608254857,7.242700894977054,0.36388521516622685,0.17868830373348446,2300.2214384695144,2485.117835448581,17.56579183190342
static_preserving,12,9.346895415998006,10209.392561815259,56.41568467231164,1.946597159634746,2.207484360067395,0.16427157200878933,64.54509629728767,0.30088148156497146,False,True,15.36058440707108,0.0008200561878019613,7.566124636751543,318.53892125800127,337.5936713925707,12.685719315189692,0.20923828396102362,1.1009729750804076,2419.6091909612037,2644.228162625758,18.021890074903087
static_preserving,13,10.132348040999204,175.1054832087504,16.017916844070605,4.437186532357123,3.738571374951865,0.0028228903037405546,33.06945926124571,0.2979471680805012,False,False,0.7662179377622373,0.0022650824194293657,9.150448340574973,313.46660768017784,334.4174090732634,4.537677524686677,0.23975715471414177,0.439412831575217,1499.2128182359424,3056.684093908021,6.631849842167563
static_preserving,14,11.13924599999882,154.49189485816407,36.18009539950614,4.419545671499437,3.9762856616770517,0.0014778182685876798,53.4157569848158,0.2513415727070289,False,False,0.10863921049424607,0.0012833271068336386,2.263664110765504,316.266916445349,334.2358383925155,4.586223351683077,0.13551666150949207,0.8917787401100266,2174.63205997008,3218.3606826819832,7.80209220591391
static_preserving,15,11.899245332999271,10255.333587780015,64.5483702274427,4.301225220062911,4.125660049626043,0.0013081527256566601,81.57836001362033,0.32954061563636794,False,True,3.8039298205755574,0.0005278800108907579,38.842119972594325,314.5137199850931,334.77208942989,10.821841188370607,1.196052198447202,0.2113407937398172,1337.18037788492,2930.576490284138,44.53313204913239
static_preserving,16,12.530100874995696,175.2435687337338,105.39798294569921,2.4988551648316193,1.9484093886855325,3.107358315005805,116.3966369863825,0.1917793845596929,False,False,0.92970554711975,0.010109292247335382,85.92715465652978,311.5825576707403,332.6653333109937,10.415313135544462,0.22524597850046382,0.20697996995630136,1702.1568273011414,3205.4152065858743,26.397069042253317
static_preserving,17,13.238868166001339,195.38845240021732,35.4483367515505,4.373099229431754,3.8590384124039465,0.0035230965227236433,52.42843440051107,0.2989147223704721,False,False,0.07069416431730148,0.0009815854887302636,30.36590609471035,313.60891141904233,338.4044836983678,9.379453030887994,0.6112367929829867,0.17377296836850256,2056.09543797235,2308.561964728486,39.39865919290403
static_preserving,18,13.868391957999847,249.43608763964707,131.22138297134262,2.9682086699091523,2.1210888881817183,0.7161698574684726,142.60518279798603,0.25839759195092776,False,False,0.05984618083825797,0.011364922710555886,59.97846159558894,314.9856170825259,339.13762727461426,6.5971391507485695,0.9197451704420908,0.9151845629677616,1617.9092782649748,2244.2929119126984,13.794796746802534
static_preserving,19,14.630433416001324,10121.06718656152,4.359990345986599,6.284034812345983,6.364052543833446,4.732196346905452,31.94224550031072,0.2360150168172685,False,True,35.182699870892066,0.004275765006796302,5.838705167381336,317.82028607742666,332.95909590592623,7.448458074051665,0.7797451493555518,2.9930283671011684,2412.6743827328805,2396.6693174996763,16.99104872251408
static_preserving,20,15.395586540995282,10290.223520981406,122.96088267280794,10.144207627759346,10.090062308077073,2.8108159026428066,164.88897581548446,0.27988228012630745,False,True,10.329897036403967,0.01252727439313238,10.899320255506003,308.5200231020963,327.36031963508015,2.1074521005748825,0.20920650018103837,0.5373202114834137,2477.6024238970613,2425.723473598185,14.758549280471344
static_preserving,21,16.041544624997186,91.44307132220182,13.51317628327557,3.0338932715623326,2.4922861007681623,0.10473711680390212,25.15951075713268,0.2035367911537573,False,False,0.9048701823536582,0.00533018890423419,41.28289271387417,313.99989194776595,334.01169151093194,9.436519658650298,0.38077644057598015,0.5589496983602954,1573.4221078025137,2780.9730600668177,28.767226135379453
static_preserving,22,16.697071082999173,147.02069182060848,11.171947039954404,3.49750027802431,2.9473021986369634,0.017853051239342554,24.620676598283964,0.27658635091767064,False,False,0.16601868819413904,0.0033420170517969422,56.88494025037053,309.7519737319763,327.5261133059012,3.97847950615824,0.22148001959717442,2.1547014058557745,4182.45063124154,3240.852624940795,29.436444020208985
static_preserving,23,17.74929533300019,249.77367126445068,56.25470597574081,4.5638859480233585,4.236074250164576,0.00016186141350410443,74.18251900068222,0.33127702933474773,False,False,1.8220722888876597,0.0007533895662460853,4.9744592149041935,313.45890586984694,328.3211126189631,9.462330275670013,0.15063045642054534,0.5106350336513104,3907.5416332446266,2846.42543328945,52.8468632906908
