window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,candidate,dt_ns,source_mV,split
0,50.0,100.0,153.09615484451538,1.4178603736768025,1.186950504367843,0.12499986574482794,0.013023231628380372,frozen,0.0125,800.0,train
1,100.0,150.0,152.98160091490954,1.1610088087909958,0.8386163675629064,0.08196475665672881,0.008231168122918575,frozen,0.0125,800.0,train
2,150.0,200.0,153.0345048617596,1.1657333489982022,0.9990237453690156,0.17586202153248753,0.03432310309724085,frozen,0.0125,800.0,train
3,200.0,250.0,152.98863405482655,1.0575213099665746,0.948500382265081,0.11625053688824437,0.014949841003533693,frozen,0.0125,800.0,train
0,50.0,100.0,145.1772944120448,1.3034045684444777,1.2176783475409252,0.15555329457138356,0.0167543685563859,frozen,0.0125,850.0,validation
1,100.0,150.0,145.1483176874467,1.4239884071530753,1.2197450852598877,0.1962080891981712,0.027425965969529287,frozen,0.0125,850.0,validation
2,150.0,200.0,145.19316722704957,1.158371885897651,1.0064149116589078,0.10985567642218023,0.010821246803717988,frozen,0.0125,850.0,validation
3,200.0,250.0,145.20237997074565,1.0541594830449128,1.0129326760863648,0.06193225401813019,0.00400096136166439,frozen,0.0125,850.0,validation
0,50.0,100.0,138.4635840484513,1.2812329790222634,1.024772606047236,0.6811666174240275,0.023095662681033025,frozen,0.0125,900.0,train
1,100.0,150.0,138.52742425028998,1.0834768831021222,0.9820984073312218,0.3594144622125915,0.011762017169310801,frozen,0.0125,900.0,train
2,150.0,200.0,138.55297911489524,1.1063005499598546,1.0028720459778526,0.3099004420792271,0.009683405325029648,frozen,0.0125,900.0,train
3,200.0,250.0,138.56621495755448,1.1505581939221088,1.0943578868821362,0.08973730582367302,0.001838169966989489,frozen,0.0125,900.0,train
0,50.0,100.0,132.04920920437638,1.4263540871786802,1.2223407836206093,0.10317619401691863,0.011446311048361468,frozen,0.0125,950.0,validation
1,100.0,150.0,131.8776052852869,1.2136675727813326,1.0020463837060447,0.06809727536888585,0.004132664897132932,frozen,0.0125,950.0,validation
2,150.0,200.0,131.87043910393965,1.1904877947039836,1.0725737720542554,0.043202174676499255,0.0015949926711149587,frozen,0.0125,950.0,validation
3,200.0,250.0,131.89669631406744,1.185528734634687,1.0782417081214533,0.06252726946261059,0.0034169351577794105,frozen,0.0125,950.0,validation
0,50.0,100.0,127.25151019956182,1.6049582612274094,1.5164799764240229,0.23703547490109744,0.016211183227135884,frozen,0.0125,1000.0,validation
1,100.0,150.0,127.16289213123555,1.6624533446042165,1.5241782215012165,0.21001654944760415,0.009355821263199338,frozen,0.0125,1000.0,validation
2,150.0,200.0,127.17027105107772,1.5654568360298668,1.304925520066078,0.2463329919911789,0.014316322216801791,frozen,0.0125,1000.0,validation
3,200.0,250.0,127.15475089250768,1.46056515953957,1.266098417061329,0.0766911350746869,0.001659612999986515,frozen,0.0125,1000.0,validation
0,50.0,100.0,116.94974311323236,1.9836823307093283,1.7752542354454164,0.669779564294594,0.0142159773524827,frozen,0.0125,1100.0,validation
1,100.0,150.0,116.87473929753546,2.1059064496759987,1.785478760792813,0.1903499261335267,0.005250435938253029,frozen,0.0125,1100.0,validation
2,150.0,200.0,116.90364963700542,1.9240104059370111,1.623783512785863,0.313532337596559,0.007942532130824964,frozen,0.0125,1100.0,validation
3,200.0,250.0,116.89868770500698,1.8043186948954286,1.7167619512781158,0.5453189545013897,0.010034758029040858,frozen,0.0125,1100.0,validation
0,50.0,100.0,108.8285262436051,1.3928397997177342,1.1043621960108396,0.2352440951435882,0.04438078559245473,frozen,0.0125,1200.0,train
1,100.0,150.0,108.81265788604463,1.1621022216365873,0.9871987771464887,0.08340320069692174,0.00646401804838026,frozen,0.0125,1200.0,train
2,150.0,200.0,108.80216404186066,1.060265712030457,0.9339524304265865,0.16275582409886563,0.023523178620201257,frozen,0.0125,1200.0,train
3,200.0,250.0,108.79088049665383,1.1509498016779958,1.0519351137943005,0.06559242278682759,0.0032571846646565206,frozen,0.0125,1200.0,train
0,50.0,100.0,95.40881523168315,3.1448722217354685,2.7019164329546896,0.5363257284102915,0.036525272087807426,frozen,0.00625,50.0,validation
1,100.0,150.0,95.68690929058103,2.69325131580041,2.2068076685228277,0.8916775207611135,0.10891753108863489,frozen,0.00625,50.0,validation
2,150.0,200.0,95.50436106539777,2.774888644125056,2.4847319309042746,0.23229131751250714,0.009548376441860795,frozen,0.00625,50.0,validation
3,200.0,250.0,95.9246739492951,2.5571704717755637,2.325556247909205,0.21696105989965772,0.00979582114290023,frozen,0.00625,50.0,validation
0,50.0,100.0,178.30184931128372,2.5845638446849364,2.2453464833759824,0.2584112936940054,0.018706812086646263,frozen,0.00625,100.0,train
1,100.0,150.0,178.34194481689897,2.8282472945072357,2.5011660934492568,0.24090394140685295,0.01054443623499468,frozen,0.00625,100.0,train
2,150.0,200.0,178.409678893584,2.671307985319828,2.3878115421193797,0.23362673553779242,0.009512869251408596,frozen,0.00625,100.0,train
3,200.0,250.0,178.49399888091813,3.0317949589903606,2.5076175023823453,0.2649756956903359,0.01312953929567906,frozen,0.00625,100.0,train
0,50.0,100.0,243.27539163865532,3.3398537794418814,2.61124171601179,0.3499208936414807,0.040385927395501287,frozen,0.00625,150.0,validation
1,100.0,150.0,242.96516022517338,2.340870703560199,1.7895353788275372,0.3170528720123763,0.03229633097056217,frozen,0.00625,150.0,validation
2,150.0,200.0,243.05818872554337,1.9385731615956558,1.628296783474326,0.483398452919914,0.08488658371410873,frozen,0.00625,150.0,validation
3,200.0,250.0,243.18200587369483,1.5310964475655453,1.3555796365793924,0.13076466881224932,0.010584167008578782,frozen,0.00625,150.0,validation
0,50.0,100.0,291.08465526209596,4.321992125525469,2.7765760351576887,1.4819130617126104,0.38526153273779207,frozen,0.00625,200.0,validation
1,100.0,150.0,290.5493298902815,1.675497773170207,1.4760532390151866,0.03407286817021676,0.00046246637182456585,frozen,0.00625,200.0,validation
2,150.0,200.0,290.73068577133483,2.1198978754486006,1.9408765428199786,0.4527680459008371,0.03935819018539499,frozen,0.00625,200.0,validation
3,200.0,250.0,290.96967476794003,2.127992018123905,1.9567397921999827,0.5870204685528803,0.06186734051433018,frozen,0.00625,200.0,validation
0,50.0,100.0,320.1457812688274,7.803979291860401,5.858904364987495,1.1398376749766728,0.10197915095362464,frozen,0.00625,250.0,train
1,100.0,150.0,319.21779235915795,2.9104076429882184,2.5665919860294935,0.02608837985858946,0.00012573713087182803,frozen,0.00625,250.0,train
2,150.0,200.0,319.2317385257588,2.469920873660328,1.9740621263890716,0.2749519652943939,0.023716119522261825,frozen,0.00625,250.0,train
3,200.0,250.0,319.3673586275413,2.4799893414529492,2.370937996258135,0.07098890392716958,0.001063393098791443,frozen,0.00625,250.0,train
0,50.0,100.0,315.6656413157982,4.030525531786907,2.8943296965439913,0.9682355583872987,0.21858169623861556,frozen,0.00625,300.0,train
