C_pF,C_th_pJ_per_K,S_e_mW_per_K,name,gamma,replay_step_ns,source_file,source_setting_mV,current_uA,temperature_min_K,temperature_max_K,temperature_mean_K,measured_resistance_mean_ohm,replayed_resistance_mean_ohm,resistance_rmse_ohm,resistance_log_rmse,fraction_above_major_heating_branch,late_invalid_resistance_fraction,outside_temperature_calibration_fraction,smoothing_window
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,450mv0_converted.csv,450.0,341.9425303334189,330.9556667305036,332.37389596561184,331.67884082220985,543.6778432052596,1519.4991503422802,978.060089250696,1.0403864636267914,0.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,500mv0_converted.csv,500.0,381.06588239966646,333.09835001183694,334.19503014739917,333.64354260007156,488.4121672435573,1221.3062780399134,734.3328053649279,0.9245526952279994,0.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,50mv0_converted.csv,50.0,37.79944238139679,315.3055792381678,315.32918477568643,315.3183996148947,2317.5257234282963,2511.190864789604,196.4725313639721,0.08162204323322417,0.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,550mv0_converted.csv,550.0,419.61731636118117,335.12823657175306,336.10555798489384,335.6360442389862,441.17624883923725,837.8587531665764,398.15871466887245,0.6473172126850052,0.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,600mv0_converted.csv,600.0,458.3699322834958,337.1880142280125,337.996778131313,337.57682975412627,406.2137219772026,443.6570600755144,44.11348478443891,0.10557690371790801,0.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,650mv0_converted.csv,650.0,495.4173600492479,338.8899808990918,339.48492975185104,339.2005614941049,371.71004807550025,220.64215269183168,151.7055975751694,0.5225269856348682,1.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,700mv0_converted.csv,700.0,533.4180352284689,340.49122578451914,341.0714192541358,340.77844947223645,340.7151551339026,111.76395945029684,229.14024289765757,1.1147274034943813,1.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,750mv0_converted.csv,750.0,570.4337430744487,342.3025635454738,342.7381502798781,342.50253996065237,317.67631504893757,52.59652883699625,265.187307384233,1.7983321891107977,1.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,800mv0_converted.csv,800.0,606.6551780288738,344.13072360822906,344.40080780578137,344.25421461330245,298.2108713285761,29.821423370059176,268.4176724969844,2.302528776003172,1.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,850mv0_converted.csv,850.0,646.2233016263873,345.98184956802277,346.31926629297084,346.1309142231058,279.40774791155536,22.14456909481842,257.272376179288,2.535062643295974,1.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,900mv0_converted.csv,900.0,682.8259268820619,347.2625235118037,347.55919141786575,347.42484665348854,260.6128530389083,19.847987694315393,240.77061729426202,2.5749214746250617,1.0,0.0,0.0,
