source_file,nominal_drive_mV,time_ns,current_corrected_uA,voltage_corrected_mV,current_smoothed_uA,voltage_smoothed_mV,voltage_slew_mV_per_ns,capacitive_current_uA,resistive_current_uA,effective_resistance_ohm,power_mW,case,gamma,replay_step_ns,conditional_temperature_K,replayed_resistance_ohm
1000mv0_converted.csv,1000.0,5.546246e-13,297.92619099628615,248.58663,298.42999497870875,248.78094428571404,-8.854474285715327,-3.4532449714289775,301.88323995013775,824.0965756389966,0.07510279749882606,central,0.956269682,0.25,321.9037455508168,2132.5910644530964
1000mv0_converted.csv,1000.0,1.0,324.24491530472415,238.85333,326.2148477016951,238.97903857142836,-7.956174285717509,-3.1029079714298287,329.3177556731249,725.6791790134596,0.07870004063526394,central,0.956269682,0.25,322.8959623420343,2081.793212890625
1000mv0_converted.csv,1000.0,2.0,361.15465972953115,231.92003,359.8065912243719,232.86859571428548,-5.305502857142855,-2.0691461142857137,361.87573733865764,643.5043073815082,0.08426949477712482,central,0.956269682,0.25,323.9072694169443,2031.4110107421875
1000mv0_converted.csv,1000.0,3.0,391.07439283515714,229.60003,389.6309640594723,228.36803285714265,-5.033137142857129,-1.9629234857142803,391.5938875451866,583.1756830749584,0.0894275257775754,central,0.956269682,0.25,324.9516407780872,1980.6644287109375
1000mv0_converted.csv,1000.0,4.0,412.1505490795721,222.64003,413.28077866887537,222.80232142857122,-5.985154285714287,-2.3342101714285723,415.61498884030397,536.0786482948065,0.09259998433412944,central,0.956269682,0.25,326.0023326617474,1930.614990234375
1000mv0_converted.csv,1000.0,5.0,439.3695653037311,216.16003,440.88560024283714,216.39772428571408,-4.331834285714294,-1.6894153714285747,442.57501561426574,488.95151477398224,0.09577222620464147,central,0.956269682,0.25,327.03916938613315,1881.699462890625
1000mv0_converted.csv,1000.0,6.0,474.53186647338015,213.38663,473.31538642662764,214.13865285714263,-1.3664857142857016,-0.5329294285714237,473.8483158551991,451.91392623326357,0.10146924001585814,central,0.956269682,0.25,328.0888799583822,1831.7774658203125
1000mv0_converted.csv,1000.0,7.0,501.7508032646901,214.77333000000002,500.1757928391281,213.66475285714267,-0.9721714285714143,-0.37914685714285157,500.554939696271,426.8557473167504,0.10695094748162569,central,0.956269682,0.25,329.17337867428574,1778.1156005859375
1000mv0_converted.csv,1000.0,8.0,519.3319935659391,212.00003,520.9160933789879,212.1943099999998,-1.8700728571428584,-0.7293284142857148,521.6454217932736,406.77882165731285,0.11069019034208255,central,0.956269682,0.25,330.27021613994026,1718.6103515625
1000mv0_converted.csv,1000.0,9.0,543.9561768969561,209.68003000000002,544.8549096593177,209.92460714285696,-0.7417142857142807,-0.2892685714285695,545.1441782307463,385.08089332286875,0.11443917745130501,central,0.956269682,0.25,331.36128617597836,1648.7979736328125
1000mv0_converted.csv,1000.0,10.0,573.822928291995,210.16003,573.1420684881372,210.71088142857124,1.1066471428571418,0.4315923857142853,572.7104761024228,367.9186783216586,0.1206763292229182,central,0.956269682,0.25,332.4724462687347,1557.607177734375
1000mv0_converted.csv,1000.0,11.0,596.6466072244181,212.93333,594.5450455178592,212.13790142857124,0.02130428571427956,0.008308671428569028,594.5367368464306,356.81209970943587,0.12612377567679248,central,0.956269682,0.25,333.6188655976221,1427.7745361328125
1000mv0_converted.csv,1000.0,12.0,608.0849375459221,211.06663,610.3453762989394,210.7534899999998,-2.219061428571436,-0.8654339571428601,611.2108102560823,344.81309306636655,0.128814811387197,central,0.956269682,0.25,334.7620351197315,1245.924072265625
1000mv0_converted.csv,1000.0,13.0,628.313863018051,206.90663,628.6043489485068,207.69977857142837,-2.111225714285709,-0.8233780285714265,629.4277269770782,329.9819338575025,0.13073199951985662,central,0.956269682,0.25,335.8669587944656,1015.5610961914062
1000mv0_converted.csv,1000.0,14.0,651.1375419504731,206.45333,650.5474670850123,206.53103857142838,-0.9203699999999913,-0.3589442999999966,650.9064113850122,317.2975944912992,0.134432377156148,central,0.956269682,0.25,336.94693902619906,759.1968994140625
1000mv0_converted.csv,1000.0,15.0,666.9711301308661,206.45333,665.382489028337,205.85903857142839,-1.952774285714284,-0.7615819714285708,666.1440709997655,309.0308050966663,0.13713177800606907,central,0.956269682,0.25,338.0113248382801,518.341796875
1000mv0_converted.csv,1000.0,16.0,673.1139901106101,202.74663,674.6164011812795,202.62548999999981,-3.5573385714285735,-1.3873620428571436,676.0037632241366,299.7401804889318,0.13697559376513455,central,0.956269682,0.25,339.0222584034768,334.78558349609375
1000mv0_converted.csv,1000.0,17.0,685.3996306372501,198.10663,686.2438747343955,198.74436142857124,-2.933315714285712,-1.1439931285714275,687.3878678629669,289.12986498649053,0.13661446285217246,central,0.956269682,0.25,339.95326168593056,214.59510803222656
1000mv0_converted.csv,1000.0,18.0,702.1334313005141,196.72003,701.3618069838489,196.7588585714284,-2.023215714285712,-0.7890541285714276,702.1508611124203,280.22305386011004,0.13815440197742537,central,0.956269682,0.25,340.827563864398,139.36000061035156
1000mv0_converted.csv,1000.0,19.0,711.7712572234251,195.33333000000002,710.0464250962409,194.69792999999981,-3.239999999999995,-1.263599999999998,711.3100250962409,273.7173990675262,0.138490589474486,central,0.956269682,0.25,341.65596598069106,93.29808044433594
1000mv0_converted.csv,1000.0,20.0,711.7712572234251,190.24003000000002,713.7366755650365,190.2788585714284,-4.51621428571427,-1.7613235714285653,715.4979991364651,265.93905056488774,0.13614414258582744,central,0.956269682,0.25,342.40259813919454,66.44973754882812
1000mv0_converted.csv,1000.0,21.0,719.714621601763,185.14663000000002,719.8552994476572,185.66550142857128,-3.427819999999997,-1.3368497999999989,721.1921492476572,257.442488277578,0.1339005020164153,central,0.956269682,0.25,343.04792490205716,50.92948913574219
1000mv0_converted.csv,1000.0,22.0,730.2526600075461,183.30663,730.1074204465818,183.4232185714284,-2.3093257142857198,-0.9006370285714307,731.0080574751532,250.91818988282893,0.13408385070374032,central,0.956269682,0.25,343.62516428496366,41.25885772705078
1000mv0_converted.csv,1000.0,23.0,736.395440554441,181.92003,734.4300630640078,181.04684999999984,-3.05942142857144,-1.1931743571428617,735.6232374211506,246.1135548608954,0.1331822699219013,central,0.956269682,0.25,344.15238821843434,34.916748046875
1000mv0_converted.csv,1000.0,24.0,732.8474929006891,176.82663,734.812863582591,177.30437571428553,-3.417911428571429,-1.3329854571428574,736.1458490397339,240.85495550313894,0.13052188019865268,central,0.956269682,0.25,344.6046166282523,30.874217987060547
1000mv0_converted.csv,1000.0,25.0,737.2427507595771,174.05333000000002,737.2427711851662,174.21102714285698,-1.426657142857124,-0.5563962857142783,737.7991674708805,236.12255858195005,0.12853275079024684,central,0.956269682,0.25,344.9767702868794,28.287290573120117
1000mv0_converted.csv,1000.0,26.0,744.285823222194,174.05333000000002,744.508217044587,174.45106142857128,0.0773428571428525,0.030163714285712472,744.4780533303013,234.3266677213557,0.12987498661374755,central,0.956269682,0.25,345.3153485543956,26.393428802490234
1000mv0_converted.csv,1000.0,27.0,748.6810810810811,175.44003,746.2754163841595,174.36571285714268,-0.8727671428571568,-0.34037918571429115,746.6157955698737,233.54141968568123,0.13018419542494372,central,0.956269682,0.25,345.6453773191245,24.888900756835938
1000mv0_converted.csv,1000.0,28.0,742.5383005341861,172.18663,744.9394307501575,172.70552714285697,-1.7828585714285623,-0.6953148428571393,745.6347455930146,231.622155705072,0.12877524179367164,central,0.956269682,0.25,345.9397413585611,23.78131866455078
1000mv0_converted.csv,1000.0,29.0,746.0333459102011,170.80003,745.6702333907322,170.79999571428556,-0.14894142857143322,-0.05808715714285896,745.728320547875,229.03782920407457,0.1273703939535984,central,0.956269682,0.25,346.1840655028292,23.002477645874023
1000mv0_converted.csv,1000.0,30.0,751.32889568481,171.73333,751.7646416018193,172.4076442857141,1.7234285714285704,0.6721371428571424,751.0925044589621,229.54249078800925,0.12949408933442685,central,0.956269682,0.25,346.41801597597293,22.358684539794922
1000mv0_converted.csv,1000.0,31.0,754.8239410608261,175.44003,752.4318593811607,174.2468528571427,1.3889428571428653,0.5416877142857175,751.8901716668751,231.7450864809851,0.13101449610716975,central,0.956269682,0.25,346.67123673718515,21.758922576904297
1000mv0_converted.csv,1000.0,32.0,747.833770875946,174.50663,749.8536506486538,175.18552999999983,0.4365685714285661,0.17026174285714077,749.6833889057966,233.67935396793646,0.13133368181765798,central,0.956269682,0.25,346.92408540249056,21.246482849121094
1000mv0_converted.csv,1000.0,33.0,749.5812935639531,175.44003,750.0352046388776,175.11998999999983,1.2765585714285663,0.4978578428571409,749.5373467960205,233.63744414947357,0.1312589726755455,central,0.956269682,0.25,347.1606569302386,20.834196090698242
1000mv0_converted.csv,1000.0,34.0,755.7241535436981,176.82663,755.0568971826862,177.73864714285696,2.2601842857142884,0.8814718714285725,754.1754253112576,235.67281719568362,0.1340461198032117,central,0.956269682,0.25,347.4073843271123,20.463743209838867
1000mv0_converted.csv,1000.0,35.0,756.6243660265701,180.98663000000002,755.2490497845378,179.6403585714284,1.3649628571428707,0.5323355142857196,754.716714270252,238.023559270349,0.13557758117135835,central,0.956269682,0.25,347.6791350462655,20.116003036499023
1000mv0_converted.csv,1000.0,36.0,750.428603769089,179.60003,751.726779366749,180.4685728571427,-0.10893000000000086,-0.04248270000000034,751.7692620667491,240.05846203528208,0.1356707258430535,central,0.956269682,0.25,347.9469525504989,19.825885772705078
1000mv0_converted.csv,1000.0,37.0,751.32889568481,180.05333000000002,752.3773820634945,179.4224985714284,0.1417199999999923,0.055270799999997,752.3221112634944,238.4915927435598,0.13498351293342833,central,0.956269682,0.25,348.18890684100745,19.60205078125
1000mv0_converted.csv,1000.0,38.0,758.3718887145781,179.60003,757.2416863593932,180.7520128571427,1.037702857142861,0.40470411428571584,756.8369822451075,238.82555569754751,0.13679980794552873,central,0.956269682,0.25,348.4246550051767,19.41387176513672
1000mv0_converted.csv,1000.0,39.0,758.3718887145781,182.85333,757.1645184809029,181.49790428571413,0.4967400000000026,0.19372860000000103,756.9707898809029,239.76870271872693,0.13738861196888552,central,0.956269682,0.25,348.6670041118586,19.246994018554688
1000mv0_converted.csv,1000.0,40.0,751.32889568481,180.98663000000002,752.4636393294722,181.7454928571427,-0.4750700000000023,-0.18527730000000092,752.6489166294723,241.4744628492114,0.13679054830121792,central,0.956269682,0.25,348.8911990405838,19.113380432128906
1000mv0_converted.csv,1000.0,41.0,751.32889568481,180.98663000000002,752.7541456855186,180.54776428571412,0.13829142857143495,0.05393365714285963,752.7002120283757,239.86676421835222,0.13589834045910623,central,0.956269682,0.25,349.0838068799333,19.012479782104492
1000mv0_converted.csv,1000.0,42.0,759.2191989197131,180.98663000000002,757.7894144380542,182.02207571428556,1.169555714285707,0.4561267285714257,757.3332877094828,240.34606515818467,0.13785137703640427,central,0.956269682,0.25,349.2732128320078,18.924314498901367
1000mv0_converted.csv,1000.0,43.0,759.2191989197131,184.24003000000002,758.1752197878569,182.88687571428554,0.247254285714277,0.09642917142856802,758.0787906164284,241.2504847491801,0.13864266156110264,central,0.956269682,0.25,349.4760629913591,18.840688705444336
1000mv0_converted.csv,1000.0,44.0,752.2291081676831,181.92003,753.1187651596167,182.51658428571412,-0.9912485714285708,-0.3865869428571426,753.5053521024738,242.22334158137812,0.13752722310674784,central,0.956269682,0.25,349.66041940416056,18.77326774597168
1000mv0_converted.csv,1000.0,45.0,751.32889568481,180.98663000000002,752.840375717377,180.9043785714284,-0.2560028571428603,-0.09984111428571553,752.9402168316627,240.26393401147513,0.13621018202736848,central,0.956269682,0.25,349.80667208987745,18.72496223449707
1000mv0_converted.csv,1000.0,46.0,759.2191989197131,181.44003,758.2387774149705,182.0045785714284,1.3649714285714367,0.5323388571428603,757.7064385578277,240.20460868439343,0.13790604103057533,central,0.956269682,0.25,349.94631333227596,18.682771682739258
1000mv0_converted.csv,1000.0,47.0,760.9667216077211,184.24003000000002,759.3145228780784,183.63432142857127,0.7805857142857207,0.30442842857143104,759.0100944495069,241.93923476308592,0.13938030365167098,central,0.956269682,0.25,350.1074778277832,18.63839340209961
1000mv0_converted.csv,1000.0,48.0,753.076418372818,183.76003,754.1294664665708,183.56574999999984,-0.9371557142857228,-0.3654907285714319,754.4949571951422,243.296192041377,0.13849943268874404,central,0.956269682,0.25,350.2623957469882,18.599716186523438
1000mv0_converted.csv,1000.0,49.0,751.32889568481,181.44003,752.9810944144511,181.76000999999982,-1.112405714285714,-0.43383822857142845,753.4149326430226,241.24821811319208,0.13694070569134498,central,0.956269682,0.25,350.3812524834075,18.57246971130371
1000mv0_converted.csv,1000.0,50.0,759.2191989197131,180.98663000000002,758.1661508259589,181.3409385714284,0.14665714285715126,0.057196285714288995,758.1089545402446,239.20168398670702,0.13747618935573228,central,0.956269682,0.25,350.4813085322992,18.551015853881836
1000mv0_converted.csv,1000.0,51.0,760.9667216077211,182.37333,759.3145228780784,182.05332428571413,-0.2041685714285677,-0.07962574285714141,759.3941486209355,239.73495794815392,0.13825022919956095,central,0.956269682,0.25,350.5871667950037,18.529747009277344
1000mv0_converted.csv,1000.0,52.0,753.076418372818,181.44003,754.2020930555823,180.93260142857127,-1.892941428571433,-0.7382471571428589,754.9403402127251,239.6647679174073,0.136593319678059,central,0.956269682,0.25,350.6760141165439,18.512928009033203
1000mv0_converted.csv,1000.0,53.0,751.32889568481,177.76003,752.690588058405,178.26744142857126,-1.8929742857143026,-0.738259971428578,753.4288480298335,236.60819717048108,0.13431183303675426,central,0.956269682,0.25,350.71862135648166,18.50518035888672
1000mv0_converted.csv,1000.0,54.0,758.3718887145781,176.82663,757.7546001548933,177.14665285714267,-0.2042014285714231,-0.079638557142855,757.8342387120362,233.7538261113791,0.13424779880837803,central,0.956269682,0.25,350.7347848170436,18.502281188964844
1000mv0_converted.csv,1000.0,55.0,760.9667216077211,178.21333,759.0240165220322,177.8590385714284,0.16611714285716062,0.06478568571429265,758.9592308363179,234.34597188499924,0.1349877591114583,central,0.956269682,0.25,350.7566526534057,18.498428344726562
