bootstrap_sample,selected_trace_indices,fit_start_ns,fit_stop_ns,ambient_temperature_K,S_e_mW_per_K,C_th_pJ_per_K,tau_th_ns,fit_rmse_K
0.0,"1,2,2",17.0,33.0,314.3236909598247,0.003441976926357412,0.042399810452421006,12.31844703191896,0.6431451943811245
1.0,"0,1,2",14.0,36.0,314.3678180957839,0.003607041697529854,0.028219935873582052,7.823567965102097,1.1704032339552108
2.0,"2,2,2",15.0,34.0,314.4425524310911,0.0036747283006003696,0.05032419429489668,13.694670783326979,0.7625530122989412
3.0,"2,1,1",16.0,35.0,314.3141483982378,0.003819663225359993,0.03573275928046302,9.354950206924409,0.848779475855608
4.0,"2,2,0",16.0,35.0,314.3409758959977,0.003688904685338499,0.048407972893122424,13.122587061010075,0.7948760271401051
5.0,"0,0,1",14.0,33.0,314.53904490592504,0.0036758936759390785,0.03942816113854477,10.726142977590905,0.7782549109535927
6.0,"0,0,0",15.0,35.0,314.39848400333887,0.0034948010454847237,0.03881208474922917,11.105663596894681,0.967134079581086
7.0,"1,2,1",16.0,33.0,314.33059783632706,0.0035369164415580256,0.0579065580604254,16.372045825011725,0.5539397671551324
8.0,"0,2,1",14.0,35.0,314.4531917534624,0.0034826542212860446,0.07665882928285853,22.01161080371356,0.9937214091134372
9.0,"2,1,1",14.0,36.0,314.40326809111997,0.003741666667110321,0.0361435374065137,9.65974273556208,0.8723086089163672
10.0,"1,1,2",13.0,33.0,314.46115271017965,0.003758057295706329,0.04878761706827612,12.982137639044819,0.7620510946799054
11.0,"2,1,2",16.0,37.0,314.36767883471583,0.0034575849341142383,0.0345345015355135,9.988041420119307,0.9060114994504126
12.0,"1,0,0",14.0,35.0,314.31658126978834,0.0034854861449770337,0.06119813555458379,17.557991341545566,0.8925706805428893
13.0,"0,0,1",14.0,36.0,314.3439606516724,0.0034952196187928142,0.050793449875796336,14.532262751872363,1.0631528844083502
14.0,"1,1,1",17.0,34.0,314.44335430074534,0.004002658232761011,0.027037123557806197,6.7547919371462655,0.8990352309683366
15.0,"1,2,0",15.0,34.0,314.46740213980826,0.003542591887856829,0.035451243378782984,10.00714857963219,0.8819580018908232
16.0,"2,0,1",14.0,36.0,314.44144913298754,0.0036148543546513233,0.08261561989148146,22.85448092401783,1.0068223304160409
17.0,"1,2,2",17.0,33.0,314.3318120814939,0.003444817453620638,0.030621233830420588,8.889073003922594,0.7885914719414101
18.0,"0,0,1",17.0,35.0,314.40393980714816,0.0035009416094568123,0.025785190742215996,7.365215881511571,0.9446584264180135
19.0,"0,1,0",14.0,35.0,314.41295310399977,0.0035517129491253797,0.034346396492136916,9.670375107480131,1.0055106603725423
20.0,"0,2,1",16.0,37.0,314.3027185106012,0.003544346714921313,0.04218300082067825,11.901488261036208,0.8573260865365502
21.0,"2,0,2",17.0,33.0,314.31658126978834,0.0034854861449770337,0.05276456247641717,15.138365290149459,0.6131745367738903
22.0,"1,0,1",13.0,37.0,314.25411642974166,0.0036833443552979467,0.01828715436215463,4.96482343168682,1.265057796969984
23.0,"2,1,2",17.0,33.0,314.3770672899562,0.0035410912047088993,0.05800120143198991,16.37947120787531,0.7024232336324414
24.0,"1,1,0",16.0,34.0,314.5349631195812,0.003657819278573737,0.07134069124962843,19.503612895125237,0.7324719934432379
25.0,"1,2,0",17.0,37.0,314.27924580174505,0.0037343137615189386,0.05626439257690341,15.066862660736298,0.8452440087268821
26.0,"2,2,1",14.0,33.0,314.4404011316397,0.003665774334784877,0.03610497667407292,9.849208755560703,0.7009629917592547
