candidate_id,C_pF,tau_th_ns,C_th_pJ_per_K,gamma,mean_feature_score,sustained_currents,worst_feature_score
26,8.0,13.026,0.04836243837768271,0.1569637099004186,20.447116122675677,2,33.0484067865435
69,12.0,13.026,0.04836243837768271,0.5,22.42132346750074,2,38.44670958527813
54,8.0,9.0,0.03341485839084481,0.5,24.726353658343044,2,34.36645760014727
62,12.0,11.90870637629186,0.0442141930202159,0.5,25.545507211432962,2,39.27440248763196
33,8.0,18.0,0.06682971678168961,0.1569637099004186,26.068489073425976,2,46.758905474456455
83,12.0,24.0,0.0891062890422528,0.5,26.155605676034416,0,54.546564381615234
68,8.0,13.026,0.04836243837768271,0.5,26.183211345746354,0,45.22202647020777
67,6.835494476281913,13.026,0.04836243837768271,0.5,26.371549202130584,1,40.2574406220207
60,6.835494476281913,11.90870637629186,0.0442141930202159,0.5,26.499301406471115,1,40.54879299332773
18,6.835494476281913,11.90870637629186,0.0442141930202159,0.1569637099004186,27.163021063125274,2,48.48092784559822
25,6.835494476281913,13.026,0.04836243837768271,0.1569637099004186,27.359721385593485,2,46.65910202577702
34,12.0,18.0,0.06682971678168961,0.1569637099004186,28.495053148695003,2,40.73308315040879
40,8.0,24.0,0.0891062890422528,0.1569637099004186,29.37780918801788,0,45.127917286030396
87,4.0,6.0,0.0222765722605632,0.956269682,30.226245166457577,2,38.43359452522723
102,6.835494476281913,11.90870637629186,0.0442141930202159,0.956269682,30.423378457060455,1,39.27078627787643
32,6.835494476281913,18.0,0.06682971678168961,0.1569637099004186,30.951920828020842,1,41.24876448675196
75,8.0,18.0,0.06682971678168961,0.5,32.957875976402214,0,42.15860443292374
41,12.0,24.0,0.0891062890422528,0.1569637099004186,33.63117915470061,2,56.1780865215135
110,8.0,13.026,0.04836243837768271,0.956269682,33.915125419118944,2,44.64574913777423
53,6.835494476281913,9.0,0.03341485839084481,0.5,34.23920740008766,1,42.1808144700901
103,8.0,11.90870637629186,0.0442141930202159,0.956269682,34.58971981469508,2,46.1040945978383
76,12.0,18.0,0.06682971678168961,0.5,36.87248775244242,1,57.93827156795621
125,12.0,24.0,0.0891062890422528,0.956269682,37.95011577327284,1,56.477324186005575
61,8.0,11.90870637629186,0.0442141930202159,0.5,38.11539809856384,1,45.35942680370236
95,6.835494476281913,9.0,0.03341485839084481,0.956269682,38.635510336103515,2,60.762225742639856
19,8.0,11.90870637629186,0.0442141930202159,0.1569637099004186,41.052480359615686,2,55.70576367588693
118,12.0,18.0,0.06682971678168961,0.956269682,43.03618902507106,2,60.885599079637345
27,12.0,13.026,0.04836243837768271,0.1569637099004186,44.130154290714096,2,63.81099300060458
109,6.835494476281913,13.026,0.04836243837768271,0.956269682,44.705530481418315,1,60.936861776161045
117,8.0,18.0,0.06682971678168961,0.956269682,44.753871753012874,0,53.810279223644194
96,8.0,9.0,0.03341485839084481,0.956269682,45.16358014568647,3,78.161081984815
5,8.0,6.0,0.0222765722605632,0.1569637099004186,45.45118135378541,3,87.16685391688556
4,6.835494476281913,6.0,0.0222765722605632,0.1569637099004186,45.534958610265164,2,88.5628112722681
46,6.835494476281913,6.0,0.0222765722605632,0.5,45.77583127465588,3,86.80569834593199
47,8.0,6.0,0.0222765722605632,0.5,47.060758217332,3,89.20048259449368
88,6.835494476281913,6.0,0.0222765722605632,0.956269682,47.736832066963444,3,89.95980702812629
12,8.0,9.0,0.03341485839084481,0.1569637099004186,47.875686000854635,2,72.16613310335256
13,12.0,9.0,0.03341485839084481,0.1569637099004186,47.87989430895751,3,85.69205872708702
6,12.0,6.0,0.0222765722605632,0.1569637099004186,48.7908660603527,3,90.83366048391962
111,12.0,13.026,0.04836243837768271,0.956269682,49.36703483357683,3,82.43174665555277
89,8.0,6.0,0.0222765722605632,0.956269682,49.418503277375805,3,93.84082676489032
55,12.0,9.0,0.03341485839084481,0.5,50.003987752472945,3,89.41486035439668
48,12.0,6.0,0.0222765722605632,0.5,50.93808854313017,3,94.82368781719971
104,12.0,11.90870637629186,0.0442141930202159,0.956269682,51.15664758684144,3,87.2575054543518
3,4.0,6.0,0.0222765722605632,0.1569637099004186,51.97442558485242,1,71.83782754821584
90,12.0,6.0,0.0222765722605632,0.956269682,52.83370342090867,3,99.6668542940542
97,12.0,9.0,0.03341485839084481,0.956269682,53.56778579793644,3,97.36883030523373
11,6.835494476281913,9.0,0.03341485839084481,0.1569637099004186,57.64397461698395,2,81.88085732149226
20,12.0,11.90870637629186,0.0442141930202159,0.1569637099004186,57.93768774346615,1,84.73636932493281
17,4.0,11.90870637629186,0.0442141930202159,0.1569637099004186,58.44868998913869,0,118.49994347346804
39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186,58.87137592051375,0,70.24390643964512
14,0.0,11.90870637629186,0.0442141930202159,0.1569637099004186,63.68226651496284,0,88.05966102408591
105,0.0,13.026,0.04836243837768271,0.956269682,63.93001637360976,0,88.39314722901545
7,0.0,9.0,0.03341485839084481,0.1569637099004186,64.01247812869013,0,88.48331643535003
112,0.0,18.0,0.06682971678168961,0.956269682,64.02484966362118,0,89.24782864979576
56,0.0,11.90870637629186,0.0442141930202159,0.5,64.02681550440833,0,88.40175651046872
21,0.0,13.026,0.04836243837768271,0.1569637099004186,64.03363091732255,0,88.6143061571726
63,0.0,13.026,0.04836243837768271,0.5,64.05053972240087,0,88.3163599341285
49,0.0,9.0,0.03341485839084481,0.5,64.1203813003454,0,88.69673841249224
70,0.0,18.0,0.06682971678168961,0.5,64.13842588063376,0,89.32708698092266
28,0.0,18.0,0.06682971678168961,0.1569637099004186,64.1925917688744,0,89.51823034680658
8,0.39,9.0,0.03341485839084481,0.1569637099004186,64.2211966325383,0,92.93862340262926
