source_setting_mV,current_uA,legacy_detected,legacy_frequency_MHz,late_frequency_MHz,late_peak_frequency_MHz,late_peak_period_cv,late_mean_mV,late_vpp_mV,late_robust_vpp_mV,late_periodic_vpp_mV,late_coherence,minimum_window_periodic_vpp_mV,amplitude_retention,sustained,amplitude_ratio,frequency_relative_error,frequency_comparable,mean_error_mV,retention_log_error,feature_score,candidate,dt_ns
50.0,37.99008122008859,False,,10.744408084162188,,,95.78721944054408,0.5909587207144824,0.5427023815370262,0.16363922093806094,0.4543006911999028,0.3264427968665452,0.12611393769281387,False,0.1577623202142519,1.0,False,7.31118033163321,-1.9273006863461843,29.65243236755738,reference,0.025
100.0,76.17083384633712,False,,10.965831104211539,,,178.7519016695112,0.4313145726237053,0.3503115783116755,0.154360764298218,0.45915869359178463,0.27288321993087444,0.05862233515541128,False,0.06806528033724032,1.0,False,7.608934342778525,-3.3934514150634962,36.96615001910893,reference,0.025
150.0,114.17150902555795,False,,21.23534224491959,,,243.67758523738885,0.4242512825866527,0.3196748557779472,0.11371207855547223,0.36194360470089915,0.015739877857307138,0.08164472584742496,False,0.07860985977916383,1.0,False,3.4151453066957913,-3.0916719105730173,34.27381390474373,reference,0.025
200.0,152.16154020295048,False,,20.719648727571652,,,291.7737391536759,0.852436008552445,0.7458631152039743,0.31979765576608193,0.8484478621229268,0.04865798610648608,0.043033095435625224,False,0.19355974339647325,1.0,False,-6.318277351274617,-2.619615509238033,31.340290471478742,reference,0.025
250.0,189.60094286792295,False,,16.410887113925043,,,321.1101056021087,0.49325992799640517,0.3927340904710377,0.17769012550898375,0.4545716487006939,0.1950572390207081,0.0088648643670016,False,0.1673558999748745,1.0,False,1.635382166465206,-3.2495982106414707,32.05234968433012,reference,0.025
300.0,228.15229898524512,True,32.25806451612903,33.055043213457,32.25806451612903,0.0,226.00874332348013,247.79703459468845,233.34982585812335,189.41560069592248,0.8149295709723203,148.1931453029418,0.7737011176018413,True,2.5609067807081147,-0.19717766641757994,True,-6.704127636915928,-0.3486258739217718,7.439191553980823,reference,0.025
350.0,266.70376233691485,True,37.03703703703704,36.27882445211431,35.714285714285715,0.14285714285714285,227.26575694272628,349.42094118297405,314.6266927720966,240.74637024139506,0.6719174772356412,189.30418868868713,0.945834205995793,True,3.136230988557582,-0.14830919154168432,True,37.32727542787475,0.09150130788379568,10.910546514046054,reference,0.025
400.0,303.2005083702369,True,43.47826086956522,41.93441583319912,41.666666666666664,0.034020690871988585,219.45793075613352,374.4566307735951,361.3657439827271,273.39344134139924,0.6247656095953997,263.2607009160915,1.0000077075540195,True,4.5680801244739975,-0.0841513915200075,True,31.47285253831177,0.06267645748298668,17.498198540433556,reference,0.025
450.0,341.5718172250129,True,47.61904761904762,46.60976495838287,43.47826086956522,0.08702852691526738,214.13319440511717,381.61842294074523,371.33083409133417,275.0438075242143,0.6184979109422746,257.8784248739573,1.011022555172873,True,6.322321989251996,-0.04734538563082602,True,28.113918830859717,0.06855297192799806,24.982627418155868,reference,0.025
500.0,380.88580812995247,True,64.51612903225806,65.27993324087944,62.5,0.09669038458354651,187.8531757795965,315.11921914679345,277.3496048443684,220.83754543073266,0.7351618230022625,116.31603964117204,0.9286424581608187,True,6.250357305150576,0.2676796360335909,True,1.595750037022242,0.049784778386974295,25.56894378979679,reference,0.025
550.0,419.0559644140832,True,66.66666666666667,66.81819224115495,66.66666666666667,0.04216370213557839,159.598014223607,292.84525053244795,280.2027797151136,244.29002681230986,0.8061135804506352,220.48519298991033,1.0291038215115074,True,8.11711412847954,0.24639996263007835,True,-25.51749799094742,0.10054578543090217,32.657094455125716,reference,0.025
600.0,457.8085803363978,True,76.92307692307692,76.6803466347378,76.92307692307692,0.0,147.55652395099833,260.7280987858267,258.3851844178152,241.4237304547047,0.8472060536682974,238.74828062719865,0.9829940050979629,True,10.046080265078352,0.37541729005695523,True,-38.57245165989275,0.09536212611031128,41.137292880568516,reference,0.025
650.0,494.4853744265939,True,90.9090909090909,87.82534484447092,90.9090909090909,0.042560256551729854,136.88376720661967,219.37241698501353,215.15866177140506,208.0169869060423,0.867307256481415,204.9009504036158,0.9848427389943857,True,11.276659421981407,0.5190231747374219,True,-47.21247173397441,0.09223226621105146,47.59096987043872,reference,0.025
700.0,532.8566832813709,True,100.0,99.78062770393835,100.0,0.0,128.87115878864228,162.04683417765014,159.9717220277849,156.70406298606696,0.9201729641278654,156.7322817960667,0.9709243150594761,True,11.48116913515616,0.6756095394950086,True,-52.84092074601122,0.26121477631115714,51.75097275278348,reference,0.025
750.0,570.0736739678696,True,111.11111111111111,111.79848133504017,111.11111111111111,0.0,121.03980854164256,65.4400024032492,59.30380362709957,60.009333483189536,0.982035124798087,56.972928308213774,0.609767029027517,True,4.268487456425326,0.8314808097337838,True,-60.04375512172372,-0.451235244218622,32.453300609936385,reference,0.025
800.0,606.2950294894458,True,125.0,120.339375600896,,,115.3146309333127,1.265176613487398,0.7222067554325946,0.2959408059013399,0.2349539846117178,0.07424185628427034,0.01250768860736686,False,0.07804856164099215,1.0,False,-65.56695520530117,-4.409495196130254,48.48092784559822,reference,0.025
850.0,645.4819548424252,False,,147.81752715957077,,,109.56421268228453,0.5048480391803167,0.3541775180292319,0.04526681542146635,0.021887499998350823,0.027270395552771116,0.03387367702394687,False,0.06385373610060593,1.0,False,-70.87354672365609,-3.3520103718311174,40.56559791126418,reference,0.025
900.0,682.444649204679,False,,114.80205897217037,,,104.69826907435656,0.5022018558366454,0.36352586710117407,0.03805702374782439,0.012682190293814455,0.020051158881763637,0.18419526956325155,False,0.06554030705318126,1.0,False,-73.18556359891075,-1.851144630571683,36.6710262162722,reference,0.025
950.0,721.2714260182299,False,,31.31999852359498,,,100.0309113521978,0.5224767666162933,0.4061963287104504,0.04930705101751625,0.015921815345682377,0.036587272204061355,0.7653161518887807,False,0.07323339139480972,1.0,False,-76.77225231116849,-0.2188924680855346,35.07340505323504,reference,0.025
1000.0,756.6243660265701,False,,19.803091732205512,,,96.01210642858321,1.409962401407384,1.16068989761078,0.12057152994361323,0.011948865647241402,0.11253996810667033,0.8955857112328985,False,0.1925912850499907,1.0,False,-78.84307208626826,-0.0197769064950303,33.39676961726634,reference,0.025
1100.0,834.7865599618726,False,,12.93076951883517,,,88.79595378720678,1.2284161351449114,0.856481965121759,0.20403987847799468,0.06359552600098273,0.09323046894754335,0.9238620866651603,False,0.10887574875063667,1.0,False,-86.45315245041694,0.29643067520106586,37.78815026078091,reference,0.025
1200.0,906.8051472486442,False,,30.1783159486728,,,83.06377837632243,1.1666120266082913,0.9540603979593811,0.10492341776443614,0.011470694420362415,0.05548029890551846,0.9291222047294346,False,0.12127835025606418,1.0,False,-89.81674934644985,-0.1670078101224188,37.742977568432806,reference,0.025
50.0,37.99008122008859,False,,10.755200237632573,,,95.8036371267332,0.5930821377513666,0.5436709922593224,0.16326493515933896,0.453863716007623,0.3252563803281344,0.12628111653755578,False,0.15804389309864034,1.0,False,7.327598017822325,-1.9259759466859665,29.647469537593786,reference,0.0125
100.0,76.17083384633712,False,,11.12425834347168,,,178.77967713675017,0.4288558865660832,0.34849364907361746,0.15055548073431943,0.44823966873189336,0.2649084869421573,0.05801054256895741,False,0.06771205803206264,1.0,False,7.636709810017493,-3.4039424225667188,37.01077749552312,reference,0.0125
150.0,114.17150902555795,False,,21.485414188543167,,,243.70159646518036,0.4446956861342528,0.3446790163067135,0.10805845775117232,0.3552077588506165,0.011373253718038826,0.08251875753085515,False,0.0847585246413992,1.0,False,3.439156534487296,-3.081023501752764,34.154863432620466,reference,0.0125
200.0,152.16154020295048,False,,20.720376058054832,,,291.7809557403291,0.8206369414352821,0.7278625216428054,0.3068982291285724,0.8269437109012314,0.03518675750523056,0.04224405266328765,False,0.18888838990055568,1.0,False,-6.311060764621402,-2.6381214116590046,31.434807048349718,reference,0.0125
250.0,189.60094286792295,False,,16.240685666128226,,,321.116951283686,0.4940050349621288,0.3873399413134848,0.17828758250605187,0.45326038826338544,0.1846665009673402,0.008350211173279012,False,0.16505728951867946,1.0,False,1.6422278480424666,-3.309407021463956,32.26739203957899,reference,0.0125
300.0,228.15229898524512,True,33.333333333333336,33.35253932263928,33.898305084745765,0.05084745762711865,225.59814959980318,273.2147175044197,223.5040110678952,180.63237500737003,0.7803115459268563,152.93818201321074,0.7219392454944187,True,2.4528535016230824,-0.18995224792203924,True,-7.114721360592881,-0.4178705321284748,6.824743959382396,reference,0.0125
350.0,266.70376233691485,True,40.816326530612244,41.05210075551206,41.666666666666664,0.08333333333333333,250.5304812982048,286.0715733403933,251.98745496257055,163.0761135060327,0.6199021142004393,127.61490562805987,0.5874612328162193,True,2.5118366722744274,-0.036250556367279585,True,60.59199978335326,-0.3847557307307517,8.542236856645754,reference,0.0125
400.0,303.2005083702369,True,41.666666666666664,41.848082152315186,43.47826086956522,0.039837001756988594,220.17718219133405,371.12133731870546,354.06901007383647,267.6767335503868,0.6144325166639086,256.8853930810225,0.9949749856988636,True,4.475840985325346,-0.08603692110069872,True,32.1921039735123,0.0576310678179688,17.08418612345586,reference,0.0125
450.0,341.5718172250129,True,50.0,46.72351747465142,45.45454545454545,0.057563959796522166,217.56250867736634,375.55790220285866,362.57835284797693,272.88845291561165,0.6140479803085781,255.73174693255714,0.9952242952848713,True,6.17330122516489,-0.045020403738810444,True,31.54323310310889,0.05280357754257019,24.466939853761783,reference,0.0125
500.0,380.88580812995247,True,62.5,65.70388704432804,66.66666666666667,0.0971859061499725,194.76721010715897,364.81768819863356,309.91654727882553,241.54219351408395,0.7061786988736096,203.12761076734023,1.1860114311873424,True,6.984286696057226,0.2759124508752919,True,8.509784364584704,0.2944121990291871,28.79824142272269,reference,0.0125
550.0,419.0559644140832,True,66.66666666666667,67.1355742542786,66.66666666666667,0.04632702950132203,159.95795802897885,289.07549394595844,277.2300160764651,256.30458493715116,0.8176272494091765,243.8826228686917,1.014925976303024,True,8.030996989468866,0.25232028037631515,True,-25.157554185575577,0.08667311821131064,32.398165150235876,reference,0.0125
600.0,457.8085803363978,True,76.92307692307692,77.70150019264634,76.92307692307692,0.0,146.99568696576262,259.43640095451775,255.4991253648733,242.84103076308472,0.8371267086819686,242.68488593447063,0.9852245982807591,True,9.933869570951527,0.39373374689355356,True,-39.13328864512846,0.09762873829855648,41.1490764003767,reference,0.0125
650.0,494.4853744265939,True,90.9090909090909,88.69500045673891,90.9090909090909,0.042560256551729854,136.62481948171825,214.87635304572802,211.62585897361012,203.50681874444314,0.8702260924127293,200.97487114046245,0.9727111200628579,True,11.091502042642048,0.5340646987008626,True,-47.47141945887583,0.07983743559947365,47.44069157912092,reference,0.0125
700.0,532.8566832813709,True,100.0,100.57317980795676,100.0,0.0,129.83490111282705,152.52713207602446,149.47510963403803,150.30998456740446,0.9268580589396075,150.02581321752385,0.9334514272677805,True,10.727827352551277,0.6889188150187151,True,-51.87717842182644,0.22185518512009142,49.897902517828626,reference,0.0125
750.0,570.0736739678696,True,111.11111111111111,112.54908233455251,111.11111111111111,0.033707865168539325,121.24031048136699,47.04063871729454,37.24396497829183,36.429876320806244,0.9631761409266972,30.823574809226713,0.37704487057552055,False,2.680694788769622,0.8437771424742446,True,-59.84325318199929,-0.9319480083491821,26.156021237102497,reference,0.0125
800.0,606.2950294894458,True,125.0,13.959380659501008,,,115.32369769414528,0.5974384080245727,0.4675464628152639,0.10493997729859976,0.05405752817643017,0.24733928517567838,0.015679074834618494,False,0.050527537507188,1.0,False,-65.55788844446859,-4.183511729651111,48.77762059143168,reference,0.0125
850.0,645.4819548424252,False,,133.7577419602594,,,109.56838293720399,0.5340468582544702,0.36153042808491875,0.06314557406012541,0.04177099058178724,0.059625124000630976,0.050213305218077306,False,0.06517937297580863,1.0,False,-70.86937646873663,-2.9583685598602094,39.24191152397822,reference,0.0125
900.0,682.444649204679,False,,173.05924429052155,,,104.69834165973153,0.511052788468561,0.37410743472590013,0.06865221831203151,0.04070348989097894,0.020571122090440857,0.2836280948314772,False,0.06744806453068569,1.0,False,-73.18549101353578,-1.4194772183394007,35.89240457958487,reference,0.0125
950.0,721.2714260182299,False,,31.715667458875856,,,100.01811264933481,0.5132231746846685,0.4211804938146173,0.04949513836108432,0.016359616721417503,0.03914031924760628,0.7812438275817926,False,0.07593489593888482,1.0,False,-76.78505101403148,-0.19829418665811707,35.00956866881577,reference,0.0125
1000.0,756.6243660265701,False,,20.483975522407196,,,96.01305056802381,1.4043294413423695,1.2014141351836969,0.12652995977587556,0.012560950795384329,0.1016483048419032,1.018518246386872,False,0.1993485879807682,1.0,False,-78.84212794682766,0.10884931378135715,33.28987945504926,reference,0.0125
