window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate_id,C_pF,tau_th_ns,C_th_pJ_per_K,gamma
0,50.0,100.0,318.71611894253215,3.0928212298490507,2.644613312688989,0.36591136666369445,0.020441749186485114,300.0,228.15229898524512,0,0.0,6.0,0.0222765722605632,0.1569637099004186
1,100.0,150.0,318.33639862353425,2.6852441410151187,2.2037661050219413,0.06766306683768653,0.0007192911401716628,300.0,228.15229898524512,0,0.0,6.0,0.0222765722605632,0.1569637099004186
2,150.0,200.0,318.22265371407246,2.784926029707947,2.5603118370127618,0.27083263993683176,0.00931674354487999,300.0,228.15229898524512,0,0.0,6.0,0.0222765722605632,0.1569637099004186
3,200.0,250.0,318.07114352141895,3.115584379753841,2.563526619914626,0.2568844724689697,0.009438545821930933,300.0,228.15229898524512,0,0.0,6.0,0.0222765722605632,0.1569637099004186
0,50.0,100.0,226.75988234660284,2.1630701705307445,1.7036402048448167,0.9624039504570687,0.11604952140482072,500.0,380.88580812995247,0,0.0,6.0,0.0222765722605632,0.1569637099004186
1,100.0,150.0,226.21696192823353,1.3872067358669824,1.0711593489510847,0.5157772318883018,0.00910333832786514,500.0,380.88580812995247,0,0.0,6.0,0.0222765722605632,0.1569637099004186
2,150.0,200.0,225.94769772022974,1.304326169420051,1.1528918431170894,0.21692145562268839,0.002716086623205771,500.0,380.88580812995247,0,0.0,6.0,0.0222765722605632,0.1569637099004186
3,200.0,250.0,225.73716119026344,1.0651688356247178,0.9786489939943124,0.36726143706122777,0.005322214809190928,500.0,380.88580812995247,0,0.0,6.0,0.0222765722605632,0.1569637099004186
0,50.0,100.0,153.58373019988585,0.8811658761570698,0.8182381137186496,0.09761160521919784,0.015295984108252725,800.0,606.2950294894458,0,0.0,6.0,0.0222765722605632,0.1569637099004186
1,100.0,150.0,153.4070602222738,0.863872975855486,0.6750705047230099,0.12942127956192362,0.03528650010218426,800.0,606.2950294894458,0,0.0,6.0,0.0222765722605632,0.1569637099004186
2,150.0,200.0,153.31479223068067,0.8939190937105082,0.7641424165162505,0.13259826642546127,0.031514626878908936,800.0,606.2950294894458,0,0.0,6.0,0.0222765722605632,0.1569637099004186
3,200.0,250.0,153.40559524193716,0.9456728808030164,0.8413800480293219,0.12545860529975475,0.027072784246028436,800.0,606.2950294894458,0,0.0,6.0,0.0222765722605632,0.1569637099004186
0,50.0,100.0,318.69159624831997,2.8104182074162622,2.1667432087319867,0.32084329866606837,0.026563427887329016,300.0,228.15229898524512,1,0.39,6.0,0.0222765722605632,0.1569637099004186
1,100.0,150.0,318.36728709794346,2.160609882492622,1.9550211281232919,0.07627445169274986,0.001698559098127883,300.0,228.15229898524512,1,0.39,6.0,0.0222765722605632,0.1569637099004186
2,150.0,200.0,318.20526740051787,2.4943663594277723,2.3081043352264032,0.24581428008670253,0.01255039818607484,300.0,228.15229898524512,1,0.39,6.0,0.0222765722605632,0.1569637099004186
3,200.0,250.0,318.09888596724784,2.472426772427241,2.226775744035592,0.23161738967589837,0.012494394835337763,300.0,228.15229898524512,1,0.39,6.0,0.0222765722605632,0.1569637099004186
0,50.0,100.0,226.83283422195407,2.582193152156833,2.255860331424884,1.0634364592878143,0.0611367415746239,500.0,380.88580812995247,1,0.39,6.0,0.0222765722605632,0.1569637099004186
1,100.0,150.0,226.29819829977828,1.7322444964777333,1.4695112689950633,0.7360701148067423,0.007961438472351534,500.0,380.88580812995247,1,0.39,6.0,0.0222765722605632,0.1569637099004186
2,150.0,200.0,226.05814016326397,1.824393685994039,1.6429477581598064,0.2554894766563997,0.0021313761726400315,500.0,380.88580812995247,1,0.39,6.0,0.0222765722605632,0.1569637099004186
3,200.0,250.0,225.84129534417403,1.5927982545501038,1.439172157404414,0.37870713304395787,0.004742189602559677,500.0,380.88580812995247,1,0.39,6.0,0.0222765722605632,0.1569637099004186
