legacy_detected,legacy_frequency_MHz,late_frequency_MHz,late_peak_frequency_MHz,late_peak_period_cv,late_mean_mV,late_vpp_mV,late_robust_vpp_mV,late_periodic_vpp_mV,late_coherence,minimum_window_periodic_vpp_mV,amplitude_retention,sustained,source_setting_mV,current_uA
False,,16.59288819174028,,,88.47603910891087,4.506659999999982,3.4399999999999977,2.184103007371274,0.6691407284022073,0.7776928352686754,0.8665210934158273,False,50.0,37.99008122008859
False,,21.226003790039126,,,171.14296732673267,6.653399999999976,5.14670000000001,4.090358672546572,0.8901813973975933,0.9150656917441401,1.7451000792986253,False,100.0,76.17083384633712
False,,17.027854461752234,,,240.26243993069306,4.719999999999999,4.066599999999994,2.4065785784750178,0.48714844380656364,2.324111649678154,1.797314945514776,False,150.0,114.17150902555795
False,,14.121006797082291,,,298.0920165049505,4.706700000000012,3.853400000000022,1.687863099515576,0.3631280196148142,0.7070865646397237,0.590863478684687,False,200.0,152.16154020295048
False,,13.909729776249218,,,319.4747234356435,3.213300000000004,2.3466999999999985,1.3934696545783074,0.43757227699848544,0.8715493461067155,0.22853602355318778,False,250.0,189.60094286792295
True,41.666666666666664,41.17354716074733,41.666666666666664,0.019372788525658838,232.71287096039606,94.32,91.11999999999998,91.62934044189902,0.9973613379044338,85.70107620440322,1.0964264844510925,True,300.0,228.15229898524512
True,41.666666666666664,42.59623808525568,43.47826086956522,0.020203050891044214,189.93848151485153,103.75999999999999,100.32,101.37800303546058,0.9992535093816439,99.01077989235284,0.8631305790098773,True,350.0,266.70376233691485
True,45.45454545454545,45.78749745855536,45.45454545454545,0.0,187.98507821782175,82.5333,79.10669999999999,79.67126040317783,0.999171608496318,79.51329549565885,0.9392545502728201,True,400.0,303.2005083702369
True,50.0,48.92619450465454,50.0,0.021383343303319473,186.01927557425745,61.746700000000004,58.733299999999986,59.13906117380684,0.997776131632384,58.781232719878886,0.9440362412932626,True,450.0,341.5718172250129
True,52.63157894736842,51.495607711371065,51.282051282051285,0.02564102564102564,186.25742574257427,46.52000000000001,44.373399999999975,45.29791292626471,0.9988201902291101,45.34319193015342,0.8835421679522869,True,500.0,380.88580812995247
True,52.63157894736842,53.6089491692211,54.054054054054056,0.02702702702702703,185.11551221455443,37.293300000000016,34.51999999999998,35.18410234898925,0.9954051704281021,35.056765659189,0.9306635634943242,True,550.0,419.0559644140832
True,55.55555555555556,55.75060542649025,55.55555555555556,0.03928371006591931,186.12897561089108,28.293299999999988,25.72,26.314903057035917,0.9904797389307746,26.32945985427494,0.8935844941062119,True,600.0,457.8085803363978
True,58.8235294117647,57.816988117809586,58.8235294117647,0.028155054514749176,184.09623894059408,21.226699999999994,19.079999999999984,18.960364167404826,0.9819604662361988,18.871919643331037,0.8980715178338963,True,650.0,494.4853744265939
True,58.8235294117647,59.54885392572425,58.8235294117647,0.025851504590580256,181.7120795346535,17.586600000000004,13.933400000000006,13.73426576294101,0.957064813754709,13.400827320726998,0.747723863660392,True,700.0,532.8566832813709
True,62.5,61.042671449716536,62.5,0.04819277108433734,181.08356366336628,17.14670000000001,13.893399999999986,11.560285297594564,0.8747801353899631,11.629398297798542,0.9574870621121345,True,750.0,570.0736739678696
True,62.5,62.714561113294,62.5,0.282842712474619,180.88158613861387,11.093400000000003,9.253300000000024,6.232899194540934,0.6671750617132046,6.121509014013745,1.0284815188905327,True,800.0,606.2950294894458
False,,63.789460782478756,62.5,0.051948051948051945,180.43775940594062,7.866600000000005,5.5467000000000155,2.9187351327310216,0.38335851225851936,2.7061719780214726,0.9674353448327867,False,850.0,645.4819548424252
False,,12.636292359846257,71.42857142857143,0.2999423243289873,177.8838326732673,6.960000000000008,5.546599999999984,1.8441523911635787,0.1687017236880799,2.5628899687979594,1.1727903149983379,False,900.0,682.444649204679
False,,66.23904210948616,74.07407407407408,0.3796013991310125,176.8031636633663,7.866700000000009,5.546599999999984,2.12122556036776,0.2057113460442389,1.4862732646115808,0.9525870434091936,False,950.0,721.2714260182299
False,,67.18766825547392,62.5,0.11291995079911113,174.85517851485147,7.866600000000005,6.026700000000005,3.479000333324883,0.4856249503723351,3.425418834092218,0.9134739298740897,False,1000.0,756.6243660265701
False,,68.63636974440715,71.42857142857143,0.10393492741038725,175.24910623762372,10.640000000000015,7.866600000000005,5.727896623735151,0.6582521354496025,5.287546713467708,0.6868611275228014,False,1100.0,834.7865599618726
False,,68.81585721818458,66.66666666666667,0.112833866731055,172.88052772277229,10.640000000000015,7.866700000000009,5.987257355671958,0.7618945955799794,5.878409586669303,1.098002703933764,False,1200.0,906.8051472486442
