fit_mode,source_setting_mV,legacy_detected,legacy_frequency_MHz,late_frequency_MHz,late_peak_frequency_MHz,late_peak_period_cv,late_mean_mV,late_vpp_mV,late_robust_vpp_mV,late_periodic_vpp_mV,late_coherence,minimum_window_periodic_vpp_mV,amplitude_retention,sustained
baseline,50.0,False,,19.83727826801011,,,95.71715409809755,2.9312577239928572,2.5889661346690502,0.25049885135219474,0.012054411974735002,0.21046508429923,0.8572532318226491,False
baseline,100.0,False,,46.21749821187364,,,178.4660219923952,3.0550367993427585,2.4762054930198474,0.23432955737716668,0.009871954334010669,0.23377712394122377,1.1194348472186633,False
baseline,150.0,False,,32.67170975172691,,,243.1168974596899,1.8964216092740003,1.5535096525816812,0.28116455240363136,0.039427569743593405,0.1280733806537762,0.5185911835773772,False
baseline,200.0,False,,21.208868760235337,,,290.851285435406,2.413066925238013,1.9225237566084843,0.5322923689659763,0.08572104903122857,0.028252821013487806,0.6924247567794537,False
baseline,250.0,False,,46.0490373933203,,,319.30755829963556,2.5955027159884025,2.1563718024015657,0.17779871064012365,0.00835962907394594,0.027224826127975627,0.40523153058695754,False
baseline,300.0,False,,26.835654433617453,,,314.8394383188933,2.5037066451885153,2.1389723745650144,0.3942186939730319,0.044322565937796043,0.13547893300935493,0.7297128253600136,False
baseline,350.0,False,,41.70549189614044,,,292.1897860803785,2.3131071426160474,1.8908085709797433,0.16349767347460983,0.008852491812292085,0.11215435450050817,0.7832182798664321,False
baseline,400.0,False,,18.810020771579936,,,267.7162423754918,1.8130201066719565,1.4877653959417785,0.19735252776534748,0.01891448100683779,0.1152492759329924,0.7795555155209216,False
baseline,450.0,False,,10.000003498264658,,,245.02094207329466,1.6677793552035212,1.3852428949340094,0.11593150804177323,0.006898683148668927,0.29691224019927154,0.7556995313750499,False
baseline,500.0,False,,12.25114566682247,,,225.04159951402875,1.3095706023929665,1.101478070398855,0.10920870518763118,0.008114949401921812,0.10047880744702747,0.5369222825857828,False
baseline,550.0,False,,18.876553869172408,,,207.82569480423734,1.7505199800905302,1.525434540396617,0.0667641952526162,0.0018900430208268482,0.0294651330088392,0.7978449912295346,False
baseline,600.0,False,,21.174108454097173,,,193.74422098477208,0.8979888793212183,0.7853045887326005,0.06993839102449771,0.006261971862403404,0.0724699963625361,0.4154867939338666,False
baseline,650.0,False,,15.391259022158122,,,181.27803754841432,1.2000644456241787,0.9406051521106349,0.07100059096628675,0.00652398812238697,0.06574445421934419,0.6772898595941993,False
baseline,700.0,False,,10.000004154396372,,,170.36619914007372,1.1656002117959474,1.0427396263971218,0.07243087120016277,0.0029707914547724146,0.11726006658395886,0.6576319281401042,False
baseline,750.0,False,,30.49294587948762,,,161.82986263825035,1.5129916385315596,1.3172206907990187,0.15700819247209963,0.014336660522890399,0.0491646225491269,0.8760248394029241,False
baseline,800.0,False,,27.02117583687449,,,153.0811758145569,1.0988735541680796,0.9593355974751319,0.12890215228346022,0.01905168574825289,0.12359018378914206,0.8427916135529328,False
baseline,850.0,False,,45.246616602240195,,,145.2893115656863,1.1301145738022171,1.0080129727800227,0.0656831034577595,0.004097470707148387,0.06259583494369002,0.8384937618288401,False
baseline,900.0,False,,10.000005215999492,,,138.33486344782222,1.265321750795465,1.1089234687171654,0.14685197161978591,0.009682698637082376,0.18991587828642137,1.0115898044738685,False
baseline,950.0,False,,23.756545564772136,,,131.86154203496707,1.457723716634888,1.1255001855262492,0.13200256881125952,0.013582521330903763,0.06364227862747415,0.9250309964275034,False
baseline,1000.0,False,,19.275386350919696,,,126.96387988629068,1.5535806821382039,1.2794297436479525,0.12102066770326175,0.006454493625167368,0.07632804534531042,0.8264816313780462,False
baseline,1100.0,False,,14.254239786110764,,,117.11054353679674,1.9100256505282402,1.7049828850495174,0.15806769684539554,0.0093816001381829,0.19446552867247693,0.9823703599779186,False
baseline,1200.0,False,,32.22267337663345,,,108.89931009862696,1.1484464153659104,0.9606716623805767,0.11433458124435301,0.011186463214836961,0.06681935571714831,0.9936077798193661,False
constrained,50.0,False,,19.621383560042588,250.0,0.28593361821665014,95.82477744054623,5.546468618119505,4.577704391376258,0.32665181201655386,0.00433189754674268,0.05573482029536809,0.7390137869997545,False
constrained,100.0,False,,10.000003498264658,250.0,0.09061770605753097,179.42128638585896,5.20066921779744,4.690453918789103,0.2432854355351897,0.002276943116808483,0.38903969261177085,0.9880328056811604,False
constrained,150.0,False,,32.78809426443501,250.0,1.1463200193562266,245.5597080297453,6.455932761820009,5.040127999152844,0.2588497934934793,0.0023791845193888994,0.1296212756190655,0.530819906573035,False
constrained,200.0,False,,20.791454066081943,250.0,0.8479435502808013,295.33239166507246,5.73035708529261,5.2099418546346214,0.5546139247329461,0.010656162319736318,0.3117643344995558,0.4330227459481553,False
constrained,250.0,False,,12.930077536782614,45.45454545454545,0.09090909090909091,328.38027981503114,3.732599991106497,3.2197947864858634,0.24227221584326103,0.004206975014317438,0.4083298600408702,0.16898862891542402,False
constrained,300.0,False,,12.137240176166516,,,332.9059658060615,3.607488654110398,2.9781477519860573,0.4891724110837004,0.028271748901548932,0.5858917466905068,0.09572972433814056,False
constrained,350.0,False,,30.047550991136642,,,311.07584960237,3.2065999328879684,2.4976359815037767,0.15782399067159705,0.004144270441815534,0.08020746685503125,0.15215816668285162,False
constrained,400.0,False,,10.000003498264658,,,286.7407272985869,3.75175475754736,2.3078020071362744,0.32927399560323656,0.02696143146669827,0.8571690756095683,0.45733440678356047,False
constrained,450.0,False,,10.000003498264658,,,262.4620465912874,2.2209613624081044,1.9033273850017736,0.16380797702900535,0.004405123533578803,0.31192082396161797,0.7246693277656104,False
constrained,500.0,False,,10.65129985148916,,,241.23825272246188,1.6938526185201965,1.4923044232718041,0.18951990085521062,0.0173823177493605,0.08446119916497494,0.5507328010721914,False
constrained,550.0,False,,18.267474571302813,,,223.45966453831826,1.8647224239105356,1.6571456275906655,0.06281016442923702,0.0014281190507381414,0.052844229669528425,0.7628711256761715,False
constrained,600.0,False,,10.000006946315555,,,207.8542194969268,1.357402845817603,1.137974009750991,0.16091264664064575,0.02638307841265297,0.09684166209400638,0.4680989507715442,False
constrained,650.0,False,,10.000005707397676,,,194.87561283009393,1.2451382919693117,0.9042143923190338,0.14368979715516125,0.011597305213504772,0.19374019892738104,0.5853584359643385,False
constrained,700.0,False,,10.000004839481798,,,183.10661974176656,1.268465770601722,1.0744513193801595,0.08620185013652734,0.004128157066062399,0.09996738115348733,0.5760224410837608,False
constrained,750.0,False,,26.03896635017832,,,173.26804395459357,2.8413546546198347,1.5950782338922522,0.3922787032054884,0.053191254638125574,0.022948044217722695,0.8322648619760145,False
constrained,800.0,False,,10.000006224742423,,,164.1839415319167,1.3538002356430923,1.1138020569255218,0.25214236102538246,0.023128828717652872,0.2863784515977012,0.7901453220406689,False
constrained,850.0,False,,43.34784120589347,,,155.64687377562646,1.4338914107422909,1.2589532180710705,0.08015239793158371,0.004257090253181772,0.0399245572875328,0.9071325116490325,False
constrained,900.0,False,,17.2696145869833,,,148.43696235822375,1.3716458690392415,1.2456752500010282,0.08398492142670132,0.004961932148371151,0.06972066245700051,1.010366683364118,False
constrained,950.0,False,,31.805958993924587,,,141.50248563604978,1.4177568223032324,1.2163224296896544,0.06200580354922032,0.00261182637150148,0.05234675376434464,0.9370703596644996,False
constrained,1000.0,False,,32.65739306853127,,,185.66538692404492,247.06693969097398,110.54564560337639,50.85463885726391,0.26599735954164716,1.107585316570827,50.14747153509684,False
constrained,1100.0,False,,13.953465656546191,,,132.07615690568934,22.832813441589934,15.950044833828159,5.314233746284817,0.25367040498263904,0.9112407061838227,6.98029412682727,False
constrained,1200.0,False,,22.174037911669913,,,116.3348639698549,2.4573516178586488,1.4412700755186734,0.36354925867576465,0.07433053405795986,0.06544249881296792,1.1150877105873205,False
relaxed,50.0,False,,10.744408422058523,,,95.7872194397696,0.5909587207144824,0.542702381537012,0.1636392183582793,0.45430068710164495,0.3264427735787601,0.12611393769281387,False
relaxed,100.0,False,,10.965830678805418,,,178.75190167043831,0.4313145726237053,0.3503115783116755,0.15436076895724535,0.45915870377738843,0.27288324745068904,0.058622335155406824,False
relaxed,150.0,False,,21.23534229587416,,,243.6775852371841,0.4242512825866527,0.3196748557779756,0.11371207893186842,0.361943608946252,0.01573987787058164,0.08164472584741493,False
relaxed,200.0,False,,20.719648751298458,,,291.77373915341525,0.852436008552445,0.7458631152039743,0.31979765525876147,0.8484478628634694,0.04865798599972587,0.043033095435625224,False
relaxed,250.0,False,,16.410887127805537,,,321.1101056012375,0.49325992799640517,0.3927340904710377,0.1776901224684072,0.4545716449299241,0.19505723886136708,0.0088648643670016,False
relaxed,300.0,True,32.25806451612903,33.055043232186065,32.25806451612903,0.0,226.00874342224753,247.79703459468845,233.34982585812338,189.41560055893999,0.8149295703016228,148.19314535295945,0.7737011176018413,True
relaxed,350.0,True,37.03703703703704,36.2788244682385,35.714285714285715,0.14285714285714285,227.26575704325109,349.42094118297405,314.6266927720966,240.74637026957862,0.6719174770231109,189.30418871279315,0.945834205995793,True
relaxed,400.0,True,43.47826086956522,41.93441584861235,41.666666666666664,0.034020690871988585,219.45793092609375,374.4566307735951,361.3657439827271,273.393441679651,0.6247656112828442,263.2607010132119,1.0000077075540195,True
relaxed,450.0,True,47.61904761904762,46.609764955714276,43.47826086956522,0.08702852691526738,214.13319442936313,381.6184229407452,371.33083409133417,275.0438075926687,0.6184979109780836,257.8784248813994,1.011022555172873,True
relaxed,500.0,True,64.51612903225806,65.27993326850087,62.5,0.09669038458354651,187.85317560585344,315.11921914679345,277.3496048443684,220.8375453365562,0.7351618252877714,116.31603933463676,0.9286424581608187,True
relaxed,550.0,True,66.66666666666667,66.81819226091672,66.66666666666667,0.04216370213557839,159.59801408041716,292.84525053244795,280.2027797151136,244.29002653997222,0.8061135818998315,220.48519303771238,1.0291038215115074,True
relaxed,600.0,True,76.92307692307692,76.68034697882258,76.92307692307692,0.0,147.55652173897238,260.7280987858267,258.3851844178152,241.4237307573065,0.847206041327631,238.74828075248112,0.9829940050979629,True
relaxed,650.0,True,90.9090909090909,87.82534484980678,90.9090909090909,0.042560256551729854,136.8837673542067,219.37241698501353,215.15866177140506,208.01698635843306,0.8673072550825741,204.90095040523516,0.9848427389943857,True
relaxed,700.0,True,100.0,99.78062771127155,100.0,0.0,128.87115894167277,162.04683417765014,159.9717220277849,156.704063575639,0.9201729655996511,156.732281793479,0.9709243150594761,True
relaxed,750.0,True,111.11111111111111,111.79848133568649,111.11111111111111,0.0,121.03980855048347,65.4400024032492,59.30380362709958,60.009333447953665,0.9820351245782206,56.97292830820953,0.6097670290275167,True
relaxed,800.0,True,125.0,120.339375960785,,,115.31463093536794,1.265176613487398,0.7222067554325804,0.2959407986472769,0.23495397349236458,0.07424185715502257,0.012507688607366854,False
relaxed,850.0,False,,147.8175329967368,,,109.56421268319302,0.5048480391803167,0.3541775180292177,0.04526681324241493,0.021887497065876782,0.02727037327149801,0.03387367702394835,False
relaxed,900.0,False,,114.80205982044947,,,104.69826907649185,0.5022018558366454,0.36352586710115986,0.038057020482589375,0.012682188380632065,0.020051162350210483,0.18419526956325155,False
relaxed,950.0,False,,31.320000907445014,,,100.0309113558038,0.5224767666162791,0.4061963287104504,0.04930705537979974,0.01592181845555596,0.03658727544390707,0.7653161518887605,False
relaxed,1000.0,False,,19.803088880705964,,,96.01210643482715,1.4099624014074124,1.16068989761078,0.12057153197677102,0.011948866611418252,0.11253998205422182,0.8955857112328875,False
relaxed,1100.0,False,,12.930773981131573,,,88.79595378301251,1.2284161351449114,0.856481965121759,0.20403979197491998,0.0635955154333886,0.09323041687684858,0.9238620866651603,False
relaxed,1200.0,False,,30.178319741909576,,,83.06377837507327,1.1666120266082913,0.9540603979593811,0.10492340690490226,0.011470693405691401,0.055480307216800744,0.9291222047294346,False
