window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,fit_mode,source_setting_mV
0,50.0,100.0,95.4075653268169,3.141109600575305,2.6987204637402726,0.5448734024728373,0.03884927487624901,baseline,50.0
1,100.0,150.0,95.68432198960227,2.661310668531044,2.187921191131025,0.8714536714607214,0.10788649680056406,baseline,50.0
2,150.0,200.0,95.51130408332115,2.752484736121019,2.469668328406314,0.23131162571697717,0.009572738373408218,baseline,50.0
3,200.0,250.0,95.92008946517215,2.531428708208054,2.3134868391845202,0.21046508429923,0.009324081431024256,baseline,50.0
0,50.0,100.0,178.30385500462464,2.56186937788425,2.2255771032042446,0.2524173778916661,0.01794426353104872,baseline,100.0
1,100.0,150.0,178.34758549509695,2.8105639038778634,2.4909483117494915,0.23878237985714118,0.010416787078604828,baseline,100.0
2,150.0,200.0,178.4093567537098,2.6512063174888283,2.3609134575181088,0.23377712394122377,0.009600105983966545,baseline,100.0
3,200.0,250.0,178.49640991046945,3.0181454968776222,2.4913885646182337,0.2691866520292336,0.013647497756813398,baseline,100.0
0,50.0,100.0,243.27976276678154,3.3148645752133064,2.583989185064837,0.352207358793941,0.04201140170824724,baseline,150.0
1,100.0,150.0,242.96507018834552,2.341943460166277,1.7742439847260698,0.3302358734872485,0.03573586116726535,baseline,150.0
2,150.0,200.0,243.05157292149863,1.8943763223826124,1.6006678115537056,0.4819206789526319,0.08653683076875196,baseline,150.0
3,200.0,250.0,243.17382723378762,1.4975986897558755,1.3400340093525074,0.1280733806537762,0.010602063502085035,baseline,150.0
0,50.0,100.0,291.082830186423,4.331081822248166,2.7538442667666345,1.462381678751917,0.3819347751745358,baseline,200.0
1,100.0,150.0,290.5633011965564,1.6595533934799391,1.4590108893088427,0.028252821013487806,0.00022502670339663577,baseline,200.0
2,150.0,200.0,290.71916122015153,2.107202043089387,1.9405442515924847,0.4844342959762739,0.045700844115588946,baseline,200.0
3,200.0,250.0,290.9687580573028,2.0908277356165854,1.9068299463168046,0.6032374862135691,0.06728893782153111,baseline,200.0
0,50.0,100.0,320.1439138552878,7.820191757646455,5.85161021985374,1.1184141318194816,0.09877374269536232,baseline,250.0
1,100.0,150.0,319.2152210047883,2.893777959297722,2.5558318594797242,0.027224826127975627,0.00012548882155971608,baseline,250.0
2,150.0,200.0,319.2386854302647,2.4760601429136386,1.9710043460035536,0.27110416649017094,0.023319979631421628,baseline,250.0
3,200.0,250.0,319.3713932684548,2.46291252055579,2.3712569651948456,0.0703907645184287,0.001041957353154599,baseline,250.0
0,50.0,100.0,315.71248340196956,3.989606941310342,2.7982053043247106,1.034722034295125,0.23683434562218886,baseline,300.0
1,100.0,150.0,315.08456668203877,2.162217994395121,1.9932592158734792,0.13547893300935493,0.0052934212109071455,baseline,300.0
2,150.0,200.0,314.8693748678598,2.4195338982130465,2.0633365595241457,0.34328303382595565,0.03516416309486747,baseline,300.0
3,200.0,250.0,314.8306539756661,2.3676840079943418,2.041886298285874,0.4631771534854826,0.056582773851850066,baseline,300.0
0,50.0,100.0,292.6429222744826,2.7697661210361275,2.3668745592008236,0.25559886642440294,0.014080199134629101,baseline,350.0
1,100.0,150.0,292.37224025721906,1.7738056479117859,1.5496867602817588,0.12124399094533425,0.0068556713671362735,baseline,350.0
