source_setting_mV,current_uA,legacy_detected,legacy_frequency_MHz,late_frequency_MHz,late_peak_frequency_MHz,late_peak_period_cv,late_mean_mV,late_vpp_mV,late_robust_vpp_mV,late_periodic_vpp_mV,late_coherence,minimum_window_periodic_vpp_mV,amplitude_retention,sustained,amplitude_ratio,frequency_relative_error,frequency_comparable,mean_error_mV,retention_log_error,feature_score,candidate_id,C_pF,tau_th_ns,C_th_pJ_per_K,gamma
300.0,228.15229898524512,False,,26.02410070855091,,,318.1419421446218,3.2206630303435304,2.5992914175755004,0.24042163051834584,0.008219443566848561,0.06766306683768653,0.9693389228759289,False,0.0285260252148321,1.0,False,85.42907118422573,-0.12319720361917642,89.45954131986471,0,0.0,6.0,0.0222765722605632,0.1569637099004186
500.0,380.88580812995247,False,,10.00000544307576,,,225.84299970000302,1.3614002467913622,1.1919888610195812,0.1918616868775781,0.031734107704057046,0.21692145562268839,0.5744458199781748,False,0.026862689381917586,1.0,False,39.58557395742875,-0.43053323421039413,70.29866051065922,0,0.0,6.0,0.0222765722605632,0.1569637099004186
800.0,606.2950294894458,False,,30.474017472204242,,,153.36383502175912,1.0307240511521343,0.8455104041287314,0.13234297966064604,0.03151765266358697,0.09761160521919784,1.0282826403395173,False,0.09137393190847905,1.0,False,-27.517751116854754,-0.00019338974839943525,35.57387685499096,0,0.0,6.0,0.0222765722605632,0.1569637099004186
300.0,228.15229898524512,False,,26.56990638533456,,,318.14187507665196,2.519846382137189,2.305150024692807,0.2247022014426201,0.011613988440060563,0.07627445169274986,1.027706345188469,False,0.025297959006725282,1.0,False,85.4290041162559,-0.06472677118995458,91.76620623140683,1,0.39,6.0,0.0222765722605632,0.1569637099004186
500.0,380.88580812995247,False,,10.000006388140129,,,225.95162452997414,1.9337799276806606,1.6646501348347158,0.1965012611538784,0.015032173756468925,0.2554894766563997,0.6379704176354791,False,0.037514595114070966,1.0,False,39.69419878739987,-0.3256471039926461,66.45180845954737,1,0.39,6.0,0.0222765722605632,0.1569637099004186
800.0,606.2950294894458,False,,30.809487589321755,,,153.36445817054957,1.1690700830472736,0.9340651908079565,0.14682813462836056,0.02799547650460288,0.10331246531936575,0.965771066449979,False,0.10094400817091784,1.0,False,-27.5171279680643,-0.06291192506536175,35.18295009694457,1,0.39,6.0,0.0222765722605632,0.1569637099004186
300.0,228.15229898524512,False,,26.451495219259098,,,317.9551765300518,1.2302090005472337,0.7191002490802703,0.2713147678059948,0.1862296095569842,0.046845283847532664,0.2077152085251114,False,0.007891793778317278,1.0,False,85.24230556965574,-1.6636435682446535,109.49821160850584,2,2.0,6.0,0.0222765722605632,0.1569637099004186
500.0,380.88580812995247,False,,187.95207637272853,200.0,0.08927514730369188,167.68117967432892,31.47814543566045,22.952777781048013,17.93088832629257,0.8212462017820001,11.211970671401627,0.13946110573207202,False,0.5172643471324718,2.64986616773581,True,-18.576246068245354,-1.8461532684902606,180.25750990055178,2,2.0,6.0,0.0222765722605632,0.1569637099004186
800.0,606.2950294894458,False,,30.24902528513592,,,116.01719925375032,1.6487754860649915,1.4513356114154021,0.10905910858912891,0.007037267293995009,0.07444770351633882,1.0918864929875065,False,0.15684519159817562,1.0,False,-64.86438688486355,0.05982346681324217,35.34286147990124,2,2.0,6.0,0.0222765722605632,0.1569637099004186
300.0,228.15229898524512,True,54.054054054054056,48.91054761759907,50.0,0.021383343303319473,312.4437704924381,23.89222331448474,17.0534538413645,16.059691949414407,0.917065306417958,12.952917767974983,0.05820990744090532,False,0.18715379544956656,0.18791192380499533,True,79.73089953204203,-2.935755948772905,27.320077370016698,3,4.0,6.0,0.0222765722605632,0.1569637099004186
500.0,380.88580812995247,False,,103.10974055211867,111.11111111111111,0.16643566632465157,191.50289823013327,389.7464760275651,365.13022821662497,237.1831635077257,0.45411034208975076,190.3459561372244,1.0482949918811308,True,8.228583525639802,1.0023016551244694,True,5.245472487558999,0.1709812871553763,56.76537183632473,3,4.0,6.0,0.0222765722605632,0.1569637099004186
800.0,606.2950294894458,False,,195.14216567631954,200.0,0.08512051310345971,115.74034695733233,139.18278006665182,135.3286013172304,29.510748187976397,0.04352340928360254,46.3853977873707,0.9814881372144665,False,14.624901528884836,1.0,False,-65.14123918128153,-0.04676881267856125,71.83782754821584,3,4.0,6.0,0.0222765722605632,0.1569637099004186
300.0,228.15229898524512,False,,30.159803655972514,28.169014084507044,0.1267605633802817,269.6529602959027,345.6355541988542,334.30938044571246,172.6222934165935,0.3658221317172087,113.17922890223139,1.1926319643690977,False,3.668891356954703,-0.26749561949995737,True,36.94008933550663,0.08410635861860628,14.898823092858335,4,6.835494476281913,6.0,0.0222765722605632,0.1569637099004186
500.0,380.88580812995247,True,58.8235294117647,57.605086234723224,58.8235294117647,0.028155054514749176,173.1238339005314,383.3315624335282,377.83302051841804,365.75824560812964,0.8091756146476201,354.944848321302,1.021035375471136,True,8.514853955712617,0.11864076947290947,True,-13.133591842042875,0.14463344651046495,33.14324146566905,4,6.835494476281913,6.0,0.0222765722605632,0.1569637099004186
800.0,606.2950294894458,True,100.0,95.79782926284955,100.0,0.046662449954306226,120.29663637894582,319.37404450650797,312.1966152341846,280.5102969626506,0.7860022384785469,278.7824292520565,1.0038249891879532,True,33.73894883276061,0.5275213214007914,True,-60.58494975966805,-0.024265768438920508,88.5628112722681,4,6.835494476281913,6.0,0.0222765722605632,0.1569637099004186
300.0,228.15229898524512,False,,24.56751180963235,,,251.62786314692372,343.77615771698754,341.05107868751276,287.29057741003817,0.752521376749758,282.89262549153455,0.9960393257667445,True,3.74287838770317,-0.4033180645399018,True,18.914992186527655,-0.09602477945935664,16.931379561396184,5,8.0,6.0,0.0222765722605632,0.1569637099004186
500.0,380.88580812995247,True,50.0,50.05854024286392,50.0,0.0,174.7118562635331,385.39445296532153,371.48099277235104,364.40177157831283,0.8101639057143333,348.3642340061495,0.9751892125072653,True,8.371704507032394,-0.02790660276429391,True,-11.545569479041177,0.09869249735993091,32.25531058307447,5,8.0,6.0,0.0222765722605632,0.1569637099004186
800.0,606.2950294894458,True,76.92307692307692,78.30880424891905,76.92307692307692,0.035531209664813254,129.96540201537545,353.8796617902185,343.47530776437645,314.74671418457274,0.7839144372351888,314.22749120502584,0.9972128984862146,True,37.11922317058515,0.24865426559318515,True,-50.91618412323842,-0.03087445366927107,87.16685391688556,5,8.0,6.0,0.0222765722605632,0.1569637099004186
300.0,228.15229898524512,False,,19.675843664611243,,,220.0728876347988,345.1943081821411,344.26124915864506,299.360439562769,0.7201894006508438,305.73762293498396,0.9761571516724558,True,3.7781085289579144,-0.5221241544287167,True,-12.639983325597257,-0.11618793045680235,19.740279572360983,6,12.0,6.0,0.0222765722605632,0.1569637099004186
500.0,380.88580812995247,True,35.714285714285715,35.78269165915339,35.714285714285715,0.0,168.58684225934255,387.29910074427534,385.09859109622477,369.631793765003,0.7663229890708864,349.06548672033034,1.0005177358750639,True,8.678591027422398,-0.30513118983442944,True,-17.670583483231724,0.1243338619582962,35.79865812477749,6,12.0,6.0,0.0222765722605632,0.1569637099004186
800.0,606.2950294894458,True,52.63157894736842,52.07594210418135,52.63157894736842,0.0,140.72236616369523,393.9339286554945,379.93919980031507,355.4708435870268,0.7741536964909377,349.78968781364745,0.9987699469376812,True,41.059859704139505,-0.16963554906960066,True,-40.15921997491864,-0.029314271154797424,90.83366048391962,6,12.0,6.0,0.0222765722605632,0.1569637099004186
300.0,228.15229898524512,False,,10.000003498264658,,,317.97367388981166,3.436076151124496,2.7281556467152086,0.45791093113310144,0.011601878994585313,0.5901478853907394,0.9447529230865288,False,0.02994025073216867,1.0,False,85.2608029294156,-0.1488880837094479,88.48331643535003,7,0.0,9.0,0.03341485839084481,0.1569637099004186
500.0,380.88580812995247,False,,10.07224664576368,,,225.84762026142894,1.554150693942887,1.384963332134106,0.2037747439623274,0.030213711609572647,0.0923931712313489,0.6035350850895189,False,0.03121156666232713,1.0,False,39.59019451885467,-0.3811348440497744,68.65170486216627,7,0.0,9.0,0.03341485839084481,0.1569637099004186
800.0,606.2950294894458,False,,16.955664839471876,,,153.3621237247892,1.2605731493846406,0.9992712803599204,0.13540128258422318,0.02272110394621485,0.15519545587557015,1.0549175436118183,False,0.10799080115849673,1.0,False,-27.51946241382467,0.025379145203371884,34.902413088554084,7,0.0,9.0,0.03341485839084481,0.1569637099004186
300.0,228.15229898524512,False,,26.59926155450112,,,317.96491670008425,2.4948128339385107,2.1625147978236896,0.29803100726215276,0.023276209444051954,0.10921800237981749,0.961843539217324,False,0.023732603136783256,1.0,False,85.25204573968819,-0.13095972367407657,92.93862340262926,8,0.39,9.0,0.03341485839084481,0.1569637099004186
500.0,380.88580812995247,False,,11.033675488320162,,,225.84766926499316,2.0055957911337146,1.7815071536538767,0.18564993198332702,0.015081368992422406,0.158002814183205,0.7118830227809181,False,0.040148087675361314,1.0,False,39.59024352241889,-0.2160254148526903,65.5576474469027,8,0.39,9.0,0.03341485839084481,0.1569637099004186
800.0,606.2950294894458,False,,16.87938275374616,,,153.36535143091672,1.4558125840372895,1.1813046233943396,0.1377634147927998,0.017214863550852222,0.16238785100325084,1.0142926152300393,False,0.12766306327411156,1.0,False,-27.51623470769715,-0.013892022239531284,34.16731904808292,8,0.39,9.0,0.03341485839084481,0.1569637099004186
300.0,228.15229898524512,False,,26.75158178624507,,,317.977156185482,1.2167402535508813,0.7744697761783073,0.3542321687984732,0.2928431840799135,0.04649473536368219,0.2134756281352387,False,0.008499448816706622,1.0,False,85.26428522508593,-1.63628884774673,108.73699699317571,9,2.0,9.0,0.03341485839084481,0.1569637099004186
500.0,380.88580812995247,False,,139.08396755379852,142.85714285714286,0.05972588991616818,225.6835501712028,32.063687389997995,26.205495773628,23.360723244623472,0.9378630672599917,18.595522375185464,0.2593009017783862,False,0.5905676773388565,1.7008899153759578,True,39.426124428628526,-1.225949848639798,75.83886249098603,9,2.0,9.0,0.03341485839084481,0.1569637099004186
800.0,606.2950294894458,False,,16.506945095883125,,,116.09196048252078,1.2913268712146362,1.0919192147057117,0.09928275461463201,0.007860524824731652,0.06968221459069372,0.8162701035066214,False,0.11800322206193561,1.0,False,-64.7896256560931,-0.23109343054646628,36.69833483760366,9,2.0,9.0,0.03341485839084481,0.1569637099004186
300.0,228.15229898524512,False,,37.35958147842001,,,317.9139828450503,2.722084670348977,1.0855184766904813,0.7829743490637988,0.41984300180161616,0.48416515555166867,0.009033863347297994,False,0.011913064932950851,1.0,False,85.20111188465427,-4.7988314093370805,115.53606327373066,10,4.0,9.0,0.03341485839084481,0.1569637099004186
500.0,380.88580812995247,True,100.0,99.05543105842905,100.0,0.031081616755452644,166.1328344761919,266.42197639128113,260.50539021772187,250.23268424172144,0.8615908926123484,250.5413749391342,0.9842538654107132,True,5.870755682857793,0.9235704841785177,True,-20.124591266382367,0.1079448381613461,43.73024756285099,10,4.0,9.0,0.03341485839084481,0.1569637099004186
800.0,606.2950294894458,False,,10.000006543227983,,,115.3932555212048,1.4090249856733266,1.2121363112903225,0.1655713874627021,0.0099121279345884,0.3272050992302987,0.9781572030864206,False,0.1309950300206758,1.0,False,-65.48833061740908,-0.05016834346860531,36.257358381067824,10,4.0,9.0,0.03341485839084481,0.1569637099004186
300.0,228.15229898524512,False,,30.026399945836125,29.850746268656717,0.04477611940298507,316.8463945570267,7.136435137347576,6.023343926854295,3.9498579982256827,0.8151333574462456,2.7560245983282403,0.008424294594019971,False,0.06610342325344926,-0.27073565392340804,True,84.13352359663065,-4.868691774945743,59.93919092053055,11,6.835494476281913,9.0,0.03341485839084481,0.1569637099004186
500.0,380.88580812995247,True,71.42857142857143,69.86215652754261,68.96551724137932,0.13054961714483387,172.2677167612959,345.38903613647716,321.07618518323386,174.8342816823254,0.46842078354486105,107.7407155780963,0.9068539555361003,True,7.235780561850884,0.35666243457334534,True,-13.989708981278369,0.02604239897564119,31.111875608929047,11,6.835494476281913,9.0,0.03341485839084481,0.1569637099004186
800.0,606.2950294894458,True,125.0,121.79258295363329,125.0,0.05383493940182808,115.60012645797502,191.74895724110058,189.3960661815039,181.74452245830392,0.8630054055914411,178.97577738247384,0.9883568641624941,True,20.467948319140564,0.9420144347915422,True,-65.28145968063885,-0.03979490886199399,81.88085732149226,11,6.835494476281913,9.0,0.03341485839084481,0.1569637099004186
300.0,228.15229898524512,True,27.397260273972602,25.524372269440054,,,317.3405591681101,15.418589884265998,11.925070257884954,10.067077006902057,0.9497353861131235,8.902520272960317,0.03609194735192225,False,0.1308721494500105,-0.38007837484127116,True,84.62768820771402,-3.413741744553622,39.65624921755936,12,8.0,9.0,0.03341485839084481,0.1569637099004186
500.0,380.88580812995247,True,47.61904761904762,48.54519685214195,47.61904761904762,0.020868082018902136,175.59532751626685,372.2348249356006,365.43599295471915,349.6779950578846,0.8148519594873792,333.052182479358,1.0017253474697532,True,8.235474247065119,-0.057294417725215374,True,-10.662098226307421,0.12554012082982233,31.804675681651972,12,8.0,9.0,0.03341485839084481,0.1569637099004186
800.0,606.2950294894458,False,,98.89364684032199,105.26315789473684,0.17123733238567954,117.21145812879881,237.5816818348539,209.92703550471916,134.10524164844918,0.5225934197612507,105.6517808889199,1.1190413816272538,True,22.686721008150457,0.5768849384383059,True,-63.67012800981506,0.08438894858988054,72.16613310335256,12,8.0,9.0,0.03341485839084481,0.1569637099004186
300.0,228.15229898524512,False,,16.548035385891218,,,253.4120673145339,343.2298617070139,341.1508727611686,297.211426616719,0.71211213967872,274.6827486101107,0.8642421434761333,True,3.7439735816633966,-0.5980906060562294,True,20.699196354137854,-0.2379585317741772,21.88204837511156,13,12.0,9.0,0.03341485839084481,0.1569637099004186
500.0,380.88580812995247,True,33.333333333333336,33.482628783759814,33.898305084745765,0.01694915254237288,194.7137741851245,385.4661570734393,381.22017408187355,364.96479767812775,0.8109307410837856,345.96194542005236,1.0224113299792514,True,8.591186929148403,-0.3497964142606612,True,8.456348442550222,0.1459801463900341,36.065575824673964,13,12.0,9.0,0.03341485839084481,0.1569637099004186
800.0,606.2950294894458,True,52.63157894736842,52.779695399457246,52.63157894736842,0.0,138.00456172958556,349.3152364805794,342.8819588595342,324.42022401913044,0.7682846798034507,298.9724342147198,0.9755932493120383,True,37.05510021933076,-0.15841401960685653,True,-42.87702440902831,-0.052792993144936226,85.69205872708702,13,12.0,9.0,0.03341485839084481,0.1569637099004186
300.0,228.15229898524512,False,,26.177051198619573,,,318.0001861998556,3.437866047757609,2.792647290267041,0.3195726751256954,0.01343534316534234,0.11401630003432145,0.7909406596397057,False,0.030648016793975438,1.0,False,85.28731523945953,-0.3265885744313178,88.05966102408591,14,0.0,11.90870637629186,0.0442141930202159,0.1569637099004186
500.0,380.88580812995247,False,,10.944636785574332,,,225.85326198791023,1.6634510335332777,1.4458606331590431,0.19991722457743982,0.027147710584033646,0.09967530727984006,0.6262428284555646,False,0.03258394968965741,1.0,False,39.59583624533596,-0.3442008181543843,68.14575278273271,14,0.0,11.90870637629186,0.0442141930202159,0.1569637099004186
800.0,606.2950294894458,False,,16.2802918488546,,,153.36676128248644,1.2803067050167272,1.0179117820673866,0.13469026919830018,0.022048513608021958,0.11810137933108257,0.8556086386010292,False,0.11000527185624415,1.0,False,-27.514824856127433,-0.1840256662394822,34.84138573806991,14,0.0,11.90870637629186,0.0442141930202159,0.1569637099004186
300.0,228.15229898524512,False,,26.794187926547767,,,318.0595189401651,2.3664548296524686,2.1234734255276067,0.3330200929315716,0.030886026833107372,0.12676880557725137,0.8208890373943665,False,0.0233041420711985,1.0,False,85.34664797976905,-0.28942357507501526,93.3152993627677,15,0.39,11.90870637629186,0.0442141930202159,0.1569637099004186
500.0,380.88580812995247,False,,11.466776243685137,,,225.8470773072993,1.8003503958474596,1.5977748086417876,0.1785306916531662,0.015776585643073937,0.08236704187332769,0.6899926915913025,False,0.03600749116907401,1.0,False,39.58965156472502,-0.24725801328138083,66.92832283829281,15,0.39,11.90870637629186,0.0442141930202159,0.1569637099004186
800.0,606.2950294894458,False,,16.32255617663453,,,153.36952075470037,1.4233139666659724,1.181155562124161,0.12737635312905976,0.014431813843980734,0.14002377771866417,0.9257816776631572,False,0.12764695428918957,1.0,False,-27.512065383913495,-0.10520030235241712,34.17341046923669,15,0.39,11.90870637629186,0.0442141930202159,0.1569637099004186
300.0,228.15229898524512,False,,26.813094199391305,,,317.99902223761626,1.2456780523252746,0.9093597628357202,0.4187240587758694,0.3685260774076742,0.13901876996531537,0.137602020496266,False,0.009979804245343726,1.0,False,85.2861512772202,-2.0754459107354655,107.89803011803666,16,2.0,11.90870637629186,0.0442141930202159,0.1569637099004186
500.0,380.88580812995247,False,,11.50258662438688,,,225.85523524079747,1.251206452417648,1.0153509436873946,0.17899777940768127,0.045616135488227405,0.16223813521943806,0.1780304392199276,False,0.022881973066913853,1.0,False,39.5978094982232,-1.6019844763943227,73.12236911861234,16,2.0,11.90870637629186,0.0442141930202159,0.1569637099004186
800.0,606.2950294894458,False,,10.000006649389835,,,145.75333237005964,1.4762105180054732,1.2621312093907022,0.20787668285708236,0.009057191749182514,0.3284338366978247,0.8414955105543759,False,0.1363979563388952,1.0,False,-35.12825376855423,-0.20065806137302286,34.179323203963726,16,2.0,11.90870637629186,0.0442141930202159,0.1569637099004186
300.0,228.15229898524512,False,,28.469579533615505,,,317.9538008381544,1.169801269538084,0.8657557085612098,0.6825907390799231,0.8267763269194017,0.6283317037736598,0.008464039022948512,False,0.009501269848125658,1.0,False,85.24092987775833,-4.863985034398948,118.49994347346804,17,4.0,11.90870637629186,0.0442141930202159,0.1569637099004186
500.0,380.88580812995247,True,90.9090909090909,94.38194358713528,95.23809523809524,0.047619047619047616,168.16410019575903,44.295649983613174,34.771330638461905,29.35968539906254,0.9063215964061367,21.578527549597485,0.18970507232337774,False,0.783607536011708,0.8328154143968713,True,-18.093325546815237,-1.5384684036786678,19.161603151815534,17,4.0,11.90870637629186,0.0442141930202159,0.1569637099004186
800.0,606.2950294894458,False,,30.430685404978103,,,115.396091136042,1.027419549692297,0.8678602985243629,0.09038965244285284,0.01455067060898596,0.06962917055964724,0.9375413974091926,False,0.09378927501803255,1.0,False,-65.48549500257187,-0.09257782583226953,37.68452334213249,17,4.0,11.90870637629186,0.0442141930202159,0.1569637099004186
300.0,228.15229898524512,True,32.25806451612903,33.055043213457,32.25806451612903,0.0,226.00874332348013,247.79703459468845,233.34982585812335,189.41560069592248,0.8149295709723203,148.1931453029418,0.7737011176018413,True,2.5609067807081147,-0.19717766641757994,True,-6.704127636915928,-0.3486258739217718,7.439191553980823,18,6.835494476281913,11.90870637629186,0.0442141930202159,0.1569637099004186
500.0,380.88580812995247,True,64.51612903225806,65.27993324087944,62.5,0.09669038458354651,187.8531757795965,315.11921914679345,277.3496048443684,220.83754543073266,0.7351618230022625,116.31603964117204,0.9286424581608187,True,6.250357305150576,0.2676796360335909,True,1.595750037022242,0.049784778386974295,25.56894378979679,18,6.835494476281913,11.90870637629186,0.0442141930202159,0.1569637099004186
800.0,606.2950294894458,True,125.0,120.339375600896,,,115.3146309333127,1.265176613487398,0.7222067554325946,0.2959408059013399,0.2349539846117178,0.07424185628427034,0.01250768860736686,False,0.07804856164099215,1.0,False,-65.56695520530117,-4.409495196130254,48.48092784559822,18,6.835494476281913,11.90870637629186,0.0442141930202159,0.1569637099004186
