case,I_uA,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Rm_ohm,tau_th_ns,inside_R_T_calibration,T_pulse_min_K,T_pulse_max_K,interpretation,frequency_MHz,cycles_analyzed,V_min_V,V_max_V,V_pp_V,T_min_K,T_max_K
yuanhang_centered_in_range,600.0,145.34619293,198.51107324,0.20558726000000002,325.0,1286.316504375,965.5806164253563,True,325.0,368.785400390625,"Published R(T), C, S_e, and T0; C_th quadrupled to keep the full pulse inside the calibrated R(T) range.",0.22168524241846504,5.0,0.9049500823020935,6.336838245391846,5.431888163089752,330.1557922363281,347.92620849609375
lab_shape_unmodified_Rm_control,1000.0,22.7,0.5,0.08,325.0,18.302541190786375,6.25,True,325.0,366.7119445800781,Fitted specimen R(T) including Rm=18.3 Ohm; expected near-zero ideal-current valley.,16.933698342878294,13.0,0.018398473039269447,1.0379923582077026,1.0195938851684332,327.1030578613281,359.97857666015625
lab_shape_effective_Rm_150_candidate,1000.0,22.7,0.5,0.08,325.0,150.0,6.25,True,325.0,355.3596496582031,Exploratory effective switched resistance; not an intrinsic-Rm refit.,16.319357155412053,13.0,0.1941055804491043,1.0662448406219482,0.8721392601728439,327.6834411621094,350.07122802734375
