source_mV,dt_ns,current_uA,measured_legacy_detected,measured_legacy_frequency_MHz,measured_late_frequency_MHz,measured_late_peak_frequency_MHz,measured_late_peak_period_cv,measured_late_mean_mV,measured_late_vpp_mV,measured_late_robust_vpp_mV,measured_late_periodic_vpp_mV,measured_late_coherence,measured_minimum_window_periodic_vpp_mV,measured_amplitude_retention,measured_sustained,predicted_legacy_detected,predicted_legacy_frequency_MHz,predicted_late_frequency_MHz,predicted_late_peak_frequency_MHz,predicted_late_peak_period_cv,predicted_late_mean_mV,predicted_late_vpp_mV,predicted_late_robust_vpp_mV,predicted_late_periodic_vpp_mV,predicted_late_coherence,predicted_minimum_window_periodic_vpp_mV,predicted_amplitude_retention,predicted_sustained,temperature_min_K,temperature_max_K
50.0,0.05,38.18303147605306,False,,16.59288819174028,,,88.47603910891087,4.506659999999982,3.4399999999999977,2.184103007371274,0.6691407284022073,0.7776928352686754,0.8665210934158273,False,False,,19.831848509822137,,,95.71750086873375,2.9159020785841108,2.5693337291231586,0.24911692978123018,0.01200105118454442,0.21233737841909492,0.8579595633872615,False,314.3999938964844,315.40118408203125
100.0,0.05,76.21473630358447,False,,21.226003790039126,,,171.14296732673267,6.653399999999976,5.14670000000001,4.090358672546572,0.8901813973975933,0.9150656917441401,1.7451000792986253,False,False,,10.000004505286318,,,178.46696994400065,3.031731367486003,2.442975904464049,0.2756464202566379,0.008791821312021608,0.855746559799918,1.120674156192445,False,314.3999938964844,318.1215515136719
150.0,0.05,114.11799802479607,False,,17.027854461752234,,,240.26243993069306,4.719999999999999,4.066599999999994,2.4065785784750178,0.48714844380656364,2.324111649678154,1.797314945514776,False,False,,32.652356236245005,,,243.11692979002297,1.8525079010795196,1.5417229315891916,0.2822564056855554,0.04131154711416851,0.1279778606031074,0.5172781751947056,False,314.3999938964844,321.98114013671875
200.0,0.05,152.29578486438515,False,,14.121006797082291,,,298.0920165049505,4.706700000000012,3.853400000000022,1.687863099515576,0.3631280196148142,0.7070865646397237,0.590863478684687,False,False,,21.186687757831464,,,290.8506398320039,2.358647922737134,1.8814432592179742,0.5326090864344325,0.08840602847221357,0.02106882973626385,0.6802188311392408,False,314.3999938964844,326.49462890625
250.0,0.05,190.10363798124942,False,,13.909729776249218,,,319.4747234356435,3.213300000000004,2.3466999999999985,1.3934696545783074,0.43757227699848544,0.8715493461067155,0.22853602355318778,False,False,,47.797338708292536,,,319.35931193546094,2.522615259101883,2.1844158364184523,0.17239358143379874,0.0077641553090869175,0.05801466476098976,0.40350703960978285,False,314.3999938964844,330.9667663574219
300.0,0.05,228.72329533860898,True,41.666666666666664,41.17354716074733,41.666666666666664,0.019372788525658838,232.71287096039606,94.32,91.11999999999998,91.62934044189902,0.9973613379044338,85.70107620440322,1.0964264844510925,True,False,,26.364604863671353,,,314.8024200831723,2.5294255108809125,2.145560842001828,0.4264550044457106,0.050911578054086526,0.15226156613702127,0.7972942128863055,False,314.3999938964844,334.0439147949219
350.0,0.05,267.26884762793657,True,41.666666666666664,42.59623808525568,43.47826086956522,0.020203050891044214,189.93848151485153,103.75999999999999,100.32,101.37800303546058,0.9992535093816439,99.01077989235284,0.8631305790098773,True,False,,26.011190056411703,,,291.7528945942115,2.1473770836960284,1.8892290504295488,0.2530584929919018,0.022606603912024847,0.18680365161110243,0.7307729163157024,False,314.3999938964844,335.6960754394531
400.0,0.05,303.62831796812344,True,45.45454545454545,45.78749745855536,45.45454545454545,0.0,187.98507821782175,82.5333,79.10669999999999,79.67126040317783,0.999171608496318,79.51329549565885,0.9392545502728201,True,False,,195.8415328538251,,,267.93860811006266,1.8959028115991714,1.4772710788178642,0.10962796810092058,0.006696396847620023,0.03110468744590791,0.8105791091180039,False,314.3999938964844,336.5743103027344
450.0,0.05,342.1738513744537,True,50.0,48.92619450465454,50.0,0.021383343303319473,186.01927557425745,61.746700000000004,58.733299999999986,59.13906117380684,0.997776131632384,58.781232719878886,0.9440362412932626,True,False,,10.000003498264658,,,245.00316215104763,1.632672034992595,1.4293767943005662,0.1049594878148246,0.006256369630934677,0.46475326570012154,0.6991649819999808,False,314.3999938964844,337.25494384765625
500.0,0.05,381.3971118766464,True,52.63157894736842,51.495607711371065,51.282051282051285,0.02564102564102564,186.25742574257427,46.52000000000001,44.373399999999975,45.29791292626471,0.9988201902291101,45.34319193015342,0.8835421679522869,True,False,,10.000004653998346,,,225.08031926996912,1.2844472850712236,1.0988291670804529,0.14409219693599026,0.00813535813003996,0.11510059409442676,0.5617904906523856,False,314.3999938964844,337.7978820800781
