R0_ohm,Ea_over_k_K,Ea_eV,Rm_ohm,w_K,Tc_K,beta_per_K,T_cooling_transition_K,T_heating_transition_K,bootstrap_sample
1.64445209534367,2321.5391747801964,0.2000547674986942,18.48654088871256,6.560412647657845,333.186419970497,0.29826159933349694,329.9062136466681,336.4666262943259,0.0
0.37744844419107687,2768.723964575606,0.23859017113233877,17.893407039879268,6.8294750634500385,333.4765124280757,0.29536544864229025,330.0617748963507,336.8912499598007,1.0
0.803398600323489,2538.562935683379,0.21875642823344746,18.118060336409282,6.963702125443617,333.5273430070196,0.3020662810783756,330.0454919442978,337.00919406974145,2.0
0.46575597406246194,2709.9695177441927,0.23352710464263132,17.852607209369786,6.940664457177053,333.152699058558,0.27471390493063663,329.6823668299695,336.62303128714655,3.0
1.0207045525355691,2450.316435922979,0.2111519332570438,17.946772391484476,6.892494197966229,333.581259155306,0.2920669056449252,330.13501205632286,337.0275062542891,4.0
0.4844107850481868,2687.330221466574,0.23157620103421736,18.275785080174355,7.229886643826906,333.65042548223795,0.3057964993974704,330.0354821603245,337.2653688041514,5.0
0.47522869880998414,2693.0744662700295,0.23207120175231621,18.425745826306112,7.066736163577774,333.5187764593658,0.29388023871439134,329.98540837757696,337.0521445411547,6.0
0.9694133477564538,2479.2813194106325,0.2136479337961249,17.86331918074427,6.81604233276458,333.3036341602302,0.2864890160895793,329.8956129938479,336.7116553266125,7.0
1.492128823239053,2332.839317406885,0.20102853844791727,18.112085608420372,6.974699365430018,333.38933430262006,0.29792825738330886,329.901984619905,336.8766839853351,8.0
0.577911796500134,2636.007749124495,0.22715357255420263,18.067985896635626,6.641797751210531,333.9655949612976,0.33014540895637884,330.6446960856923,337.2864938369029,9.0
0.7177310233055602,2576.180041338135,0.22199801959123647,18.227366338204387,7.268129968100009,333.35479970920727,0.2961797430066698,329.7207347251573,336.98886469325726,10.0
0.7503390400950679,2552.761371479511,0.2199799547639913,17.95313228581253,6.897642861217415,333.4011392238839,0.2922220693492001,329.9523177932752,336.8499606544926,11.0
0.8713468056465115,2503.1641158377624,0.21570599395653572,18.510919399030286,6.825888682596152,333.42100551258534,0.29367604768991123,330.00806117128724,336.83394985388344,12.0
0.330734691874622,2817.8934362449468,0.24282726836925056,18.354067892160813,6.667407716632634,333.62200835455263,0.3060676787945228,330.2883044962363,336.95571221286895,13.0
1.3060350245229277,2371.962240225195,0.20439989108900605,18.614447244349805,6.629212725886092,333.49735978882927,0.29812526907914594,330.18275342588623,336.8119661517723,14.0
1.4279638225627276,2354.0808814325296,0.20285899481006817,17.8898874448486,6.845727852199561,333.36578962729476,0.2898008436863567,329.94292570119495,336.78865355339457,15.0
0.5271036655578111,2653.453503063297,0.22865693131117767,18.137183413877512,6.90188879006592,333.4124525141117,0.2916394191042384,329.96150811907876,336.8633969091446,16.0
0.7937409714572828,2538.525724843905,0.21875322165140043,18.682340581275508,6.419407001481546,333.6774540782025,0.31811904404255004,330.46775057746174,336.8871575789433,17.0
1.840325604925108,2272.5702782160015,0.19583495448703345,18.36096721098293,7.140888931518457,333.34190629458584,0.2903571111807919,329.7714618288266,336.9123507603451,18.0
0.9434782551072195,2494.0057865304825,0.21491679019889598,18.44680916771409,6.859404600201963,333.8071060243925,0.33353636250675983,330.3774037242915,337.2368083244935,19.0
1.1179039598501548,2438.5195511119787,0.21013535637834563,18.605947026600017,7.115513089857758,333.4641588084933,0.3030446209613754,329.9064022635644,337.02191535342223,20.0
0.3872546582371294,2768.3652357457245,0.23855925827356103,17.816030820755522,7.062157628798677,333.6227910561472,0.30243615359604803,330.09171224174787,337.15386987054654,21.0
1.2697087027240297,2385.167933432202,0.20553786968221116,18.7637934113227,7.2396123188226005,333.4309945702771,0.2946119547409825,329.8111884108658,337.05080072968843,22.0
1.663428415440843,2310.7376550839667,0.1991239645491095,18.430170154082493,6.934650707837592,333.6621366243261,0.31381751969438987,330.1948112704073,337.1294619782449,23.0
0.4578324103786059,2699.400759784979,0.2326163595476317,17.793962158961133,6.7944765571704515,333.6659362019515,0.3024088138839369,330.2686979233663,337.06317448053676,24.0
1.812770108898884,2280.702611059994,0.19653574471017535,18.46624116796325,6.7673519934812,333.3423501172634,0.3032713651690625,329.9586741205228,336.72602611400396,25.0
