source_file,nominal_drive_mV,samples,time_step_ns,current_baseline_uA,current_plateau_uA,current_step_uA,voltage_baseline_mV,voltage_plateau_mean_mV,voltage_step_mV,voltage_plateau_vpp_mV,voltage_slope_0_30_mV_per_ns,maximum_output_power_uW,oscillation_detected,oscillation_frequency_MHz,oscillation_peak_count,oscillation_period_cv,oscillation_peak_prominence_mV
50mv0_converted.csv,50.0,1000.0,1.0,3.86573227158091,41.8558134916695,37.99008122008859,-10.32,78.02135940298508,88.34135940298509,4.506659999999997,0.7297957217741929,3.444580800462462,False,,0.0,,
100mv0_converted.csv,100.0,1000.0,1.0,4.23641837281808,80.4072522191552,76.17083384633712,-9.68,161.02984975124377,170.70984975124378,6.653399999999976,3.5623112298387154,13.42090204897035,False,,2.0,,4.290473809523817
150mv0_converted.csv,150.0,1000.0,1.0,5.72975594257005,119.901264968128,114.17150902555795,-6.253333,233.58540447761192,239.83873747761191,5.800000000000011,6.126919625000015,28.449861921877723,False,,1.0,,3.922528571428586
200mv0_converted.csv,200.0,1000.0,1.0,6.11103361995353,158.272573822904,152.16154020295048,-5.386667,291.9756537313433,297.3623207313433,7.720000000000027,8.235155451612924,46.84308421550135,False,,1.0,,3.2044714285714235
250mv0_converted.csv,250.0,1000.0,1.0,5.72975594257005,195.330698810493,189.60094286792295,-2.826667,316.035092039801,318.861759039801,14.14670000000001,9.008365096774217,62.81090196159419,False,,1.0,,4.55868571428573
300mv0_converted.csv,300.0,1000.0,1.0,5.35906984133288,233.511368826578,228.15229898524512,-4.746667,230.35575522388058,235.10242222388058,100.10669999999999,4.546231693548385,65.8237731397819,True,41.666666666666664,8.0,0.020257904182092133,91.31016666666676
350mv0_converted.csv,350.0,1000.0,1.0,5.54970788569613,272.253470222611,266.70376233691485,-3.253333,188.7588736318408,192.0122066318408,130.3466,4.357090782258055,71.68278612625862,True,41.666666666666664,8.0,0.020994555243259116,99.96922619047626
400mv0_converted.csv,400.0,1000.0,1.0,7.30782214985007,310.508330520087,303.2005083702369,-3.68,187.30328109452734,190.98328109452734,90.2534,3.763129637096769,72.70436787823748,True,45.45454545454545,9.0,0.01511857892036909,79.33457142857148
450mv0_converted.csv,450.0,1000.0,1.0,7.30782214985007,348.879639374863,341.5718172250129,-1.533333,185.45645273631843,186.98978573631842,68.8133,2.965662016129019,77.42754324275877,True,50.0,10.0,0.02430508671195424,58.04125952380954
500mv0_converted.csv,500.0,1000.0,1.0,7.19132116686856,388.077129296821,380.88580812995247,-0.68,186.33970348258708,187.0197034825871,58.51999999999998,2.6293122177419233,84.9693056974085,True,52.63157894736842,10.0,0.03502507956232373,44.7444428571429
550mv0_converted.csv,550.0,1000.0,1.0,8.69525190142383,427.751216315507,419.0559644140832,-0.02666667,186.38554129353233,186.41220796353232,40.08000000000001,2.81071512096773,88.30919758824398,True,52.63157894736842,10.0,0.025253813613805267,34.77157380952386
600mv0_converted.csv,600.0,1000.0,1.0,7.8267831681792,465.635363504577,457.8085803363978,0.6133333,187.50062736318404,186.88729406318404,31.933300000000003,2.572773870967729,95.05056400977027,True,55.55555555555556,10.0,0.0,26.195552380952392
650mv0_converted.csv,650.0,1000.0,1.0,8.76938657982008,503.254761006414,494.4853744265939,1.466667,186.37605671641793,184.90938971641793,27.439999999999998,2.6288550201612746,101.96478565760476,True,58.8235294117647,11.0,0.02648887684945572,18.730161904761957
700mv0_converted.csv,700.0,1000.0,1.0,10.2627241495721,543.119407430943,532.8566832813709,3.826667,186.24278507462682,182.41611807462684,22.079999999999984,3.129111887096764,107.92965344559839,True,58.8235294117647,11.0,0.031864880515588785,13.410790476190499
750mv0_converted.csv,750.0,1000.0,1.0,16.6491252457454,586.722799213615,570.0736739678696,10.26667,191.82315223880596,181.55648223880596,19.439999999999998,-1.4698066532258145,119.04080352364126,True,62.5,12.0,0.039283710065919304,11.760014285714277
800mv0_converted.csv,800.0,1000.0,1.0,15.5476537522092,621.842683241655,606.2950294894458,10.72,192.2836502487562,181.5636502487562,13.893400000000014,-1.760505282258071,125.35251154260968,True,62.5,12.0,0.037688918072220454,6.4882428571428505
850mv0_converted.csv,850.0,1000.0,1.0,17.3904958595627,662.872450701988,645.4819548424252,10.72,192.19794527363183,181.47794527363183,10.640000000000015,-1.9360955241935573,131.37250352553968,False,,7.0,0.506287004190553,4.253933333333322
900mv0_converted.csv,900.0,1000.0,1.0,18.131874416665,700.576523621344,682.444649204679,13.04,191.70361840796022,178.66361840796023,9.733300000000014,-2.007205685483879,137.84618068907994,False,,2.0,,3.3517309523809473
950mv0_converted.csv,950.0,1000.0,1.0,18.131874416665,739.403300434895,721.2714260182299,13.94667,191.67694726368157,177.73027726368156,9.706700000000012,-2.0471933064516192,145.10453539576218,False,,2.0,,3.190445238095279
1000mv0_converted.csv,1000.0,1000.0,1.0,32.9381575550569,789.562523581627,756.6243660265701,16.74667,192.43290248756216,175.68623248756217,11.573300000000017,-2.2829789112903334,158.08233953889237,False,,8.0,0.4989065111421692,3.349223809523835
1100mv0_converted.csv,1100.0,1000.0,1.0,38.2336755565264,873.020235518399,834.7865599618726,16.26667,192.29519154228856,176.02852154228856,14.346699999999998,-2.2589028629032364,174.1650163203527,False,,13.0,0.06428243465332249,5.240657142857174
1200mv0_converted.csv,1200.0,1000.0,1.0,36.4861528685188,943.291300117163,906.8051472486442,19.52,192.92669950248757,173.40669950248756,11.120000000000005,-2.2925487500000092,187.92669700649373,False,,13.0,0.034482758620689655,5.5695380952381015
